I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,0.0
-3.2998977,-3.2998977,-3.2998977,-3.2998977,-3.2998977,-3.2998986,-3.2998986,-3.2998986,-3.2998986,-3.2998986,-3.2999015,-3.2999015,-3.2999015,-3.2999015,-3.2999015,-3.299904,-3.299904,-3.299904,-3.299904,-3.299904,-3.2999046,-3.2999046,-3.2999046,-3.2999046,-3.2999046,16.499525,16.499527,9.999999439624929e-11
-3.2998908,-3.2998908,-3.2998908,-3.2998908,-3.2998908,-3.2998927,-3.2998927,-3.2998927,-3.2998927,-3.2998927,-3.2998981,-3.2998981,-3.2998981,-3.2998981,-3.2998981,-3.299903,-3.299903,-3.299903,-3.299903,-3.299903,-3.299904,-3.299904,-3.299904,-3.299904,-3.299904,16.499525,16.499525,1.9999998879249858e-10
-3.299877,-3.299877,-3.299877,-3.299877,-3.299877,-3.2998807,-3.2998807,-3.2998807,-3.2998807,-3.2998807,-3.2998915,-3.2998915,-3.2998915,-3.2998915,-3.2998915,-3.2999008,-3.2999005,-3.2999005,-3.2999005,-3.2999005,-3.299903,-3.299903,-3.299903,-3.299903,-3.299903,16.499525,16.499527,3.9999997758499717e-10
-3.2998486,-3.2998486,-3.2998486,-3.2998486,-3.2998486,-3.2998574,-3.2998574,-3.2998574,-3.2998574,-3.2998574,-3.2998788,-3.2998788,-3.2998788,-3.2998788,-3.2998788,-3.299896,-3.299896,-3.299896,-3.299896,-3.299896,-3.2999005,-3.2999005,-3.2999005,-3.2999005,-3.2999005,16.499525,16.499527,7.999999551699943e-10
-3.2997923,-3.2997923,-3.2997923,-3.2997923,-3.2997923,-3.2998145,-3.2998145,-3.2998145,-3.2998145,-3.2998145,-3.2998571,-3.2998571,-3.2998571,-3.2998571,-3.2998571,-3.2998867,-3.2998867,-3.2998867,-3.2998867,-3.2998867,-3.2998955,-3.2998955,-3.2998955,-3.2998955,-3.2998955,16.499525,16.499527,1.5999999103399887e-09
-3.2996798,-3.2996798,-3.2996798,-3.2996798,-3.2996798,-3.2997372,-3.2997372,-3.2997372,-3.2997372,-3.2997372,-3.2998216,-3.2998216,-3.2998216,-3.2998216,-3.2998216,-3.299867,-3.299867,-3.299867,-3.299867,-3.299867,-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.2998846,16.499525,16.49953,3.1999998206799773e-09
-3.2994573,-3.2994573,-3.2994573,-3.2994573,-3.2994573,-3.2996008,-3.2996008,-3.2996008,-3.2996008,-3.2996008,-3.2997682,-3.2997682,-3.2997682,-3.2997682,-3.2997682,-3.299827,-3.299827,-3.299827,-3.299827,-3.299827,-3.299862,-3.299862,-3.299862,-3.299862,-3.299862,16.499525,16.499548,6.399999641359955e-09
-3.2990236,-3.2990236,-3.2990236,-3.2990236,-3.2990236,-3.299356,-3.299356,-3.299356,-3.299356,-3.299356,-3.2996836,-3.2996836,-3.2996836,-3.2996836,-3.2996836,-3.2997477,-3.2997477,-3.2997477,-3.2997477,-3.2997477,-3.2998164,-3.2998164,-3.2998164,-3.2998164,-3.2998164,16.499525,16.49961,1.279999928271991e-08
-3.2982087,-3.2982087,-3.2982087,-3.2982087,-3.2982087,-3.298903,-3.298903,-3.298903,-3.298903,-3.298903,-3.2995307,-3.2995307,-3.2995307,-3.2995307,-3.2995307,-3.2995977,-3.2995977,-3.2995977,-3.2995977,-3.2995977,-3.29973,-3.29973,-3.29973,-3.29973,-3.29973,16.499525,16.499842,2.559999856543982e-08
