I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,0.0
-3.2998998,-3.2998998,-3.2998998,-3.2998998,-3.2998998,-3.2999024,-3.2999024,-3.2999024,-3.2999024,-3.2999024,-3.2999032,-3.2999032,-3.2999032,-3.2999032,-3.2999032,-3.2999039,-3.2999039,-3.2999039,-3.2999039,-3.2999039,-3.2999046,-3.2999046,-3.2999046,-3.2999046,-3.2999046,16.499525,16.499527,9.999999439624929e-11
-3.299895,-3.299895,-3.299895,-3.299895,-3.299895,-3.2999,-3.2999,-3.2999,-3.2999,-3.2999,-3.2999012,-3.2999012,-3.2999012,-3.2999012,-3.2999012,-3.2999027,-3.2999027,-3.2999027,-3.2999027,-3.2999027,-3.2999039,-3.299904,-3.299904,-3.299904,-3.299904,16.499525,16.499525,1.9999998879249858e-10
-3.2998853,-3.2998853,-3.2998853,-3.2998853,-3.2998853,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.2998974,-3.2998974,-3.2998974,-3.2998974,-3.2998974,-3.2999,-3.2999,-3.2999,-3.2999,-3.2999,-3.2999027,-3.2999027,-3.2999027,-3.2999027,-3.2999027,16.499525,16.499527,3.9999997758499717e-10
-3.2998667,-3.299867,-3.2998667,-3.299867,-3.299867,-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.2998896,-3.2998896,-3.2998896,-3.2998896,-3.2998896,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.2998998,-3.2998998,-3.2998998,-3.2998998,-3.2998998,16.499525,16.499527,7.999999551699943e-10
-3.2998328,-3.2998328,-3.2998328,-3.2998328,-3.2998328,-3.2998636,-3.2998636,-3.2998636,-3.2998636,-3.2998636,-3.2998738,-3.2998738,-3.2998738,-3.2998738,-3.2998738,-3.299884,-3.299884,-3.299884,-3.299884,-3.299884,-3.2998943,-3.2998943,-3.2998943,-3.2998943,-3.2998943,16.499525,16.499527,1.5999999103399887e-09
-3.2997735,-3.2997735,-3.2997735,-3.2997735,-3.2997735,-3.2998216,-3.2998216,-3.2998216,-3.2998216,-3.2998216,-3.299842,-3.299842,-3.299842,-3.299842,-3.299842,-3.2998624,-3.2998624,-3.2998624,-3.2998624,-3.2998624,-3.2998827,-3.2998827,-3.2998827,-3.2998827,-3.2998827,16.499525,16.49953,3.1999998206799773e-09
-3.2996738,-3.2996738,-3.2996738,-3.2996738,-3.2996738,-3.299738,-3.299738,-3.299738,-3.299738,-3.299738,-3.299778,-3.299778,-3.299778,-3.299778,-3.299778,-3.2998183,-3.2998183,-3.2998183,-3.2998183,-3.2998183,-3.2998586,-3.2998586,-3.2998586,-3.2998586,-3.2998586,16.499525,16.499542,6.399999641359955e-09
-3.2994995,-3.2994995,-3.2994995,-3.2994995,-3.2994995,-3.2995741,-3.2995741,-3.2995741,-3.2995741,-3.2995741,-3.299653,-3.299653,-3.299653,-3.299653,-3.299653,-3.299732,-3.299732,-3.299732,-3.299732,-3.299732,-3.299811,-3.299811,-3.299811,-3.299811,-3.299811,16.499525,16.499588,1.279999928271991e-08
-3.2991776,-3.2991776,-3.2991776,-3.2991776,-3.2991776,-3.2992647,-3.2992647,-3.2992647,-3.2992647,-3.2992647,-3.2994168,-3.2994168,-3.2994168,-3.2994168,-3.2994168,-3.299569,-3.299569,-3.299569,-3.299569,-3.299569,-3.2997208,-3.2997208,-3.2997208,-3.2997208,-3.2997208,16.499525,16.49976,2.559999856543982e-08
