I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,0.0
-3.2998946,-3.2998946,-3.2998946,-3.2998946,-3.2998946,-3.299897,-3.299897,-3.299897,-3.299897,-3.299897,-3.2998974,-3.2998974,-3.2998974,-3.2998974,-3.2998974,-3.2999,-3.2999,-3.2999,-3.2999,-3.2999,-3.299903,-3.299903,-3.299903,-3.299903,-3.299903,16.499525,16.499527,9.999999439624929e-11
-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.299889,-3.299889,-3.299889,-3.299889,-3.299889,-3.2998905,-3.2998905,-3.2998905,-3.2998905,-3.2998905,-3.2998958,-3.2998958,-3.2998958,-3.2998958,-3.2998958,-3.2999008,-3.2999008,-3.2999008,-3.2999008,-3.2999008,16.499525,16.499527,1.9999998879249858e-10
-3.2998645,-3.2998645,-3.2998645,-3.2998645,-3.2998645,-3.2998734,-3.2998734,-3.2998734,-3.2998734,-3.2998734,-3.2998765,-3.2998765,-3.2998765,-3.2998765,-3.2998765,-3.2998867,-3.2998867,-3.2998867,-3.2998867,-3.2998867,-3.2998967,-3.2998967,-3.2998967,-3.2998967,-3.2998967,16.499525,16.499525,3.9999997758499717e-10
-3.2998257,-3.2998257,-3.2998257,-3.2998257,-3.2998257,-3.2998414,-3.2998414,-3.2998414,-3.2998414,-3.2998414,-3.2998488,-3.2998488,-3.2998488,-3.2998488,-3.2998488,-3.299869,-3.299869,-3.299869,-3.299869,-3.299869,-3.299889,-3.299889,-3.299889,-3.299889,-3.299889,16.499525,16.499525,7.999999551699943e-10
-3.2997508,-3.2997508,-3.2997508,-3.2997508,-3.2997508,-3.2997777,-3.2997777,-3.2997777,-3.2997777,-3.2997777,-3.2997973,-3.2997973,-3.2997973,-3.2997973,-3.2997973,-3.2998374,-3.2998374,-3.2998374,-3.2998374,-3.2998374,-3.2998772,-3.2998772,-3.2998772,-3.2998772,-3.2998772,16.499525,16.499529,1.5999999103399887e-09
-3.2996104,-3.2996104,-3.2996104,-3.2996104,-3.2996104,-3.2996507,-3.2996507,-3.2996507,-3.2996507,-3.2996507,-3.2997024,-3.2997024,-3.2997024,-3.2997024,-3.2997024,-3.2997816,-3.2997816,-3.2997816,-3.2997816,-3.2997816,-3.2998607,-3.2998607,-3.2998607,-3.2998607,-3.2998607,16.499525,16.499535,3.1999998206799773e-09
-3.2993498,-3.2993498,-3.2993498,-3.2993498,-3.2993498,-3.2993984,-3.2993984,-3.2993984,-3.2993984,-3.2993984,-3.2995312,-3.2995312,-3.2995312,-3.2995312,-3.2995312,-3.299688,-3.299688,-3.299688,-3.299688,-3.299688,-3.2998447,-3.2998447,-3.2998447,-3.2998447,-3.2998447,16.499525,16.49956,6.399999641359955e-09
-3.2988632,-3.2988632,-3.2988632,-3.2988632,-3.2988632,-3.298907,-3.298907,-3.298907,-3.298907,-3.298907,-3.2992184,-3.2992184,-3.2992184,-3.2992184,-3.2992184,-3.299525,-3.299525,-3.299525,-3.299525,-3.299525,-3.2998316,-3.2998316,-3.2998316,-3.2998316,-3.2998316,16.499525,16.499653,1.279999928271991e-08
-3.2979565,-3.2979565,-3.2979565,-3.2979565,-3.2979565,-3.2979846,-3.2979846,-3.2979846,-3.2979846,-3.2979846,-3.2986386,-3.2986386,-3.2986386,-3.2986386,-3.2986386,-3.2992268,-3.2992268,-3.2992268,-3.2992268,-3.2992268,-3.2998145,-3.2998145,-3.2998145,-3.2998145,-3.2998145,16.499525,16.500002,2.559999856543982e-08
