I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,0.0
-3.2998965,-3.2998965,-3.2998965,-3.2998965,-3.2998965,-3.2998989,-3.2998989,-3.2998989,-3.2998989,-3.2998989,-3.2999017,-3.2999017,-3.2999017,-3.2999017,-3.2999017,-3.2999043,-3.299904,-3.299904,-3.299904,-3.299904,-3.2999046,-3.2999048,-3.2999048,-3.2999046,-3.2999046,16.499525,16.499527,9.999999439624929e-11
-3.299888,-3.299888,-3.299888,-3.299888,-3.299888,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998986,-3.2998986,-3.2998986,-3.2998986,-3.2998986,-3.2999034,-3.2999034,-3.2999034,-3.2999034,-3.2999034,-3.2999043,-3.2999043,-3.2999043,-3.2999043,-3.2999043,16.499525,16.499525,1.9999998879249858e-10
-3.2998714,-3.2998714,-3.2998714,-3.2998714,-3.2998714,-3.299882,-3.299882,-3.299882,-3.299882,-3.299882,-3.2998924,-3.2998924,-3.2998924,-3.2998924,-3.2998924,-3.2999012,-3.2999012,-3.2999012,-3.2999012,-3.2999012,-3.2999032,-3.2999032,-3.2999032,-3.2999032,-3.2999032,16.499525,16.499525,3.9999997758499717e-10
-3.2998393,-3.2998393,-3.2998393,-3.2998393,-3.2998393,-3.2998602,-3.2998602,-3.2998602,-3.2998602,-3.2998602,-3.299881,-3.299881,-3.299881,-3.299881,-3.299881,-3.2998972,-3.2998972,-3.2998972,-3.2998972,-3.2998972,-3.299901,-3.299901,-3.299901,-3.299901,-3.299901,16.499525,16.499525,7.999999551699943e-10
-3.299778,-3.2997782,-3.299778,-3.2997782,-3.2997782,-3.2998195,-3.2998195,-3.2998195,-3.2998195,-3.2998195,-3.2998607,-3.2998607,-3.2998607,-3.2998607,-3.2998607,-3.2998888,-3.2998888,-3.2998888,-3.2998888,-3.2998888,-3.2998965,-3.2998965,-3.2998965,-3.2998965,-3.2998965,16.499525,16.499527,1.5999999103399887e-09
-3.299665,-3.299665,-3.299665,-3.299665,-3.299665,-3.2997472,-3.2997472,-3.2997472,-3.2997472,-3.2997472,-3.2998288,-3.2998288,-3.2998288,-3.2998288,-3.2998288,-3.2998714,-3.2998714,-3.2998714,-3.2998714,-3.2998714,-3.2998865,-3.2998865,-3.2998865,-3.2998865,-3.2998865,16.499525,16.499533,3.1999998206799773e-09
-3.2994578,-3.2994578,-3.2994578,-3.2994578,-3.2994578,-3.29962,-3.29962,-3.29962,-3.29962,-3.29962,-3.299782,-3.299782,-3.299782,-3.299782,-3.299782,-3.2998354,-3.2998354,-3.2998354,-3.2998354,-3.2998354,-3.2998652,-3.2998652,-3.2998652,-3.2998652,-3.2998652,16.499525,16.499554,6.399999641359955e-09
-3.2990746,-3.2990746,-3.2990746,-3.2990746,-3.2990746,-3.2993925,-3.2993925,-3.2993925,-3.2993925,-3.2993925,-3.2997096,-3.2997096,-3.2997096,-3.2997096,-3.2997096,-3.2997634,-3.2997634,-3.2997634,-3.2997634,-3.2997634,-3.2998216,-3.2998216,-3.2998216,-3.2998216,-3.2998216,16.499525,16.49963,1.279999928271991e-08
-3.2983623,-3.2983623,-3.2983623,-3.2983623,-3.2983623,-3.2989714,-3.2989714,-3.2989714,-3.2989714,-3.2989714,-3.2995794,-3.2995794,-3.2995794,-3.2995794,-3.2995794,-3.2996266,-3.2996266,-3.2996266,-3.2996266,-3.2996266,-3.2997394,-3.2997394,-3.2997394,-3.2997394,-3.2997394,16.499525,16.49992,2.559999856543982e-08
