time	I(V1)
0.000000000000000e+00	-6.950272e-11
9.999999824516700e-14	-2.492319e-08
1.124999980258129e-13	-2.135625e-05
1.156249979709743e-13	-4.442575e-05
1.218749978612973e-13	-5.069120e-05
1.234374978338780e-13	-5.149067e-05
1.265624977790395e-13	-5.368065e-05
1.328124976693624e-13	-5.382488e-05
1.453124974500083e-13	-5.384046e-05
1.703124970113001e-13	-5.384592e-05
2.203124961338836e-13	-5.384799e-05
3.203124943790506e-13	-5.384883e-05
5.203124908693846e-13	-5.384918e-05
9.203124838500526e-13	-5.384931e-05
1.000000000000000e-12	-5.384932e-05
1.720312469811389e-12	-5.384923e-05
5.436108280272180e-09	-5.324148e-05
1.087049624807455e-08	-5.264444e-05
1.630488421587692e-08	-5.205812e-05
2.173927218367929e-08	-5.148251e-05
2.717366015148166e-08	-5.091762e-05
3.260804811928402e-08	-5.036345e-05
3.804243608708638e-08	-4.981998e-05
7.608403311158172e-08	-4.627776e-05
1.521672271605724e-07	-4.041427e-05
3.043336152585537e-07	-3.230603e-05
6.086663914545164e-07	-2.434844e-05
1.217331943846442e-06	-2.034137e-05
2.434663048630292e-06	-1.966682e-05
4.636809620987914e-06	-1.830110e-05
9.041102765703157e-06	-1.604775e-05
1.784968905513365e-05	-2.240778e-05
2.476021343922384e-05	-1.931522e-04
3.414559361275667e-05	-5.528303e-04
4.633719963369561e-05	-9.762119e-04
5.779897418299682e-05	-1.317380e-03
8.072252328159926e-05	-1.895516e-03
1.156587052424560e-04	-2.667672e-03
1.541655338041708e-04	-3.472838e-03
2.040659858202875e-04	-4.494804e-03
2.209762096357493e-04	-4.837802e-03
2.306171600556111e-04	-5.000646e-03
2.325133991244190e-04	-5.006160e-03
2.338408786193924e-04	-5.008551e-03
2.354465078411380e-04	-5.010603e-03
2.372922139919775e-04	-5.012160e-03
2.401134717075194e-04	-5.013592e-03
2.433439999834023e-04	-5.014354e-03
2.483225884936867e-04	-5.014622e-03
2.544692436898639e-04	-5.014234e-03
2.643730369143170e-04	-5.013076e-03
2.792663390584897e-04	-5.011168e-03
3.065739607014174e-04	-5.008323e-03
3.597771246486910e-04	-5.005142e-03
4.261432225551083e-04	-5.003656e-03
5.107370730776577e-04	-5.003128e-03
6.191159225903180e-04	-5.003013e-03
7.944353619326040e-04	-5.003001e-03
1.101335222862324e-03	-5.003004e-03
9.715134944721765e-03	-5.003002e-03
1.000000000000000e-02	-5.003004e-03
1.000000000012500e-02	-5.003004e-03
1.000000000015625e-02	-5.003026e-03
1.000000000021875e-02	-5.003035e-03
1.000000000022070e-02	-5.003035e-03
1.000000000023242e-02	-5.003035e-03
1.000000000024805e-02	-5.003035e-03
1.000000000027930e-02	-5.003035e-03
1.000000000034180e-02	-5.003035e-03
1.000000000046680e-02	-5.003036e-03
1.000000000071680e-02	-5.003036e-03
1.000000000100000e-02	-5.003036e-03
1.000000000156641e-02	-5.003036e-03
1.000000000162060e-02	-5.003036e-03
1.000000000172900e-02	-5.003036e-03
1.000000000194580e-02	-4.998677e-03
1.000000000200000e-02	-4.998677e-03
1.000000000237940e-02	-4.998677e-03
1.000000009182145e-02	-4.998709e-03
1.000000018126350e-02	-4.998734e-03
1.000000027070556e-02	-4.998753e-03
1.000000036014761e-02	-4.998765e-03
1.000000044958966e-02	-4.998770e-03
1.000000053903172e-02	-4.998769e-03
1.000000062847377e-02	-4.998761e-03
1.000013791891937e-02	-4.998706e-03
1.000027520936497e-02	-4.998641e-03
1.000041249981058e-02	-4.998565e-03
1.000054979025618e-02	-4.998479e-03
1.000068708070178e-02	-4.998382e-03
1.000082437114738e-02	-4.998276e-03
1.000096166159298e-02	-4.998158e-03
1.000141078050510e-02	-4.997562e-03
1.000176705656921e-02	-4.996690e-03
1.000204943866772e-02	-4.995413e-03
1.000228203904243e-02	-4.993495e-03
1.000248138736235e-02	-4.990538e-03
1.000265081741755e-02	-4.986050e-03
1.000278285816751e-02	-4.979810e-03
1.000286638583304e-02	-4.972898e-03
1.000292290292240e-02	-4.964655e-03
1.000297335323832e-02	-4.949912e-03
1.000302349910016e-02	-4.930444e-03
1.000350686634491e-02	-4.744816e-03
1.000399023358966e-02	-4.559415e-03
1.000447360083441e-02	-4.374239e-03
1.000495696807916e-02	-4.189289e-03
1.000544033532391e-02	-4.004565e-03
1.000592370256866e-02	-3.820066e-03
1.000640706981341e-02	-3.635793e-03
1.000839843047481e-02	-2.876927e-03
1.001121774024511e-02	-1.770068e-03
1.001369676602539e-02	-6.000587e-04
1.001506690622959e-02	-2.179728e-04
1.001665914038241e-02	-1.842255e-04
1.001760360450656e-02	-1.462399e-04
1.001883894363186e-02	-1.188831e-04
1.002130962188246e-02	-7.397789e-05
1.002365657856459e-02	-4.855418e-05
1.002574364544500e-02	-3.242844e-05
1.002775996675929e-02	-2.252883e-05
1.002995689576850e-02	-1.477703e-05
1.003214739949303e-02	-9.892173e-06
1.003426990513867e-02	-6.589632e-06
1.003647669643064e-02	-4.385798e-06
1.003862490555270e-02	-2.910715e-06
1.004094145461052e-02	-1.893464e-06
1.004321270832249e-02	-1.227925e-06
1.004573498187134e-02	-7.669345e-07
1.004876119960966e-02	-4.281780e-07
1.005245135279209e-02	-2.118409e-07
1.005723471462279e-02	-8.037697e-08
1.006362531377930e-02	-2.163389e-08
1.007309062341892e-02	-7.394961e-10
1.008889833996694e-02	-4.620063e-10
1.122890954367799e-02	-1.826327e-10
1.236892074738903e-02	-3.728399e-12
1.350893195110008e-02	7.470669e-11
1.464894315481113e-02	5.267256e-11
1.578895435852217e-02	-6.983081e-11
1.692896556223322e-02	-2.928034e-10
1.806897676594426e-02	-6.162452e-10
1.906897676594426e-02	4.728615e-10
2.000000000000000e-02	-nan(ind)
