time	I(Vcell12)
0.000000000000000e+00	-2.619906e-07
9.999999439624929e-11	-2.610327e-07
1.999999887924986e-10	-2.601277e-07
1.599999910339989e-09	-2.475216e-07
3.199999820679977e-09	-2.332545e-07
6.399999641359955e-09	-2.051628e-07
1.279999928271991e-08	-1.507111e-07
2.559999856543982e-08	-4.844218e-08
4.832762248055117e-08	1.128481e-07
7.266233476010906e-08	2.218883e-07
8.545364133411044e-08	1.411699e-07
9.471314450455050e-08	-5.605906e-08
1.053633344944031e-07	-3.638499e-07
1.177885194445864e-07	-7.312591e-07
1.350593063517968e-07	-1.214181e-06
1.685472973986284e-07	-2.046786e-06
2.001577569938030e-07	-2.686327e-06
2.437039874538279e-07	-3.230316e-06
2.872580127097989e-07	-3.380692e-06
3.416129060107935e-07	-3.352810e-06
4.110387802748076e-07	-3.300428e-06
5.310920901559100e-07	-3.216132e-06
7.711987099181145e-07	-3.087730e-06
1.000884393053851e-06	-3.007059e-06
1.304539394485799e-06	-2.939602e-06
1.610378459708635e-06	-2.899339e-06
2.037550221251969e-06	-2.866311e-06
2.515340814455212e-06	-2.844688e-06
3.205669592397171e-06	-2.822754e-06
4.077778942200160e-06	-2.798997e-06
5.523588444146936e-06	-2.760935e-06
7.274467476110601e-06	-2.724680e-06
9.397924472506016e-06	-2.843370e-06
1.045518903784630e-05	-3.201226e-06
1.120565040988593e-05	-3.783223e-06
1.194192253058082e-05	-4.658345e-06
1.280746540607965e-05	-5.944244e-06
1.374117680249439e-05	-7.454393e-06
1.471412999933136e-05	-9.030701e-06
1.583182056574315e-05	-1.076413e-05
1.731762742510445e-05	-1.285501e-05
1.916673260202381e-05	-1.499907e-05
2.143976378434191e-05	-1.688707e-05
2.431303540923535e-05	-1.829806e-05
2.632408235851935e-05	-1.827727e-05
2.866972900530070e-05	-1.776392e-05
3.036746684432743e-05	-1.735216e-05
3.591709643491568e-05	-1.606329e-05
4.098989933310222e-05	-1.498502e-05
4.731636904027140e-05	-1.377357e-05
4.909568860187774e-05	-7.173151e-05
5.011176691693626e-05	-1.536854e-04
5.086218517494508e-05	-1.902003e-04
5.142839352688116e-05	-2.377520e-04
5.206290275184801e-05	-2.712079e-04
5.251080989561218e-05	-3.067388e-04
5.285345221736423e-05	-3.160745e-04
5.318565773515045e-05	-3.428457e-04
5.356384890063261e-05	-3.593922e-04
5.397770141428529e-05	-3.912072e-04
5.480540644159066e-05	-4.376717e-04
5.559556114491591e-05	-4.938924e-04
5.671765693336324e-05	-5.598102e-04
5.800633430145273e-05	-6.477778e-04
5.983439825049958e-05	-7.580980e-04
6.182139673859749e-05	-8.889587e-04
6.257937260215665e-05	-9.307094e-04
6.298616029433261e-05	-9.616926e-04
6.322206268628097e-05	-9.708341e-04
6.344704769648476e-05	-9.902342e-04
6.368472872139240e-05	-9.995705e-04
6.390307403631761e-05	-1.018315e-03
6.413600282047463e-05	-1.027293e-03
6.436079081379353e-05	-1.046090e-03
6.459837233369604e-05	-1.054992e-03
6.483688620293432e-05	-1.073891e-03
6.509553176552101e-05	-1.082963e-03
6.537365912019423e-05	-1.102342e-03
6.571065039117540e-05	-1.112778e-03
6.616256809696439e-05	-1.135894e-03
6.692386629126158e-05	-1.155504e-03
6.772094051418275e-05	-1.182098e-03
6.862932477145510e-05	-1.198215e-03
6.997176886606787e-05	-1.231614e-03
7.200350900375662e-05	-1.265362e-03
7.404449283101535e-05	-1.307252e-03
7.657739400592273e-05	-1.345802e-03
7.913064593937993e-05	-1.393840e-03
8.299339415983369e-05	-1.452049e-03
8.799603975373904e-05	-1.537761e-03
9.652055473131164e-05	-1.667458e-03
1.065205547313116e-04	-1.828777e-03
1.165205547313116e-04	-1.978402e-03
1.265205547313116e-04	-2.137551e-03
1.465205547313116e-04	-2.443822e-03
1.765205547313116e-04	-2.895480e-03
2.013516474943778e-04	-3.277325e-03
2.035338183971294e-04	-3.304968e-03
2.042704498176790e-04	-3.312736e-03
2.049894382000813e-04	-3.309793e-03
2.053559488283856e-04	-3.314318e-03
2.057005210705602e-04	-3.310380e-03
2.063896655549095e-04	-3.314897e-03
2.071475929284588e-04	-3.310926e-03
2.086634476755576e-04	-3.315314e-03
2.103739254955065e-04	-3.311173e-03
2.121662192509415e-04	-3.315312e-03
2.141840774079816e-04	-3.311012e-03
2.167526797658281e-04	-3.315009e-03
2.201965447830765e-04	-3.310529e-03
2.250480901909293e-04	-3.314275e-03
2.324014575385292e-04	-3.309417e-03
2.424014575385292e-04	-3.312736e-03
2.524014575385292e-04	-3.307754e-03
2.624014575385292e-04	-3.311218e-03
2.724014575385292e-04	-3.306381e-03
2.824014575385292e-04	-3.309981e-03
2.924014575385292e-04	-3.305268e-03
3.024014575385292e-04	-3.308980e-03
3.124014575385292e-04	-3.304368e-03
3.224014575385292e-04	-3.308172e-03
3.324014575385292e-04	-3.303643e-03
3.424014575385292e-04	-3.307520e-03
3.524014575385292e-04	-3.303058e-03
3.624014575385292e-04	-3.306995e-03
3.724014575385292e-04	-3.302586e-03
3.824014575385292e-04	-3.306572e-03
3.924014575385292e-04	-3.302206e-03
4.024014575385292e-04	-3.306230e-03
4.124014575385292e-04	-3.301899e-03
4.224014575385292e-04	-3.305955e-03
4.324014575385292e-04	-3.301652e-03
4.424014575385292e-04	-3.305733e-03
4.524014575385292e-04	-3.301452e-03
4.624014575385292e-04	-3.305553e-03
4.724014575385292e-04	-3.301291e-03
4.824014575385292e-04	-3.305409e-03
4.924014575385291e-04	-3.301161e-03
5.024014575385292e-04	-3.305292e-03
5.124014575385292e-04	-3.301056e-03
5.224014575385292e-04	-3.305198e-03
5.324014575385291e-04	-3.300972e-03
5.424014575385292e-04	-3.305122e-03
5.624014575385292e-04	-3.305060e-03
5.824014575385292e-04	-3.305011e-03
6.024014575385292e-04	-3.304971e-03
6.224014575385292e-04	-3.304938e-03
6.424014575385292e-04	-3.304912e-03
6.724014575385292e-04	-3.300696e-03
7.024014575385292e-04	-3.304860e-03
7.238300289671006e-04	-3.304251e-03
7.452586003956720e-04	-3.303643e-03
7.666871718242435e-04	-3.303037e-03
7.881157432528149e-04	-3.302433e-03
8.095443146813863e-04	-3.301829e-03
8.309728861099577e-04	-3.301228e-03
8.524014575385291e-04	-3.300627e-03
8.995443146813863e-04	-3.301221e-03
9.466871718242435e-04	-3.301816e-03
9.938300289671007e-04	-3.302412e-03
1.040972886109958e-03	-3.303008e-03
1.088115743252815e-03	-3.303605e-03
1.135258600395672e-03	-3.304203e-03
1.182401457538529e-03	-3.304801e-03
1.353830028967101e-03	-3.303519e-03
1.525258600395672e-03	-3.302664e-03
1.696687171824244e-03	-3.302236e-03
1.868115743252815e-03	-3.302236e-03
2.039544314681387e-03	-3.302663e-03
2.210972886109958e-03	-3.303518e-03
2.382401457538529e-03	-3.304800e-03
2.693830028967100e-03	-3.303517e-03
3.005258600395672e-03	-3.302662e-03
3.316687171824244e-03	-3.302235e-03
3.628115743252815e-03	-3.302235e-03
3.939544314681387e-03	-3.302663e-03
4.250972886109958e-03	-3.303518e-03
4.562401457538529e-03	-3.304800e-03
9.272401457538529e-03	-3.300607e-03
9.992401457538528e-03	-3.300607e-03
1.000000000000000e-02	-3.304804e-03
1.000000000100000e-02	-3.300656e-03
1.000000000200000e-02	-3.303504e-03
1.000000000347517e-02	-3.301341e-03
1.000000000560198e-02	-3.303138e-03
1.000000000985561e-02	-3.301607e-03
1.000000003537736e-02	-3.301842e-03
1.000000006940637e-02	-3.303373e-03
1.000000013746440e-02	-3.302000e-03
1.000000027358044e-02	-3.303411e-03
1.000000054581253e-02	-3.302003e-03
1.000000109027671e-02	-3.303412e-03
1.000000217920506e-02	-3.302006e-03
1.000000435706178e-02	-3.303415e-03
1.000000871277520e-02	-3.302009e-03
1.000001493772448e-02	-3.303416e-03
1.000002566750753e-02	-3.302008e-03
1.000004712707362e-02	-3.303415e-03
1.000007002806088e-02	-3.302008e-03
1.000008616603948e-02	-3.303414e-03
1.000010788702696e-02	-3.302008e-03
1.000012571946637e-02	-3.303416e-03
1.000014522529124e-02	-3.302010e-03
1.000016720689174e-02	-3.303418e-03
1.000020362258235e-02	-3.302015e-03
1.000026047468927e-02	-3.303428e-03
1.000033044861116e-02	-3.302030e-03
1.000040239007214e-02	-3.303445e-03
1.000053931123349e-02	-3.302055e-03
1.000073246471062e-02	-3.303487e-03
1.000093991489280e-02	-3.302111e-03
1.000113528772032e-02	-3.303558e-03
1.000132082092568e-02	-3.302206e-03
1.000147534439347e-02	-3.303669e-03
1.000165194373237e-02	-3.302325e-03
1.000182561735814e-02	-3.303784e-03
1.000211574048583e-02	-3.302443e-03
1.000240579865672e-02	-3.303892e-03
1.000267193555899e-02	-3.302508e-03
1.000297153467962e-02	-3.303927e-03
1.000326191036390e-02	-3.302524e-03
1.000361319490264e-02	-3.303927e-03
1.000398079520368e-02	-3.302507e-03
1.000444376200051e-02	-3.303887e-03
1.000497190167841e-02	-3.302440e-03
1.000569043096106e-02	-3.303783e-03
1.000662298776132e-02	-3.302284e-03
1.000812279417810e-02	-3.303538e-03
1.001104778961199e-02	-3.301871e-03
1.001499666941458e-02	-3.303060e-03
1.001877490965676e-02	-3.301574e-03
1.002165623057672e-02	-3.302974e-03
1.002433835713492e-02	-3.301581e-03
1.002723584860280e-02	-3.303011e-03
1.003038841723918e-02	-3.301626e-03
1.003334200331663e-02	-3.303044e-03
1.003627594883192e-02	-3.301639e-03
1.003911794312572e-02	-3.303037e-03
1.004201587795294e-02	-3.301613e-03
1.004487183214576e-02	-3.302995e-03
1.004776654837848e-02	-3.301556e-03
1.005063596629120e-02	-3.302925e-03
1.005405405178910e-02	-3.301468e-03
1.005783723410132e-02	-3.302813e-03
1.006760915669084e-02	-3.302627e-03
1.008218218544179e-02	-3.302294e-03
1.009218218544179e-02	-3.300630e-03
1.010218218544179e-02	-3.301770e-03
1.011218218544179e-02	-3.300074e-03
1.012218218544179e-02	-3.301095e-03
1.013218218544179e-02	-3.298727e-03
1.013619903428666e-02	-3.298436e-03
1.013790257182940e-02	-3.294070e-03
1.013870568460145e-02	-3.290215e-03
1.013954257998794e-02	-3.280269e-03
1.014080936024027e-02	-3.267512e-03
1.014213770212866e-02	-3.255609e-03
1.014471991649516e-02	-3.227780e-03
1.014892514280606e-02	-3.186092e-03
1.015380297931244e-02	-3.133891e-03
1.016110936596681e-02	-3.058716e-03
1.016890437764090e-02	-2.974514e-03
1.017890437764090e-02	-2.869110e-03
1.018890437764090e-02	-2.759911e-03
1.019890437764090e-02	-2.653250e-03
1.020890437764090e-02	-2.543111e-03
1.021890437764090e-02	-2.435697e-03
1.022890437764090e-02	-2.324912e-03
1.023890437764090e-02	-2.216897e-03
1.025890437764090e-02	-1.996839e-03
1.027890437764090e-02	-1.775067e-03
1.028890437764090e-02	-1.661640e-03
1.029890437764090e-02	-1.550145e-03
1.030890437764090e-02	-1.433652e-03
1.031890437764090e-02	-1.316023e-03
1.032890437764090e-02	-1.179204e-03
1.033229670574595e-02	-1.110738e-03
1.033348493610323e-02	-1.069302e-03
1.033413079498133e-02	-1.045254e-03
1.033439435854325e-02	-1.032395e-03
1.033462134469537e-02	-1.024322e-03
1.033510934803070e-02	-1.002989e-03
1.033553747788793e-02	-9.835845e-04
1.033596560774516e-02	-9.642726e-04
1.033639373760239e-02	-9.450534e-04
1.033682186745961e-02	-9.259270e-04
1.033724999731684e-02	-9.068933e-04
1.033767812717407e-02	-8.879523e-04
1.033810625703130e-02	-8.691040e-04
1.034003775346239e-02	-7.818826e-04
1.034200919699039e-02	-6.908935e-04
1.034530436021990e-02	-5.409415e-04
1.034944044053106e-02	-3.473218e-04
1.035281948234599e-02	-1.896663e-04
1.035502464798239e-02	-8.319596e-05
1.035621284910075e-02	-2.743444e-05
1.035674900917251e-02	-1.767537e-05
1.035715101086288e-02	-1.134039e-05
1.035754628049865e-02	-9.362842e-06
1.035797333892285e-02	-5.634387e-06
1.035838055020652e-02	-5.460546e-06
1.035881191077065e-02	-3.063157e-06
1.035923929618903e-02	-3.709516e-06
1.035969983465006e-02	-1.890407e-06
1.036017282061394e-02	-2.912009e-06
1.036069516027834e-02	-1.360066e-06
1.036125641341669e-02	-2.558921e-06
1.036190353507640e-02	-1.132012e-06
1.036263977809700e-02	-2.414354e-06
1.036354166329689e-02	-1.044396e-06
1.036464681478592e-02	-2.362302e-06
1.036613091437616e-02	-1.012481e-06
1.036780512915579e-02	-2.340018e-06
1.036986060813778e-02	-9.928939e-07
1.037235903105133e-02	-2.318432e-06
1.037584356611635e-02	-9.658896e-07
