time	Ix(Sgnd12:D)
0.000000000000000e+00	-2.550641e-11
9.999999439624929e-11	3.388175e-08
1.999999887924986e-10	6.683808e-08
3.999999775849972e-10	1.316788e-07
7.999999551699943e-10	2.607384e-07
1.599999910339989e-09	5.164028e-07
3.199999820679977e-09	1.018124e-06
6.399999641359955e-09	1.984388e-06
1.279999928271991e-08	3.778716e-06
2.559999856543982e-08	7.066540e-06
3.304058311155489e-08	8.937840e-06
4.030369570258585e-08	1.114897e-05
4.481223973123549e-08	1.335250e-05
4.892053006473823e-08	1.653921e-05
5.363228997554550e-08	2.092042e-05
5.892334482129520e-08	2.492657e-05
6.390304848967054e-08	2.658300e-05
7.003184496632686e-08	2.564950e-05
7.644395824242521e-08	2.138171e-05
8.421476994044925e-08	1.376983e-05
9.267027369557906e-08	5.254941e-06
1.007092509964763e-07	-3.602059e-06
1.094044883859045e-07	-1.438284e-05
1.266383392444545e-07	-3.616648e-05
1.452563894018809e-07	-5.903346e-05
1.685813935860178e-07	-8.636594e-05
1.934340018897083e-07	-1.135177e-04
2.317026038954060e-07	-1.511656e-04
2.720495544242173e-07	-1.841562e-04
3.232218388208109e-07	-2.134358e-04
3.709997812821326e-07	-2.270806e-04
4.185299651348625e-07	-2.307254e-04
4.738125383574221e-07	-2.311786e-04
5.688942207667109e-07	-2.311726e-04
7.271354218665540e-07	-2.308073e-04
9.797068953225383e-07	-2.299957e-04
1.220520734490840e-06	-2.291375e-04
1.543429086746955e-06	-2.279409e-04
1.878976353583043e-06	-2.266829e-04
2.351967411437270e-06	-2.249061e-04
2.886716210969335e-06	-2.229068e-04
3.686200660570844e-06	-2.199410e-04
4.331733916359849e-06	-2.175673e-04
4.819931120678665e-06	-2.157869e-04
5.176323039905297e-06	-2.144935e-04
5.444192678901489e-06	-2.135212e-04
5.653126613267403e-06	-2.127560e-04
5.813125626865585e-06	-2.121570e-04
5.913267528204193e-06	-2.117669e-04
5.994338188908150e-06	-2.114391e-04
6.102948415679316e-06	-2.110473e-04
6.126492357482874e-06	-2.110050e-04
6.151987305179891e-06	-2.109596e-04
6.175512981966750e-06	-2.108807e-04
6.222564335540468e-06	-2.107089e-04
6.282592957682749e-06	-2.104884e-04
6.380049705074195e-06	-2.101306e-04
6.569138132063425e-06	-2.094389e-04
6.945028503452184e-06	-2.080725e-04
7.696809246229701e-06	-2.053734e-04
9.200370731784735e-06	-2.001179e-04
1.220749370289480e-05	-1.901146e-04
1.571035293022183e-05	-1.791687e-04
1.894545460536710e-05	-1.695775e-04
2.260083543483842e-05	-1.591966e-04
2.601317800463155e-05	-1.499387e-04
2.951199823088499e-05	-1.406175e-04
3.059500028633596e-05	-1.375516e-04
3.083912991855067e-05	-1.367935e-04
3.098668772832811e-05	-1.363151e-04
3.110107235250913e-05	-1.359424e-04
3.120485146069218e-05	-1.356043e-04
3.130566997026090e-05	-1.352764e-04
3.140441481228929e-05	-1.349558e-04
3.149923625863808e-05	-1.346488e-04
3.160321077536824e-05	-1.343133e-04
3.169900754040586e-05	-1.340052e-04
3.181562706303617e-05	-1.336317e-04
3.192081458123575e-05	-1.332962e-04
3.204489340399313e-05	-1.329022e-04
3.216685491827523e-05	-1.325169e-04
3.230501185935833e-05	-1.320828e-04
3.245092851972326e-05	-1.316271e-04
3.261915990806145e-05	-1.311051e-04
3.280720042320439e-05	-1.305262e-04
3.303552671843735e-05	-1.298295e-04
3.331140841819641e-05	-1.289970e-04
3.367448144368281e-05	-1.279170e-04
3.416676557327837e-05	-1.264808e-04
3.490070650648494e-05	-1.243994e-04
3.607903770235784e-05	-1.212022e-04
3.820622860232593e-05	-1.158257e-04
4.225510272683678e-05	-1.064650e-04
4.625418710567452e-05	-9.817639e-05
5.327211510116799e-05	-8.519623e-05
5.893327902482615e-05	-7.580172e-05
6.544998194923426e-05	-6.615552e-05
7.212666675517881e-05	-5.719167e-05
7.702016853190601e-05	-5.110672e-05
8.071912278240289e-05	-4.667116e-05
8.412038347932012e-05	-4.252826e-05
8.671447101250349e-05	-3.910140e-05
8.888177476892677e-05	-3.574610e-05
9.111880853427469e-05	-3.153815e-05
9.332747040390631e-05	-2.646752e-05
9.664852081793765e-05	-1.748062e-05
1.000000019999994e-04	-7.495288e-06
1.000000179999994e-04	-7.495189e-06
1.000000499999994e-04	-7.494991e-06
1.000001139999994e-04	-7.494614e-06
1.000004979999994e-04	-7.492708e-06
1.000010099999994e-04	-7.490625e-06
1.000026746908899e-04	-7.485332e-06
1.000038390265287e-04	-7.482230e-06
1.000140352583053e-04	-7.453648e-06
1.000242314900818e-04	-7.424278e-06
1.000344277218583e-04	-7.394119e-06
1.000446239536349e-04	-7.363171e-06
1.000548201854114e-04	-7.331434e-06
1.000650164171880e-04	-7.298908e-06
1.000752126489645e-04	-7.265593e-06
1.005772791043747e-04	-5.666576e-06
1.011510693391293e-04	-3.850659e-06
1.022986498086383e-04	-3.037680e-07
1.039073545193062e-04	4.425347e-06
1.048992250940789e-04	7.079271e-06
1.054729325872417e-04	8.417413e-06
1.060241653186786e-04	9.545165e-06
1.064657415097047e-04	1.033605e-05
1.069242121781230e-04	1.102630e-05
1.078411535149596e-04	1.213744e-05
1.092815983399646e-04	1.347073e-05
1.106446841726720e-04	1.437034e-05
1.122850683278554e-04	1.509961e-05
1.140702426868863e-04	1.561296e-05
1.162846133708777e-04	1.598000e-05
1.187937674932822e-04	1.616665e-05
1.218435196171120e-04	1.618482e-05
1.254416810421898e-04	1.603248e-05
1.298544998832292e-04	1.571035e-05
1.343333722094512e-04	1.531832e-05
1.394947272186749e-04	1.484342e-05
1.444939465321676e-04	1.437842e-05
1.508579481666331e-04	1.378346e-05
1.586640262434420e-04	1.297295e-05
1.615338455158126e-04	1.250479e-05
1.627937636595755e-04	1.217182e-05
1.631963739581323e-04	1.202923e-05
1.636506467003436e-04	1.184431e-05
1.640937543136977e-04	1.165323e-05
1.645956814786866e-04	1.142771e-05
1.651918284987711e-04	1.115198e-05
1.658608655556027e-04	1.083796e-05
1.666186476402370e-04	1.048127e-05
1.674772479487560e-04	1.008114e-05
1.685043785974588e-04	9.612319e-06
1.697788708181540e-04	9.049220e-06
1.714679785454989e-04	8.336674e-06
1.738991157489849e-04	7.367929e-06
1.762179204533494e-04	6.504148e-06
1.789467685304544e-04	5.561298e-06
1.817540463722509e-04	4.667590e-06
1.852810646016953e-04	3.643877e-06
1.891475716427395e-04	2.635432e-06
1.940992369338595e-04	1.498659e-06
1.999002652394701e-04	3.598914e-07
2.078651279721741e-04	-9.225766e-07
2.178651279721741e-04	-2.195326e-06
2.278651279721741e-04	-3.166829e-06
2.378651279721741e-04	-3.892676e-06
