time	V(n032)
0.000000000000000e+00	-6.924311e-13
9.999999439624929e-11	1.020735e-09
1.999999887924986e-10	1.708125e-09
3.999999775849972e-10	3.396855e-09
7.999999551699943e-10	7.069443e-09
1.599999910339989e-09	1.415843e-08
3.199999820679977e-09	2.828400e-08
6.399999641359955e-09	5.554069e-08
1.279999928271991e-08	1.069559e-07
2.559999856543982e-08	1.979902e-07
3.304058311155489e-08	2.463581e-07
4.030369570258585e-08	3.026236e-07
4.481223973123549e-08	3.618526e-07
4.892053006473823e-08	4.519556e-07
5.363228997554550e-08	5.891132e-07
5.892334482129520e-08	7.119534e-07
6.390304848967054e-08	7.561358e-07
7.003184496632686e-08	7.384145e-07
7.644395824242521e-08	6.214261e-07
8.421476994044925e-08	3.670036e-07
9.267027369557906e-08	1.621928e-07
1.007092509964763e-07	-9.060314e-08
1.094044883859045e-07	-3.990796e-07
1.266383392444545e-07	-1.010132e-06
1.452563894018809e-07	-1.650732e-06
1.685813935860178e-07	-2.414714e-06
1.934340018897083e-07	-3.182154e-06
2.317026038954060e-07	-4.250551e-06
2.720495544242173e-07	-5.205575e-06
3.232218388208109e-07	-6.065588e-06
3.709997812821326e-07	-6.399078e-06
4.185299651348625e-07	-6.434156e-06
4.738125383574221e-07	-6.442381e-06
5.688942207667109e-07	-6.441197e-06
7.271354218665540e-07	-6.431576e-06
9.797068953225383e-07	-6.408234e-06
1.220520734490840e-06	-6.385317e-06
1.543429086746955e-06	-6.351929e-06
1.878976353583043e-06	-6.318354e-06
2.351967411437270e-06	-6.269202e-06
2.886716210969335e-06	-6.215444e-06
3.686200660570844e-06	-6.133983e-06
4.331733916359849e-06	-6.070251e-06
4.819931120678665e-06	-6.021184e-06
5.176323039905297e-06	-5.986843e-06
5.444192678901489e-06	-5.959790e-06
5.653126613267403e-06	-5.939946e-06
5.813125626865585e-06	-5.923263e-06
5.913267528204193e-06	-5.913804e-06
5.994338188908150e-06	-5.904576e-06
6.102948415679316e-06	-5.893925e-06
6.126492357482874e-06	-5.892376e-06
6.151987305179891e-06	-5.891060e-06
6.175512981966750e-06	-5.887847e-06
6.222564335540468e-06	-5.884029e-06
6.282592957682749e-06	-5.877134e-06
6.380049705074195e-06	-5.868265e-06
6.569138132063425e-06	-5.848528e-06
6.945028503452184e-06	-5.812085e-06
7.696809246229701e-06	-5.737295e-06
9.200370731784735e-06	-5.593150e-06
1.220749370289480e-05	-5.313464e-06
1.571035293022183e-05	-5.008483e-06
1.894545460536710e-05	-4.735638e-06
2.260083543483842e-05	-4.442623e-06
2.601317800463155e-05	-4.183060e-06
2.951199823088499e-05	-3.928322e-06
3.059500028633596e-05	-3.838499e-06
3.083912991855067e-05	-3.817393e-06
3.098668772832811e-05	-3.803053e-06
3.110107235250913e-05	-3.793499e-06
3.120485146069218e-05	-3.783133e-06
3.130566997026090e-05	-3.774835e-06
3.140441481228929e-05	-3.764967e-06
3.149923625863808e-05	-3.757250e-06
3.160321077536824e-05	-3.746973e-06
3.169900754040586e-05	-3.739216e-06
3.181562706303617e-05	-3.727883e-06
3.192081458123575e-05	-3.719349e-06
3.204489340399313e-05	-3.707454e-06
3.216685491827523e-05	-3.697518e-06
3.230501185935833e-05	-3.684505e-06
3.245092851972326e-05	-3.672586e-06
3.261915990806145e-05	-3.657116e-06
3.280720042320439e-05	-3.641737e-06
3.303552671843735e-05	-3.621368e-06
3.331140841819641e-05	-3.598866e-06
3.367448144368281e-05	-3.567719e-06
3.416676557327837e-05	-3.528198e-06
3.490070650648494e-05	-3.468709e-06
3.607903770235784e-05	-3.378969e-06
3.820622860232593e-05	-3.224601e-06
4.225510272683678e-05	-2.961513e-06
4.625418710567452e-05	-2.727848e-06
5.327211510116799e-05	-2.365114e-06
5.893327902482615e-05	-2.104308e-06
6.544998194923426e-05	-1.835959e-06
7.212666675517881e-05	-1.588190e-06
7.702016853190601e-05	-1.422497e-06
8.071912278240289e-05	-1.299801e-06
8.412038347932012e-05	-1.186529e-06
8.671447101250349e-05	-1.092479e-06
8.888177476892677e-05	-1.001603e-06
9.111880853427469e-05	-8.845426e-07
9.332747040390631e-05	-7.459366e-07
9.664852081793765e-05	-4.953225e-07
1.000000019999994e-04	-2.091519e-07
1.000000179999994e-04	-2.089891e-07
1.000000499999994e-04	-2.088421e-07
1.000001139999994e-04	-2.087716e-07
1.000004979999994e-04	-2.087304e-07
1.000010099999994e-04	-2.086807e-07
1.000026746908899e-04	-2.085340e-07
1.000038390265287e-04	-2.084375e-07
1.000140352583053e-04	-2.075869e-07
1.000242314900818e-04	-2.067247e-07
1.000344277218583e-04	-2.058509e-07
1.000446239536349e-04	-2.049657e-07
1.000548201854114e-04	-2.040688e-07
1.000650164171880e-04	-2.031605e-07
1.000752126489645e-04	-2.022405e-07
1.005772791043747e-04	-1.576086e-07
1.011510693391293e-04	-1.067265e-07
1.022986498086383e-04	-6.428569e-09
1.039073545193062e-04	1.266739e-07
1.048992250940789e-04	2.005733e-07
1.054729325872417e-04	2.374159e-07
1.060241653186786e-04	2.686981e-07
1.064657415097047e-04	2.900818e-07
1.069242121781230e-04	3.095178e-07
1.078411535149596e-04	3.416031e-07
1.092815983399646e-04	3.785218e-07
1.106446841726720e-04	4.026291e-07
1.122850683278554e-04	4.225665e-07
1.140702426868863e-04	4.365250e-07
1.162846133708777e-04	4.465419e-07
1.187937674932822e-04	4.514494e-07
1.218435196171120e-04	4.517489e-07
1.254416810421898e-04	4.472523e-07
1.298544998832292e-04	4.378025e-07
1.343333722094512e-04	4.265086e-07
1.394947272186749e-04	4.132675e-07
1.444939465321676e-04	4.003124e-07
1.508579481666331e-04	3.837133e-07
1.586640262434420e-04	3.634072e-07
1.615338455158126e-04	3.500775e-07
1.627937636595755e-04	3.393648e-07
1.631963739581323e-04	3.352421e-07
1.636506467003436e-04	3.298751e-07
1.640937543136977e-04	3.246228e-07
1.645956814786866e-04	3.181821e-07
1.651918284987711e-04	3.105446e-07
1.658608655556027e-04	3.016610e-07
1.666186476402370e-04	2.917552e-07
1.674772479487560e-04	2.805006e-07
1.685043785974588e-04	2.674587e-07
1.697788708181540e-04	2.516450e-07
1.714679785454989e-04	2.317081e-07
1.738991157489849e-04	2.045928e-07
1.762179204533494e-04	1.805899e-07
1.789467685304544e-04	1.542453e-07
1.817540463722509e-04	1.293290e-07
1.852810646016953e-04	1.006395e-07
1.891475716427395e-04	7.243445e-08
1.940992369338595e-04	4.046089e-08
1.999002652394701e-04	8.388430e-09
2.078651279721741e-04	-2.798819e-08
2.178651279721741e-04	-6.332549e-08
2.278651279721741e-04	-8.986856e-08
2.378651279721741e-04	-1.096222e-07
2.478651279721741e-04	-1.243962e-07
2.578651279721741e-04	-1.352616e-07
2.678651279721741e-04	-1.433212e-07
2.778651279721741e-04	-1.491180e-07
2.878651279721741e-04	-1.533510e-07
2.978651279721741e-04	-1.562634e-07
3.078651279721741e-04	-1.583225e-07
3.178651279721741e-04	-1.596008e-07
3.278651279721741e-04	-1.604322e-07
3.378651279721741e-04	-1.607924e-07
3.478651279721741e-04	-1.609376e-07
3.578651279721741e-04	-1.607895e-07
3.678651279721741e-04	-1.605474e-07
3.778651279721741e-04	-1.599297e-07
3.871057302604581e-04	-1.592076e-07
3.971057302604581e-04	-1.581934e-07
4.071057302604581e-04	-1.571525e-07
4.171057302604581e-04	-1.559825e-07
4.271057302604581e-04	-1.548589e-07
4.371057302604581e-04	-1.536598e-07
4.471057302604581e-04	-1.525432e-07
4.571057302604581e-04	-1.513788e-07
4.671057302604581e-04	-1.503148e-07
4.771057302604581e-04	-1.492175e-07
4.871057302604581e-04	-1.482282e-07
4.971057302604581e-04	-1.472127e-07
5.071057302604581e-04	-1.463074e-07
5.171057302604581e-04	-1.453786e-07
5.271057302604580e-04	-1.445590e-07
5.371057302604581e-04	-1.437164e-07
5.471057302604581e-04	-1.429802e-07
5.571057302604581e-04	-1.422200e-07
5.671057302604580e-04	-1.415626e-07
5.771057302604581e-04	-1.408795e-07
5.871057302604581e-04	-1.402951e-07
5.971057302604581e-04	-1.396832e-07
6.071057302604580e-04	-1.391657e-07
6.171057302604581e-04	-1.386185e-07
6.271057302604581e-04	-1.381617e-07
6.371057302604581e-04	-1.376733e-07
6.471057302604580e-04	-1.372712e-07
6.571057302604581e-04	-1.368357e-07
6.671057302604581e-04	-1.364825e-07
6.771057302604581e-04	-1.360944e-07
6.871057302604580e-04	-1.357851e-07
6.971057302604581e-04	-1.354394e-07
7.071057302604581e-04	-1.351690e-07
7.171057302604581e-04	-1.348611e-07
7.271057302604580e-04	-1.346253e-07
7.371057302604581e-04	-1.343510e-07
7.471057302604581e-04	-1.341459e-07
7.571057302604581e-04	-1.339014e-07
7.671057302604580e-04	-1.337234e-07
7.771057302604581e-04	-1.335054e-07
7.871057302604581e-04	-1.333513e-07
7.971057302604581e-04	-1.331568e-07
8.071057302604580e-04	-1.330238e-07
8.171057302604581e-04	-1.328501e-07
8.271057302604581e-04	-1.327357e-07
8.371057302604581e-04	-1.325803e-07
8.471057302604580e-04	-1.324823e-07
8.571057302604580e-04	-1.323431e-07
8.671057302604581e-04	-1.322595e-07
8.771057302604581e-04	-1.321347e-07
8.871057302604580e-04	-1.320636e-07
8.971057302604580e-04	-1.319516e-07
9.071057302604581e-04	-1.318916e-07
9.171057302604581e-04	-1.317907e-07
9.271057302604580e-04	-1.317404e-07
9.371057302604580e-04	-1.316495e-07
9.471057302604581e-04	-1.316076e-07
9.571057302604581e-04	-1.315255e-07
9.671057302604580e-04	-1.314910e-07
9.771057302604580e-04	-1.314167e-07
9.871057302604581e-04	-1.313886e-07
9.971057302604581e-04	-1.313212e-07
1.000000000000000e-03	-1.313290e-07
1.000000001000000e-03	-1.313291e-07
1.000000017000000e-03	-1.313298e-07
1.000000049000000e-03	-1.313300e-07
1.000000113000000e-03	-1.313305e-07
1.000000241000000e-03	-1.313310e-07
1.000000497000000e-03	-1.313318e-07
1.000001009000000e-03	-1.313324e-07
1.000002033000000e-03	-1.313324e-07
1.000004081000000e-03	-1.313309e-07
1.000008177000000e-03	-1.313283e-07
1.000016369000001e-03	-1.313245e-07
1.000032753000001e-03	-1.313207e-07
1.000065521000002e-03	-1.313186e-07
1.000131057000004e-03	-1.313183e-07
1.000262129000007e-03	-1.313177e-07
1.000524273000015e-03	-1.313166e-07
1.001048561000029e-03	-1.313142e-07
1.002097137000058e-03	-1.313097e-07
1.004194289000116e-03	-1.313006e-07
1.008388593000232e-03	-1.312830e-07
1.016777201000463e-03	-1.312490e-07
1.026777201000463e-03	-1.312109e-07
1.036777201000463e-03	-1.311751e-07
1.046777201000463e-03	-1.311417e-07
1.056777201000463e-03	-1.311103e-07
1.066777201000463e-03	-1.310810e-07
1.076777201000463e-03	-1.310535e-07
1.086777201000463e-03	-1.310277e-07
1.096777201000463e-03	-1.310036e-07
1.106777201000463e-03	-1.309811e-07
1.116777201000463e-03	-1.309599e-07
1.126777201000463e-03	-1.309401e-07
1.136777201000463e-03	-1.309216e-07
1.146777201000463e-03	-1.309043e-07
1.156777201000463e-03	-1.308880e-07
1.166777201000463e-03	-1.308728e-07
1.176777201000463e-03	-1.308585e-07
1.186777201000463e-03	-1.308452e-07
1.196777201000463e-03	-1.308327e-07
1.206777201000463e-03	-1.308211e-07
1.216777201000463e-03	-1.308101e-07
1.226777201000463e-03	-1.307999e-07
1.236777201000463e-03	-1.307903e-07
1.246777201000463e-03	-1.307814e-07
1.256777201000463e-03	-1.307730e-07
1.266777201000463e-03	-1.307652e-07
1.276777201000463e-03	-1.307578e-07
1.286777201000463e-03	-1.307510e-07
1.296777201000463e-03	-1.307445e-07
1.306777201000463e-03	-1.307386e-07
1.316777201000463e-03	-1.307329e-07
1.326777201000463e-03	-1.307277e-07
1.336777201000463e-03	-1.307228e-07
1.346777201000463e-03	-1.307182e-07
1.356777201000463e-03	-1.307139e-07
1.366777201000463e-03	-1.307099e-07
