time	I(B1)	I(Rfuse2)	I(Rfuse_1)
0.000000000000000e+00	5.000000e-01	0.000000e+00	0.000000e+00
9.999999939225290e-09	2.886147e-01	9.009830e-02	8.978140e-02
1.002476900942313e-08	2.860027e-01	9.717477e-02	9.685789e-02
1.007430714981881e-08	2.792524e-01	1.146199e-01	1.143048e-01
1.017338343061016e-08	2.721945e-01	1.239577e-01	1.236464e-01
1.031516998498772e-08	2.647127e-01	1.270503e-01	1.267440e-01
1.055915176182941e-08	2.542421e-01	1.247864e-01	1.244870e-01
1.078317091976180e-08	2.459119e-01	1.210277e-01	1.207324e-01
1.123120923562658e-08	2.309783e-01	1.137192e-01	1.134280e-01
1.147225111733613e-08	2.236477e-01	1.101678e-01	1.098775e-01
1.169553233240455e-08	2.174136e-01	1.070673e-01	1.067769e-01
1.181654443680222e-08	2.141673e-01	1.055754e-01	1.052848e-01
1.188801898461128e-08	2.123361e-01	1.046486e-01	1.043578e-01
1.196140483700341e-08	2.105071e-01	1.037008e-01	1.034098e-01
1.205274564478339e-08	2.082600e-01	1.026525e-01	1.023612e-01
1.218591027353399e-08	2.051017e-01	1.010759e-01	1.007840e-01
1.232547553754142e-08	2.019089e-01	9.952749e-02	9.923495e-02
1.257651491627327e-08	1.964767e-01	9.684308e-02	9.654920e-02
1.291661765288091e-08	1.896834e-01	9.351541e-02	9.321952e-02
1.359682312609620e-08	1.776327e-01	8.758363e-02	8.728344e-02
1.456194090259759e-08	1.633506e-01	8.055589e-02	8.024970e-02
1.649217645560036e-08	1.407522e-01	6.941423e-02	6.909744e-02
1.849396702645387e-08	1.230070e-01	6.065770e-02	6.033286e-02
2.150958857994266e-08	1.036538e-01	5.110059e-02	5.076948e-02
2.479289138681992e-08	8.811276e-02	4.342514e-02	4.309336e-02
2.758544191076615e-08	7.827651e-02	3.856885e-02	3.824100e-02
3.030563104496986e-08	7.098556e-02	3.497167e-02	3.465097e-02
3.383507060640924e-08	6.362808e-02	3.134418e-02	3.103568e-02
3.729319174968944e-08	5.820399e-02	2.867376e-02	2.837918e-02
4.371855771871090e-08	5.110168e-02	2.518119e-02	2.491420e-02
5.131972167532564e-08	4.562666e-02	2.248916e-02	2.225274e-02
6.271978747149678e-08	4.093979e-02	2.017364e-02	1.997252e-02
7.525136829018190e-08	3.823140e-02	1.882018e-02	1.863878e-02
8.850664463702687e-08	3.688594e-02	1.813484e-02	1.795324e-02
1.015812734278862e-07	3.629582e-02	1.782468e-02	1.763021e-02
1.185952030373730e-07	3.597916e-02	1.764456e-02	1.742862e-02
1.351616971160262e-07	3.586909e-02	1.756576e-02	1.732942e-02
1.682946852733325e-07	3.582814e-02	1.749236e-02	1.721765e-02
2.016357920348569e-07	3.584174e-02	1.744260e-02	1.713259e-02
2.360005736089630e-07	3.587594e-02	1.740121e-02	1.705917e-02
2.700739679042123e-07	3.591612e-02	1.736942e-02	1.700030e-02
3.064148415478175e-07	3.596311e-02	1.735018e-02	1.695687e-02
3.442312139526966e-07	3.601121e-02	1.734643e-02	1.693204e-02
3.760248143876567e-07	3.604538e-02	1.735455e-02	1.692712e-02
4.113901657768561e-07	3.607206e-02	1.736819e-02	1.693287e-02
4.821208685552548e-07	3.610298e-02	1.739154e-02	1.694692e-02
5.507630134610386e-07	3.611335e-02	1.740877e-02	1.695207e-02
6.290713934637513e-07	3.610795e-02	1.742359e-02	1.694676e-02
7.058159988469009e-07	3.609469e-02	1.743487e-02	1.693586e-02
7.910880596736898e-07	3.607844e-02	1.744474e-02	1.692351e-02
8.411990623569404e-07	3.607031e-02	1.744954e-02	1.691788e-02
8.718097761788685e-07	3.606620e-02	1.745229e-02	1.691542e-02
9.010370378124321e-07	3.606281e-02	1.745472e-02	1.691356e-02
9.320641377864831e-07	3.605963e-02	1.745715e-02	1.691204e-02
9.649124618088018e-07	3.605672e-02	1.745964e-02	1.691100e-02
1.030609109853439e-06	3.605188e-02	1.746417e-02	1.690980e-02
1.096813173396231e-06	3.604783e-02	1.746847e-02	1.690957e-02
1.160625932245905e-06	3.604460e-02	1.747234e-02	1.691012e-02
1.227842636232821e-06	3.604168e-02	1.747619e-02	1.691127e-02
1.294711873691884e-06	3.603907e-02	1.747981e-02	1.691279e-02
1.362841317965970e-06	3.603662e-02	1.748335e-02	1.691461e-02
1.431635180041832e-06	3.603425e-02	1.748676e-02	1.691662e-02
1.501525591775242e-06	3.603187e-02	1.749011e-02	1.691874e-02
1.572680564762776e-06	3.602942e-02	1.749342e-02	1.692088e-02
1.645763365013593e-06	3.602678e-02	1.749673e-02	1.692297e-02
1.721857001527969e-06	3.602380e-02	1.750011e-02	1.692488e-02
1.803039708576839e-06	3.602028e-02	1.750367e-02	1.692653e-02
1.893030023319001e-06	3.601595e-02	1.750754e-02	1.692784e-02
2.001700497453170e-06	3.601040e-02	1.751210e-02	1.692902e-02
2.154078390192955e-06	3.600285e-02	1.751821e-02	1.693075e-02
2.385824193619758e-06	3.599279e-02	1.752706e-02	1.693466e-02
2.634172108967469e-06	3.598375e-02	1.753607e-02	1.694032e-02
2.922186354677216e-06	3.597469e-02	1.754604e-02	1.694785e-02
3.248848696092002e-06	3.596604e-02	1.755674e-02	1.695663e-02
3.558965419434815e-06	3.596013e-02	1.756630e-02	1.696481e-02
3.879161852745326e-06	3.595622e-02	1.757562e-02	1.697296e-02
4.197241067347855e-06	3.595335e-02	1.758447e-02	1.698083e-02
4.537687800049657e-06	3.595033e-02	1.759358e-02	1.698905e-02
4.886320813970819e-06	3.594668e-02	1.760260e-02	1.699730e-02
5.262160211974970e-06	3.594195e-02	1.761199e-02	1.700602e-02
5.656828787555678e-06	3.593619e-02	1.762149e-02	1.701498e-02
6.090938086139003e-06	3.592923e-02	1.763149e-02	1.702461e-02
6.561541435074085e-06	3.592127e-02	1.764183e-02	1.703477e-02
7.092710190651479e-06	3.591191e-02	1.765290e-02	1.704592e-02
7.688641795907494e-06	3.589991e-02	1.766473e-02	1.705819e-02
8.381893436479707e-06	3.588299e-02	1.767790e-02	1.707231e-02
8.959709675691483e-06	3.586726e-02	1.768829e-02	1.708385e-02
9.622024865791558e-06	3.656714e-02	1.850470e-02	1.700928e-02
1.017149771645192e-05	4.727724e-02	3.074655e-02	1.551493e-02
1.041998893850929e-05	7.298316e-02	5.884774e-02	1.313910e-02
1.074617279655624e-05	1.384858e-01	1.288291e-01	8.685041e-03
1.089530531714429e-05	1.768054e-01	1.689925e-01	6.851466e-03
1.110996858709273e-05	2.403424e-01	2.346111e-01	4.783443e-03
1.144918952319560e-05	3.481288e-01	3.447817e-01	2.418716e-03
1.168218184811575e-05	4.254673e-01	4.232424e-01	1.309013e-03
1.190252157303750e-05	4.852472e-01	4.840766e-01	2.844069e-04
1.204673773231211e-05	5.000000e-01	4.994502e-01	-3.158336e-04
1.214123658155881e-05	5.000000e-01	4.996411e-01	-5.012944e-04
1.224949909990562e-05	5.000000e-01	4.997644e-01	-6.188585e-04
1.238886395133856e-05	5.000000e-01	4.998677e-01	-7.148961e-04
1.254459768364598e-05	5.000000e-01	4.999309e-01	-7.705759e-04
1.274844164095072e-05	5.000000e-01	4.999748e-01	-8.049304e-04
1.296302133580474e-05	5.000000e-01	4.999948e-01	-8.155346e-04
1.329663877250080e-05	5.000000e-01	4.999859e-01	-7.974622e-04
1.363466066245296e-05	5.000000e-01	4.999428e-01	-7.523305e-04
1.399766550152683e-05	5.000000e-01	4.999041e-01	-7.111750e-04
1.434899179722267e-05	5.000000e-01	4.998873e-01	-6.887719e-04
1.468305039951955e-05	5.000000e-01	4.998806e-01	-6.752496e-04
1.517828163619304e-05	5.000000e-01	4.998773e-01	-6.611767e-04
1.597191997707557e-05	5.000000e-01	4.998794e-01	-6.454620e-04
1.680601708331548e-05	5.000000e-01	4.998851e-01	-6.327699e-04
1.758742115922782e-05	5.000000e-01	4.998915e-01	-6.229372e-04
1.844706910324955e-05	5.000000e-01	4.998989e-01	-6.134133e-04
1.929230009416287e-05	5.000000e-01	4.999059e-01	-6.049568e-04
2.024775888623886e-05	5.000000e-01	4.999132e-01	-5.961488e-04
2.118898509946843e-05	5.000000e-01	4.999201e-01	-5.881366e-04
2.218614197453467e-05	5.000000e-01	4.999267e-01	-5.802328e-04
2.316088641821903e-05	5.000000e-01	4.999326e-01	-5.730564e-04
2.435503745887054e-05	5.000000e-01	4.999391e-01	-5.648571e-04
2.566141580488579e-05	5.000000e-01	4.968316e-01	2.557414e-03
2.727507433384841e-05	5.000000e-01	4.764265e-01	2.297997e-02
2.790632488917119e-05	5.000000e-01	4.559436e-01	4.346693e-02
2.815956315131672e-05	5.000000e-01	4.482225e-01	5.118616e-02
2.831134558082322e-05	5.000000e-01	4.469157e-01	5.249005e-02
2.846544279047378e-05	5.000000e-01	4.467170e-01	5.268557e-02
2.864024591408280e-05	5.000000e-01	4.464818e-01	5.291705e-02
2.882985225956325e-05	5.000000e-01	4.463966e-01	5.299819e-02
2.918631475017409e-05	5.000000e-01	4.463778e-01	5.300940e-02
2.954946444292649e-05	5.000000e-01	4.464328e-01	5.294658e-02
3.014416818812678e-05	5.000000e-01	4.465747e-01	5.279193e-02
3.054095675047133e-05	5.000000e-01	4.455782e-01	5.378110e-02
3.068447317350441e-05	5.000000e-01	4.433228e-01	5.603534e-02
3.072407804293667e-05	5.000000e-01	4.418724e-01	5.748633e-02
3.074299332044895e-05	5.000000e-01	4.409382e-01	5.842058e-02
3.076303815714803e-05	5.000000e-01	4.399126e-01	5.944640e-02
3.077746055345604e-05	5.000000e-01	4.391773e-01	6.018180e-02
3.079248051603568e-05	5.000000e-01	4.384147e-01	6.094443e-02
3.080756390435080e-05	5.000000e-01	4.376526e-01	6.170670e-02
3.082350954815562e-05	5.000000e-01	4.368495e-01	6.250981e-02
3.084351496742974e-05	5.000000e-01	4.358498e-01	6.350978e-02
3.086703767315508e-05	5.000000e-01	4.346815e-01	6.467821e-02
3.090014095067675e-05	5.000000e-01	4.330577e-01	6.630233e-02
3.094748296972758e-05	5.000000e-01	4.307774e-01	6.858297e-02
3.104216700782923e-05	5.000000e-01	4.263607e-01	7.300038e-02
3.118192853256329e-05	5.000000e-01	4.202029e-01	7.915931e-02
3.146145158203142e-05	5.000000e-01	4.089137e-01	9.045064e-02
3.180154415461821e-05	5.000000e-01	3.966323e-01	1.027346e-01
3.216955481635112e-05	5.000000e-01	3.849418e-01	1.144278e-01
3.250171483629769e-05	5.000000e-01	3.756994e-01	1.236726e-01
3.290218662080879e-05	5.000000e-01	3.659046e-01	1.334702e-01
3.327050287065202e-05	5.000000e-01	3.579620e-01	1.414153e-01
3.370574473392019e-05	5.000000e-01	3.497014e-01	1.496788e-01
3.413125333260795e-05	5.000000e-01	3.425900e-01	1.567930e-01
3.464342854781381e-05	5.000000e-01	3.350881e-01	1.642981e-01
3.516965706634324e-05	5.000000e-01	3.283649e-01	1.710245e-01
3.582257399617937e-05	5.000000e-01	3.211562e-01	1.782370e-01
3.652441714559246e-05	5.000000e-01	3.145338e-01	1.848632e-01
3.744315170881841e-05	5.000000e-01	3.072407e-01	1.921612e-01
3.846223356072125e-05	5.000000e-01	3.004672e-01	1.989396e-01
3.947499469074446e-05	5.000000e-01	2.948414e-01	2.045701e-01
4.045471334715414e-05	5.000000e-01	2.902473e-01	2.091684e-01
4.144113761167513e-05	5.000000e-01	2.862976e-01	2.131221e-01
4.247816262074190e-05	5.000000e-01	2.827394e-01	2.166842e-01
4.372414309065032e-05	5.000000e-01	2.790906e-01	2.203374e-01
4.512441407248201e-05	5.000000e-01	2.756278e-01	2.238046e-01
4.682273833152479e-05	5.000000e-01	2.721387e-01	2.272986e-01
4.879356590509298e-05	5.000000e-01	2.688386e-01	2.306039e-01
5.131395279130577e-05	5.000000e-01	2.654912e-01	2.339568e-01
5.445773452362265e-05	5.000000e-01	2.623030e-01	2.371509e-01
5.889684525402356e-05	5.000000e-01	2.590323e-01	2.404282e-01
6.427344118011093e-05	5.000000e-01	2.562901e-01	2.431764e-01
7.077057880919048e-05	5.000000e-01	2.540901e-01	2.453816e-01
7.734306159850503e-05	5.000000e-01	2.526560e-01	2.468192e-01
8.533003080070473e-05	5.000000e-01	2.515755e-01	2.479024e-01
9.391670171674325e-05	5.000000e-01	2.508815e-01	2.485983e-01
1.051909756706513e-04	5.000000e-01	2.503819e-01	2.490993e-01
1.184323933674312e-04	5.000000e-01	2.500929e-01	2.493891e-01
1.371072964680516e-04	5.000000e-01	2.499301e-01	2.495523e-01
1.625122083580627e-04	5.000000e-01	2.498620e-01	2.496206e-01
