time	V(n001)	I(Cij)
0.000000000000000e+00	3.299984e+00	-3.299998e-03
9.999999939225290e-09	3.299984e+00	-3.308946e-03
1.015624993827569e-08	3.299984e+00	-3.309021e-03
1.109374993257806e-08	3.299984e+00	-3.309486e-03
1.205431650675559e-08	3.299984e+00	-3.309976e-03
1.310998562654655e-08	3.299984e+00	-3.310497e-03
1.488232472164329e-08	3.299984e+00	-3.311235e-03
1.829128519957916e-08	3.299984e+00	-3.311812e-03
2.159305021525086e-08	3.299984e+00	-3.311185e-03
2.427225750682289e-08	3.299984e+00	-3.310031e-03
2.657853342841319e-08	3.299984e+00	-3.308937e-03
2.912009108086946e-08	3.299984e+00	-3.308051e-03
3.215647791598616e-08	3.299984e+00	-3.307834e-03
3.542973493916605e-08	3.299984e+00	-3.308674e-03
3.788011020924227e-08	3.299984e+00	-3.309784e-03
4.024089328889689e-08	3.299984e+00	-3.310859e-03
4.309786271789955e-08	3.299984e+00	-3.311674e-03
4.622193546000533e-08	3.299984e+00	-3.311605e-03
5.033882729065708e-08	3.299984e+00	-3.310211e-03
5.280998866967706e-08	3.299984e+00	-3.309064e-03
5.522289152171470e-08	3.299984e+00	-3.308190e-03
5.843005214373129e-08	3.299984e+00	-3.307872e-03
6.153947669084804e-08	3.299984e+00	-3.308575e-03
6.417157561532576e-08	3.299984e+00	-3.309700e-03
6.658249409964552e-08	3.299984e+00	-3.310773e-03
6.942387984190588e-08	3.299984e+00	-3.311591e-03
7.258021610332954e-08	3.299984e+00	-3.311562e-03
7.662275855505585e-08	3.299984e+00	-3.310262e-03
7.898376816687519e-08	3.299984e+00	-3.309188e-03
8.137079403461813e-08	3.299984e+00	-3.308302e-03
8.465222247019304e-08	3.299984e+00	-3.307898e-03
8.772528570562678e-08	3.299984e+00	-3.308502e-03
9.050515470862157e-08	3.299984e+00	-3.309629e-03
9.294406787434815e-08	3.299984e+00	-3.310689e-03
9.577207770452644e-08	3.299984e+00	-3.311504e-03
9.896564218772069e-08	3.299984e+00	-3.311507e-03
1.029651556245017e-07	3.299984e+00	-3.310279e-03
1.052447218379758e-07	3.299984e+00	-3.309268e-03
1.076799035017284e-07	3.299984e+00	-3.308366e-03
1.109814109648531e-07	3.299984e+00	-3.307927e-03
