time	I(Vcell15)
0.000000000000000e+00	-4.576911e-07
9.999999439624929e-11	-4.572649e-07
1.999999887924986e-10	-4.568093e-07
3.999999775849972e-10	-4.558418e-07
7.999999551699943e-10	-4.536265e-07
1.599999910339989e-09	-4.484987e-07
3.199999820679977e-09	-4.370119e-07
6.399999641359955e-09	-4.125244e-07
1.279999928271991e-08	-3.616134e-07
2.559999856543982e-08	-2.582121e-07
5.119999713087964e-08	-6.176340e-08
9.252085555450540e-08	2.048849e-07
1.510336381077248e-07	-3.745704e-07
2.057411795961891e-07	-1.825967e-06
2.712256136408146e-07	-3.354619e-06
3.308487844021954e-07	-4.324508e-06
4.500951259249572e-07	-4.948583e-06
4.715237994946577e-07	-4.956204e-06
5.143811466340588e-07	-4.964897e-06
6.000958409128609e-07	-4.982959e-06
7.715252294704652e-07	-5.034301e-06
1.114384006585674e-06	-5.141040e-06
1.680508233312252e-06	-5.219902e-06
2.394953908581658e-06	-5.170325e-06
3.411350232638382e-06	-5.001226e-06
5.126386043420963e-06	-4.698739e-06
8.556457664986125e-06	-4.213908e-06
1.541660090811645e-05	-9.296109e-06
2.541660090811645e-05	-2.610326e-05
3.541660090811645e-05	-3.667612e-05
4.541660090811645e-05	-4.119106e-05
5.541660090811645e-05	-4.094680e-05
6.541660090811645e-05	-3.815192e-05
7.541660090811645e-05	-3.524308e-05
8.541660090811645e-05	-3.270810e-05
9.541660090811645e-05	-3.030423e-05
1.000000009999994e-04	-2.928695e-05
1.000000019999994e-04	-2.928555e-05
1.000000179999994e-04	-2.928655e-05
1.000000499999994e-04	-2.928580e-05
1.000001139999994e-04	-2.928782e-05
1.000002419999994e-04	-2.928986e-05
1.000004979999994e-04	-2.929489e-05
1.000010099999994e-04	-2.929425e-05
1.000020339999994e-04	-2.928805e-05
1.000040819999994e-04	-2.928064e-05
1.000081779999994e-04	-2.928080e-05
1.000163699999994e-04	-2.927785e-05
1.000327539999994e-04	-2.927587e-05
1.000655219999995e-04	-2.926883e-05
1.001310579999995e-04	-2.925634e-05
1.002621299999997e-04	-2.922648e-05
1.005242740000000e-04	-2.916963e-05
1.010485620000006e-04	-2.905337e-05
1.020971380000018e-04	-2.882506e-05
1.041942900000042e-04	-2.837013e-05
1.083885940000089e-04	-2.748149e-05
1.167772020000184e-04	-2.577241e-05
1.267772020000184e-04	-2.386429e-05
1.367772020000184e-04	-2.209271e-05
1.467772020000184e-04	-2.986010e-05
1.567772020000184e-04	-7.215668e-05
1.648370761366138e-04	-1.973683e-06
1.732074283844796e-04	-3.882995e-05
1.774363064504269e-04	4.034911e-06
1.812906573433853e-04	-3.713115e-05
1.876738121864834e-04	5.408458e-06
1.938106783459822e-04	-3.573504e-05
2.038106783459822e-04	7.074826e-06
2.138106783459822e-04	-3.385603e-05
2.238106783459822e-04	8.815147e-06
2.338106783459822e-04	-5.576868e-05
2.438106783459822e-04	-2.153673e-05
2.538106783459821e-04	-5.830082e-05
2.638106783459822e-04	-2.327483e-05
2.738106783459821e-04	-6.077909e-05
2.838106783459822e-04	-2.494983e-05
2.938106783459821e-04	-6.312537e-05
3.038106783459821e-04	-2.669019e-05
3.138106783459821e-04	-6.535559e-05
3.238106783459821e-04	-2.835387e-05
3.338106783459821e-04	-6.755154e-05
3.438106783459821e-04	-3.000922e-05
3.538106783459821e-04	-6.971304e-05
3.638106783459821e-04	-3.127087e-05
3.738106783459821e-04	-7.116886e-05
3.838106783459821e-04	-3.259631e-05
3.938106783459821e-04	-2.414068e-02
4.038106783459821e-04	-1.003967e-01
4.105337762675420e-04	-1.377354e-01
4.169968904000507e-04	-1.516025e-01
4.247054831186082e-04	-1.679439e-01
4.320268563133381e-04	-1.828992e-01
4.420268563133381e-04	-2.029527e-01
4.520268563133381e-04	-2.126893e-01
4.620268563133381e-04	-2.189876e-01
4.720268563133381e-04	-2.244063e-01
4.820268563133381e-04	-2.301668e-01
4.920268563133382e-04	-2.353521e-01
5.020268563133381e-04	-2.409749e-01
5.120268563133381e-04	-2.460659e-01
5.220268563133381e-04	-2.516168e-01
5.320268563133382e-04	-2.566510e-01
5.420268563133381e-04	-2.621535e-01
5.520268563133381e-04	-2.671468e-01
5.620268563133381e-04	-2.726119e-01
5.720268563133382e-04	-2.775724e-01
5.820268563133381e-04	-2.830063e-01
5.920268563133381e-04	-2.879389e-01
6.020268563133381e-04	-2.933454e-01
6.120268563133382e-04	-2.982531e-01
6.220268563133381e-04	-3.036349e-01
6.320268563133381e-04	-3.085200e-01
6.420268563133381e-04	-3.138789e-01
6.520268563133382e-04	-3.161846e-01
6.620268563133381e-04	-3.172050e-01
6.720268563133381e-04	-3.173512e-01
6.820268563133381e-04	-3.178889e-01
6.920268563133382e-04	-3.178114e-01
7.020268563133381e-04	-3.182233e-01
7.120268563133381e-04	-3.180661e-01
7.220268563133381e-04	-3.184242e-01
7.320268563133382e-04	-3.182286e-01
7.420268563133381e-04	-3.185584e-01
7.520268563133381e-04	-3.183413e-01
7.620268563133381e-04	-3.186542e-01
7.720268563133381e-04	-3.184237e-01
7.820268563133381e-04	-3.187258e-01
7.920268563133381e-04	-3.184864e-01
8.020268563133381e-04	-3.187810e-01
8.120268563133381e-04	-3.185355e-01
8.220268563133381e-04	-3.188248e-01
8.320268563133381e-04	-3.185749e-01
8.420268563133381e-04	-3.188601e-01
8.520268563133381e-04	-3.186069e-01
8.620268563133381e-04	-3.188892e-01
8.720268563133381e-04	-3.186334e-01
8.820268563133381e-04	-3.189133e-01
8.920268563133381e-04	-3.186556e-01
9.020268563133381e-04	-3.189335e-01
9.120268563133381e-04	-3.186743e-01
9.220268563133381e-04	-3.189507e-01
9.320268563133381e-04	-3.186902e-01
9.420268563133381e-04	-3.189654e-01
9.520268563133381e-04	-3.187039e-01
9.620268563133381e-04	-3.189780e-01
9.720268563133381e-04	-3.187158e-01
9.820268563133382e-04	-3.189889e-01
9.920268563133382e-04	-3.187260e-01
1.000000000000000e-03	-3.189975e-01
1.000000001000000e-03	-3.190235e-01
1.000000017000000e-03	-3.190186e-01
1.000000049000000e-03	-3.190008e-01
1.000000113000000e-03	-3.189841e-01
1.000000241000000e-03	-3.189476e-01
1.000000497000000e-03	-3.189095e-01
1.000001009000000e-03	-3.188716e-01
1.000002033000000e-03	-3.188640e-01
1.000004081000000e-03	-3.188626e-01
1.000008177000000e-03	-3.188649e-01
1.000016369000001e-03	-3.188623e-01
1.000032753000001e-03	-3.188650e-01
1.000065521000002e-03	-3.188623e-01
1.000131057000004e-03	-3.188650e-01
1.000262129000007e-03	-3.188623e-01
1.000524273000015e-03	-3.188652e-01
1.001048561000029e-03	-3.188627e-01
1.002097137000058e-03	-3.188659e-01
1.004194289000116e-03	-3.188641e-01
1.008388593000232e-03	-3.188686e-01
1.016777201000463e-03	-3.188694e-01
1.026777201000463e-03	-3.188760e-01
1.036777201000463e-03	-3.188769e-01
1.046777201000463e-03	-3.188831e-01
1.056777201000463e-03	-3.188836e-01
1.066777201000463e-03	-3.188893e-01
1.076777201000463e-03	-3.188894e-01
1.086777201000463e-03	-3.188948e-01
1.096777201000463e-03	-3.188946e-01
1.106777201000463e-03	-3.188997e-01
1.116777201000463e-03	-3.188992e-01
1.126777201000463e-03	-3.189040e-01
1.136777201000463e-03	-3.189033e-01
1.146777201000463e-03	-3.189079e-01
1.156777201000463e-03	-3.189069e-01
1.166777201000463e-03	-3.189113e-01
1.176777201000463e-03	-3.189102e-01
1.186777201000463e-03	-3.189144e-01
1.196777201000463e-03	-3.189130e-01
1.206777201000463e-03	-3.189171e-01
1.216777201000463e-03	-3.189156e-01
1.226777201000463e-03	-3.189196e-01
1.236777201000463e-03	-3.189179e-01
1.246777201000463e-03	-3.189217e-01
1.256777201000463e-03	-3.189200e-01
1.266777201000463e-03	-3.189237e-01
1.276777201000463e-03	-3.189219e-01
1.286777201000463e-03	-3.189255e-01
1.296777201000463e-03	-3.189235e-01
1.306777201000463e-03	-3.189270e-01
1.316777201000463e-03	-3.189251e-01
1.326777201000463e-03	-3.189285e-01
1.336777201000463e-03	-3.189264e-01
1.346777201000463e-03	-3.189298e-01
1.356777201000463e-03	-3.189276e-01
1.366777201000463e-03	-3.189309e-01
1.376777201000463e-03	-3.189287e-01
1.386777201000463e-03	-3.189320e-01
1.396777201000463e-03	-3.189297e-01
1.406777201000463e-03	-3.189329e-01
1.416777201000463e-03	-3.189306e-01
1.426777201000463e-03	-3.189338e-01
1.436777201000463e-03	-3.189314e-01
1.446777201000463e-03	-3.189345e-01
1.456777201000463e-03	-3.189321e-01
1.466777201000463e-03	-3.189352e-01
1.476777201000463e-03	-3.189328e-01
1.486777201000463e-03	-3.189358e-01
1.496777201000463e-03	-3.189333e-01
1.506777201000463e-03	-3.189364e-01
1.516777201000463e-03	-3.189339e-01
1.526777201000463e-03	-3.189369e-01
1.536777201000463e-03	-3.189344e-01
1.546777201000463e-03	-3.189373e-01
1.556777201000463e-03	-3.189348e-01
1.566777201000463e-03	-3.189377e-01
1.576777201000463e-03	-3.189352e-01
1.586777201000463e-03	-3.189381e-01
1.596777201000463e-03	-3.189355e-01
1.606777201000463e-03	-3.189385e-01
1.616777201000463e-03	-3.189359e-01
1.626777201000463e-03	-3.189388e-01
1.636777201000463e-03	-3.189362e-01
1.646777201000463e-03	-3.189391e-01
1.656777201000463e-03	-3.189364e-01
1.666777201000463e-03	-3.189393e-01
1.676777201000463e-03	-3.189367e-01
1.686777201000463e-03	-3.189395e-01
1.696777201000463e-03	-3.189369e-01
1.706777201000463e-03	-3.189397e-01
1.716777201000463e-03	-3.189371e-01
1.726777201000463e-03	-3.189399e-01
1.736777201000463e-03	-3.189372e-01
1.746777201000463e-03	-3.189401e-01
1.756777201000463e-03	-3.189374e-01
1.766777201000463e-03	-3.189403e-01
1.776777201000463e-03	-3.189376e-01
1.786777201000463e-03	-3.189404e-01
1.796777201000463e-03	-3.189377e-01
1.806777201000463e-03	-3.189405e-01
1.816777201000463e-03	-3.189378e-01
1.826777201000463e-03	-3.189406e-01
1.836777201000463e-03	-3.189379e-01
1.846777201000463e-03	-3.189407e-01
1.856777201000463e-03	-3.189380e-01
1.866777201000463e-03	-3.189408e-01
