time	I(Vcell15)
0.000000000000000e+00	-1.304558e-06
9.999999439624929e-11	-1.304140e-06
1.999999887924986e-10	-1.303697e-06
3.999999775849972e-10	-1.302760e-06
7.999999551699943e-10	-1.300635e-06
1.599999910339989e-09	-1.295769e-06
3.199999820679977e-09	-1.284991e-06
6.399999641359955e-09	-1.262236e-06
1.279999928271991e-08	-1.215241e-06
2.559999856543982e-08	-1.120245e-06
5.119999713087964e-08	-9.402397e-07
9.246836233724925e-08	-6.966021e-07
1.509464896159009e-07	-1.244078e-06
2.056477513197836e-07	-2.613826e-06
2.711089164856950e-07	-4.077575e-06
3.307160233224870e-07	-5.049586e-06
4.499302369960711e-07	-5.779477e-06
4.726459094992694e-07	-5.787012e-06
5.180772545056659e-07	-5.790176e-06
6.089399445184590e-07	-5.795308e-06
7.906653245440450e-07	-5.824598e-06
1.154116084595217e-06	-5.898783e-06
1.732298781783925e-06	-5.947412e-06
2.455606653067474e-06	-5.896461e-06
3.488132917689737e-06	-5.752069e-06
5.266638673671726e-06	-5.498979e-06
8.823650185635705e-06	-5.207025e-06
1.593767320956366e-05	-1.537540e-05
2.593767320956366e-05	-3.440463e-05
3.593767320956366e-05	-4.651154e-05
4.593767320956366e-05	-4.829745e-05
5.593767320956366e-05	-4.662525e-05
6.593767320956366e-05	-4.383904e-05
7.593767320956366e-05	-4.190139e-05
8.593767320956366e-05	-3.927038e-05
9.593767320956366e-05	-3.750065e-05
1.000000009999994e-04	-3.632149e-05
1.000000019999994e-04	-3.632296e-05
1.000000179999994e-04	-3.634991e-05
1.000000499999994e-04	-3.636540e-05
1.000001139999994e-04	-3.636162e-05
1.000002419999994e-04	-3.637313e-05
1.000004979999994e-04	-3.638204e-05
1.000010099999994e-04	-3.640608e-05
1.000020339999994e-04	-3.642396e-05
1.000040819999994e-04	-3.644421e-05
1.000081779999994e-04	-3.645424e-05
1.000163699999994e-04	-3.647405e-05
1.000327539999994e-04	-3.647931e-05
1.000655219999995e-04	-3.647865e-05
1.001310579999995e-04	-3.646107e-05
1.002621299999997e-04	-3.643944e-05
1.005242740000000e-04	-3.638311e-05
1.010485620000006e-04	-3.628234e-05
1.020971380000018e-04	-3.606965e-05
1.041942900000042e-04	-3.566008e-05
1.083885940000089e-04	-3.484551e-05
1.167772020000184e-04	-3.329394e-05
1.267772020000184e-04	-3.154587e-05
1.367772020000184e-04	-7.370557e-05
1.467772020000184e-04	-4.563618e-05
1.523282179888033e-04	-2.041048e-05
1.567376422218519e-04	-3.971958e-05
1.596313782809858e-04	-1.659921e-05
1.627936092688007e-04	-3.874929e-05
1.665372443468691e-04	-1.566939e-05
1.719986193767235e-04	-3.754278e-05
1.819986193767235e-04	-1.399122e-05
1.919986193767235e-04	-3.546506e-05
2.019986193767235e-04	-1.212541e-05
2.119986193767235e-04	-3.370041e-05
2.219986193767235e-04	-1.053113e-05
2.319986193767235e-04	-3.219362e-05
2.419986193767235e-04	-9.167867e-06
2.519986193767235e-04	-3.090509e-05
2.619986193767235e-04	-2.003646e-05
2.719986193767235e-04	-8.942978e-05
2.819986193767235e-04	-3.831601e-02
2.919986193767235e-04	-1.266756e-01
2.975201184064908e-04	-1.444247e-01
3.028670489355589e-04	-1.610308e-01
3.086543750549845e-04	-1.785471e-01
3.186543750549845e-04	-2.045207e-01
3.286543750549845e-04	-2.211547e-01
3.386543750549845e-04	-2.286424e-01
3.486543750549845e-04	-2.357779e-01
3.586543750549845e-04	-2.423646e-01
3.686543750549845e-04	-2.491541e-01
3.786543750549845e-04	-2.555471e-01
3.886543750549845e-04	-2.622064e-01
3.986543750549845e-04	-2.685077e-01
4.086543750549845e-04	-2.750919e-01
4.186543750549845e-04	-2.813353e-01
4.286543750549845e-04	-2.878666e-01
4.386543750549845e-04	-2.940676e-01
4.486543750549845e-04	-3.005571e-01
4.586543750549845e-04	-3.067240e-01
4.686543750549845e-04	-3.131781e-01
4.786543750549845e-04	-3.193158e-01
4.886543750549845e-04	-3.253754e-01
4.986543750549845e-04	-3.266794e-01
5.086543750549845e-04	-3.275349e-01
5.186543750549845e-04	-3.276379e-01
5.286543750549845e-04	-3.281215e-01
5.386543750549845e-04	-3.280386e-01
5.486543750549844e-04	-3.284161e-01
5.586543750549845e-04	-3.282641e-01
5.686543750549845e-04	-3.285951e-01
5.786543750549845e-04	-3.284093e-01
5.886543750549844e-04	-3.287154e-01
5.986543750549845e-04	-3.285104e-01
6.086543750549845e-04	-3.288017e-01
6.186543750549845e-04	-3.285847e-01
6.286543750549844e-04	-3.288662e-01
6.386543750549845e-04	-3.286413e-01
6.486543750549845e-04	-3.289162e-01
6.586543750549845e-04	-3.286857e-01
6.686543750549844e-04	-3.289558e-01
6.786543750549845e-04	-3.287212e-01
6.886543750549845e-04	-3.289877e-01
6.986543750549845e-04	-3.287501e-01
7.086543750549844e-04	-3.290139e-01
7.186543750549845e-04	-3.287740e-01
7.286543750549845e-04	-3.290357e-01
7.386543750549845e-04	-3.287940e-01
7.486543750549844e-04	-3.290539e-01
7.586543750549845e-04	-3.288108e-01
7.686543750549845e-04	-3.290693e-01
7.786543750549845e-04	-3.288251e-01
7.886543750549844e-04	-3.290825e-01
7.986543750549845e-04	-3.288374e-01
8.086543750549845e-04	-3.290938e-01
8.186543750549845e-04	-3.288480e-01
8.286543750549844e-04	-3.291036e-01
8.386543750549844e-04	-3.288571e-01
8.486543750549845e-04	-3.291120e-01
8.586543750549845e-04	-3.288651e-01
8.686543750549844e-04	-3.291194e-01
8.786543750549844e-04	-3.288721e-01
8.886543750549845e-04	-3.291258e-01
8.986543750549845e-04	-3.288782e-01
9.086543750549844e-04	-3.291315e-01
9.186543750549844e-04	-3.288835e-01
9.286543750549845e-04	-3.291364e-01
9.386543750549845e-04	-3.288883e-01
9.486543750549844e-04	-3.291408e-01
9.586543750549844e-04	-3.288925e-01
9.686543750549845e-04	-3.291447e-01
9.786543750549845e-04	-3.288962e-01
9.886543750549845e-04	-3.291481e-01
9.986543750549845e-04	-3.288995e-01
1.000000000000000e-03	-3.291497e-01
1.000000001000000e-03	-3.291557e-01
1.000000017000000e-03	-3.291769e-01
1.000000049000000e-03	-3.291358e-01
1.000000113000000e-03	-3.291414e-01
1.000000241000000e-03	-3.290816e-01
1.000000497000000e-03	-3.290693e-01
1.000001009000000e-03	-3.290160e-01
1.000002033000000e-03	-3.290372e-01
1.000004081000000e-03	-3.290124e-01
1.000008177000000e-03	-3.290377e-01
1.000016369000001e-03	-3.290121e-01
1.000032753000001e-03	-3.290376e-01
1.000065521000002e-03	-3.290120e-01
1.000131057000004e-03	-3.290376e-01
1.000262129000007e-03	-3.290120e-01
1.000524273000015e-03	-3.290377e-01
