time	Ix(M3:S)
0.000000000000000e+00	-2.013670e-07
9.999999439624929e-11	-2.009080e-07
1.999999887924986e-10	-2.004328e-07
3.999999775849972e-10	-1.994216e-07
7.999999551699943e-10	-1.972042e-07
1.599999910339989e-09	-1.922540e-07
3.199999820679977e-09	-1.812408e-07
6.399999641359955e-09	-1.570758e-07
1.279999928271991e-08	-1.053436e-07
2.559999856543982e-08	-8.106302e-11
5.119999713087964e-08	1.969543e-07
9.252085555450540e-08	2.696601e-07
1.510336381077248e-07	-4.109763e-07
2.057411795961891e-07	-1.670325e-06
2.712256136408146e-07	-3.237526e-06
3.308487844021954e-07	-4.169051e-06
4.500951259249572e-07	-5.073061e-06
4.715237994946577e-07	-5.141522e-06
5.143811466340588e-07	-5.186231e-06
6.000958409128609e-07	-5.269610e-06
7.715252294704652e-07	-5.425210e-06
1.114384006585674e-06	-5.658887e-06
1.680508233312252e-06	-5.834701e-06
2.394953908581658e-06	-5.808603e-06
3.411350232638382e-06	-5.583645e-06
5.126386043420963e-06	-5.165244e-06
8.556457664986125e-06	-5.035665e-06
1.541660090811645e-05	-7.839009e-06
2.541660090811645e-05	-1.483929e-05
3.541660090811645e-05	-2.052207e-05
4.541660090811645e-05	-2.306201e-05
5.541660090811645e-05	-2.310647e-05
6.541660090811645e-05	-2.177239e-05
7.541660090811645e-05	-2.010950e-05
8.541660090811645e-05	-1.860109e-05
9.541660090811645e-05	-1.729373e-05
1.000000009999994e-04	-1.677467e-05
1.000000019999994e-04	-1.677467e-05
1.000000179999994e-04	-1.677479e-05
1.000000499999994e-04	-1.677529e-05
1.000001139999994e-04	-1.677681e-05
1.000002419999994e-04	-1.678010e-05
1.000004979999994e-04	-1.678457e-05
1.000010099999994e-04	-1.678702e-05
1.000020339999994e-04	-1.678425e-05
1.000040819999994e-04	-1.677748e-05
1.000081779999994e-04	-1.676967e-05
1.000163699999994e-04	-1.676146e-05
1.000327539999994e-04	-1.675407e-05
1.000655219999995e-04	-1.674851e-05
1.001310579999995e-04	-1.674149e-05
1.002621299999997e-04	-1.672711e-05
1.005242740000000e-04	-1.669774e-05
1.010485620000006e-04	-1.663893e-05
1.020971380000018e-04	-1.652114e-05
1.041942900000042e-04	-1.628498e-05
1.083885940000089e-04	-1.581159e-05
1.167772020000184e-04	-1.487131e-05
1.267772020000184e-04	-1.378610e-05
1.367772020000184e-04	-1.311164e-05
1.467772020000184e-04	-1.451343e-05
1.567772020000184e-04	-1.473376e-05
1.648370761366138e-04	-1.224722e-05
1.732074283844796e-04	-1.029346e-05
1.774363064504269e-04	-9.832083e-06
1.812906573433853e-04	-9.508342e-06
1.876738121864834e-04	-9.093689e-06
1.938106783459822e-04	-8.728440e-06
2.038106783459822e-04	-8.190370e-06
2.138106783459822e-04	-7.689317e-06
2.238106783459822e-04	-8.511108e-06
2.338106783459822e-04	-1.158307e-05
2.438106783459822e-04	-1.387314e-05
2.538106783459821e-04	-1.435210e-05
2.638106783459822e-04	-1.479039e-05
2.738106783459821e-04	-1.521836e-05
2.838106783459822e-04	-1.562683e-05
2.938106783459821e-04	-1.603290e-05
3.038106783459821e-04	-1.643244e-05
3.138106783459821e-04	-1.682688e-05
3.238106783459821e-04	-1.721714e-05
3.338106783459821e-04	-1.760561e-05
3.438106783459821e-04	-1.799063e-05
3.538106783459821e-04	-1.834230e-05
3.638106783459821e-04	-1.862807e-05
3.738106783459821e-04	-1.888868e-05
3.838106783459821e-04	-1.705973e-05
3.938106783459821e-04	-1.437561e-05
4.038106783459821e-04	-1.216182e-05
4.105337762675420e-04	-1.028832e-05
4.169968904000507e-04	-9.434611e-06
4.247054831186082e-04	-9.375470e-06
4.320268563133381e-04	-9.319756e-06
4.420268563133381e-04	-9.099225e-06
4.520268563133381e-04	-8.841826e-06
4.620268563133381e-04	-8.762468e-06
4.720268563133381e-04	-8.749831e-06
4.820268563133381e-04	-8.743630e-06
4.920268563133382e-04	-8.738356e-06
5.020268563133381e-04	-8.734799e-06
5.120268563133381e-04	-8.731144e-06
5.220268563133381e-04	-8.728343e-06
5.320268563133382e-04	-8.725256e-06
5.420268563133381e-04	-8.722874e-06
5.520268563133381e-04	-8.720150e-06
5.620268563133381e-04	-8.718041e-06
5.720268563133382e-04	-8.715573e-06
5.820268563133381e-04	-8.713663e-06
5.920268563133381e-04	-8.711393e-06
6.020268563133381e-04	-8.709639e-06
6.120268563133382e-04	-8.707530e-06
6.220268563133381e-04	-8.705903e-06
6.320268563133381e-04	-8.703930e-06
6.420268563133381e-04	-9.626374e-06
6.520268563133382e-04	-1.118166e-05
6.620268563133381e-04	-1.186422e-05
6.720268563133381e-04	-1.188043e-05
