time	Ix(M3:D)
0.000000000000000e+00	-1.047624e-06
9.999999439624929e-11	-1.047170e-06
1.999999887924986e-10	-1.046704e-06
3.999999775849972e-10	-1.045725e-06
7.999999551699943e-10	-1.043619e-06
1.599999910339989e-09	-1.039062e-06
3.199999820679977e-09	-1.029400e-06
6.399999641359955e-09	-1.009618e-06
1.279999928271991e-08	-9.707105e-07
2.559999856543982e-08	-8.975169e-07
5.119999713087964e-08	-7.670674e-07
9.246836233724925e-08	-7.369175e-07
1.509464896159009e-07	-1.244421e-06
2.056477513197836e-07	-2.127731e-06
2.711089164856950e-07	-3.208738e-06
3.307160233224870e-07	-3.871158e-06
4.499302369960711e-07	-4.559334e-06
4.726459094992694e-07	-4.616390e-06
5.180772545056659e-07	-4.652130e-06
6.089399445184590e-07	-4.714922e-06
7.906653245440450e-07	-4.831499e-06
1.154116084595217e-06	-5.010123e-06
1.732298781783925e-06	-5.157261e-06
2.455606653067474e-06	-5.186572e-06
3.488132917689737e-06	-5.116603e-06
5.266638673671726e-06	-4.982315e-06
8.823650185635705e-06	-5.582398e-06
1.593767320956366e-05	-1.017664e-05
2.593767320956366e-05	-2.044594e-05
3.593767320956366e-05	-2.928414e-05
4.593767320956366e-05	-3.237896e-05
5.593767320956366e-05	-3.168562e-05
6.593767320956366e-05	-3.011964e-05
7.593767320956366e-05	-2.856433e-05
8.593767320956366e-05	-2.710571e-05
9.593767320956366e-05	-2.571682e-05
1.000000009999994e-04	-2.430442e-05
1.000000019999994e-04	-2.430535e-05
1.000000179999994e-04	-2.432825e-05
1.000000499999994e-04	-2.434719e-05
1.000001139999994e-04	-2.435616e-05
1.000002419999994e-04	-2.436851e-05
1.000004979999994e-04	-2.439237e-05
1.000010099999994e-04	-2.443400e-05
1.000020339999994e-04	-2.450366e-05
1.000040819999994e-04	-2.461339e-05
1.000081779999994e-04	-2.477003e-05
1.000163699999994e-04	-2.495105e-05
1.000327539999994e-04	-2.509401e-05
1.000655219999995e-04	-2.515182e-05
1.001310579999995e-04	-2.515015e-05
1.002621299999997e-04	-2.513229e-05
1.005242740000000e-04	-2.509879e-05
1.010485620000006e-04	-2.503127e-05
1.020971380000018e-04	-2.489723e-05
1.041942900000042e-04	-2.463234e-05
1.083885940000089e-04	-2.411599e-05
1.167772020000184e-04	-2.312434e-05
1.267772020000184e-04	-2.378466e-05
1.367772020000184e-04	-2.555680e-05
1.467772020000184e-04	-2.335570e-05
1.523282179888033e-04	-2.126180e-05
1.567376422218519e-04	-2.049561e-05
1.596313782809858e-04	-2.011807e-05
1.627936092688007e-04	-1.979711e-05
1.665372443468691e-04	-1.949476e-05
1.719986193767235e-04	-1.910464e-05
1.819986193767235e-04	-1.848245e-05
1.919986193767235e-04	-1.790839e-05
2.019986193767235e-04	-1.738113e-05
2.119986193767235e-04	-1.689538e-05
2.219986193767235e-04	-1.644880e-05
2.319986193767235e-04	-1.603847e-05
2.419986193767235e-04	-1.566218e-05
2.519986193767235e-04	-1.578579e-05
2.619986193767235e-04	-1.841132e-05
2.719986193767235e-04	-1.834475e-05
2.819986193767235e-04	-1.479482e-05
2.919986193767235e-04	-1.147003e-05
2.975201184064908e-04	-1.009618e-05
3.028670489355589e-04	-1.003536e-05
3.086543750549845e-04	-1.000974e-05
3.186543750549845e-04	-9.626217e-06
3.286543750549845e-04	-9.275629e-06
3.386543750549845e-04	-9.107067e-06
3.486543750549845e-04	-9.088760e-06
3.586543750549845e-04	-9.078711e-06
3.686543750549845e-04	-9.073442e-06
3.786543750549845e-04	-9.066941e-06
3.886543750549845e-04	-9.063424e-06
3.986543750549845e-04	-9.058177e-06
4.086543750549845e-04	-9.055389e-06
4.186543750549845e-04	-9.050786e-06
4.286543750549845e-04	-9.048437e-06
4.386543750549845e-04	-9.044286e-06
4.486543750549845e-04	-9.042251e-06
4.586543750549845e-04	-9.038449e-06
4.686543750549845e-04	-9.036655e-06
4.786543750549845e-04	-9.164348e-06
4.886543750549845e-04	-1.090156e-05
4.986543750549845e-04	-1.275507e-05
5.086543750549845e-04	-1.301128e-05
5.186543750549845e-04	-1.294089e-05
5.286543750549845e-04	-1.280558e-05
5.386543750549845e-04	-1.264690e-05
5.486543750549844e-04	-1.248357e-05
5.586543750549845e-04	-1.231935e-05
5.686543750549845e-04	-1.215940e-05
5.786543750549845e-04	-1.200379e-05
5.886543750549844e-04	-1.185459e-05
5.986543750549845e-04	-1.171088e-05
6.086543750549845e-04	-1.157394e-05
6.186543750549845e-04	-1.144259e-05
6.286543750549844e-04	-1.131779e-05
6.386543750549845e-04	-1.119833e-05
6.486543750549845e-04	-1.108501e-05
6.586543750549845e-04	-1.097663e-05
6.686543750549844e-04	-1.087393e-05
6.786543750549845e-04	-1.077575e-05
6.886543750549845e-04	-1.068279e-05
6.986543750549845e-04	-1.059391e-05
7.086543750549844e-04	-1.050981e-05
7.186543750549845e-04	-1.042939e-05
7.286543750549845e-04	-1.035334e-05
7.386543750549845e-04	-1.028060e-05
7.486543750549844e-04	-1.021183e-05
7.586543750549845e-04	-1.014604e-05
7.686543750549845e-04	-1.008387e-05
7.786543750549845e-04	-1.002436e-05
7.886543750549844e-04	-9.968167e-06
7.986543750549845e-04	-9.914341e-06
8.086543750549845e-04	-9.863541e-06
8.186543750549845e-04	-9.814851e-06
8.286543750549844e-04	-9.768928e-06
8.386543750549844e-04	-9.724881e-06
8.486543750549845e-04	-9.683365e-06
8.586543750549845e-04	-9.643513e-06
8.686543750549844e-04	-9.605979e-06
8.786543750549844e-04	-9.569920e-06
8.886543750549845e-04	-9.535985e-06
8.986543750549845e-04	-9.503353e-06
9.086543750549844e-04	-9.472669e-06
9.186543750549844e-04	-9.443134e-06
9.286543750549845e-04	-9.415390e-06
9.386543750549845e-04	-9.388655e-06
9.486543750549844e-04	-9.363568e-06
9.586543750549844e-04	-9.339365e-06
9.686543750549845e-04	-9.316679e-06
9.786543750549845e-04	-9.294765e-06
9.886543750549845e-04	-9.274250e-06
9.986543750549845e-04	-9.407203e-06
1.000000000000000e-03	-2.294050e-06
1.000000001000000e-03	-2.293988e-06
1.000000017000000e-03	-2.295215e-06
1.000000049000000e-03	-2.307066e-06
1.000000113000000e-03	-2.339932e-06
1.000000241000000e-03	-2.409313e-06
1.000000497000000e-03	-2.538878e-06
1.000001009000000e-03	-2.770478e-06
1.000002033000000e-03	-3.175610e-06
1.000004081000000e-03	-3.861733e-06
1.000008177000000e-03	-4.945013e-06
1.000016369000001e-03	-6.418263e-06
1.000032753000001e-03	-7.940756e-06
1.000065521000002e-03	-8.942700e-06
1.000131057000004e-03	-9.247678e-06
1.000262129000007e-03	-9.251841e-06
1.000524273000015e-03	-9.250476e-06
1.001048561000029e-03	-9.249770e-06
1.002097137000058e-03	-9.247675e-06
1.004194289000116e-03	-9.243812e-06
1.008388593000232e-03	-9.236104e-06
1.016777201000463e-03	-9.221210e-06
1.026777201000463e-03	-9.204145e-06
1.036777201000463e-03	-9.187877e-06
1.046777201000463e-03	-9.172400e-06
1.056777201000463e-03	-9.157677e-06
1.066777201000463e-03	-9.143669e-06
1.076777201000463e-03	-9.130341e-06
1.086777201000463e-03	-9.117661e-06
1.096777201000463e-03	-9.105597e-06
1.106777201000463e-03	-9.094118e-06
1.116777201000463e-03	-9.083197e-06
1.126777201000463e-03	-9.072806e-06
1.136777201000463e-03	-9.062920e-06
1.146777201000463e-03	-9.053512e-06
1.156777201000463e-03	-9.044562e-06
1.166777201000463e-03	-9.036045e-06
1.176777201000463e-03	-9.027943e-06
1.186777201000463e-03	-9.020232e-06
1.196777201000463e-03	-9.012894e-06
1.206777201000463e-03	-9.005913e-06
1.216777201000463e-03	-8.999270e-06
1.226777201000463e-03	-8.992949e-06
1.236777201000463e-03	-8.986935e-06
1.246777201000463e-03	-8.981211e-06
1.256777201000463e-03	-8.975765e-06
1.266777201000463e-03	-8.970582e-06
1.276777201000463e-03	-8.965651e-06
1.286777201000463e-03	-8.960958e-06
1.296777201000463e-03	-8.956491e-06
1.306777201000463e-03	-8.952242e-06
1.316777201000463e-03	-8.948198e-06
1.326777201000463e-03	-8.944350e-06
1.336777201000463e-03	-8.940689e-06
1.346777201000463e-03	-8.937203e-06
1.356777201000463e-03	-8.933887e-06
1.366777201000463e-03	-8.930732e-06
1.376777201000463e-03	-8.927729e-06
1.386777201000463e-03	-8.924872e-06
1.396777201000463e-03	-8.922152e-06
1.406777201000463e-03	-8.919565e-06
1.416777201000463e-03	-8.917102e-06
1.426777201000463e-03	-8.914758e-06
1.436777201000463e-03	-8.912528e-06
1.446777201000463e-03	-8.910405e-06
1.456777201000463e-03	-8.908385e-06
1.466777201000463e-03	-8.906463e-06
1.476777201000463e-03	-8.904634e-06
1.486777201000463e-03	-8.902894e-06
1.496777201000463e-03	-8.901236e-06
1.506777201000463e-03	-8.899660e-06
