time	I(Vcell15)
0.000000000000000e+00	-4.617976e-07
9.999999439624929e-11	-4.607169e-07
1.999999887924986e-10	-4.596603e-07
3.999999775849972e-10	-4.575015e-07
7.999999551699943e-10	-4.529477e-07
1.599999910339989e-09	-4.432643e-07
3.199999820679977e-09	-4.230854e-07
6.399999641359955e-09	-3.826231e-07
1.279999928271991e-08	-3.038791e-07
2.559999856543982e-08	-1.541032e-07
5.119999713087964e-08	1.813286e-07
9.252070775647470e-08	5.789227e-06
1.510105614849590e-07	-4.478641e-07
2.057097563394625e-07	-2.203100e-06
2.711918199481543e-07	-4.269929e-06
3.308260921975742e-07	-5.490601e-06
4.437653210593508e-07	-6.268408e-06
4.641529771383221e-07	-6.256947e-06
5.049282892962648e-07	-6.238544e-06
5.864789136121502e-07	-6.199632e-06
7.495801622439208e-07	-6.129910e-06
1.075782659507462e-06	-6.040234e-06
1.633817302632812e-06	-5.951141e-06
2.330362374581690e-06	-5.875201e-06
3.315593155943878e-06	-5.774911e-06
4.937628055957390e-06	-5.619433e-06
8.181697855984414e-06	-5.331229e-06
1.466983745603846e-05	-9.247663e-06
2.466983745603846e-05	-2.650334e-05
3.466983745603846e-05	-3.755749e-05
4.466983745603846e-05	-4.245832e-05
5.466983745603846e-05	-4.266899e-05
6.466983745603846e-05	-3.971318e-05
7.466983745603846e-05	-3.630009e-05
8.466983745603846e-05	-3.336517e-05
9.466983745603846e-05	-3.062160e-05
1.000000009999994e-04	-2.929159e-05
1.000000019999994e-04	-2.929395e-05
1.000000179999994e-04	-2.929277e-05
1.000000499999994e-04	-2.929385e-05
1.000001139999994e-04	-2.929313e-05
1.000002419999994e-04	-2.929477e-05
1.000004979999994e-04	-2.929484e-05
1.000010099999994e-04	-2.929580e-05
1.000020339999994e-04	-2.929264e-05
1.000040819999994e-04	-2.929106e-05
1.000081779999994e-04	-2.928955e-05
1.000163699999994e-04	-2.928937e-05
1.000327539999994e-04	-2.928613e-05
1.000655219999995e-04	-2.928141e-05
1.001310579999995e-04	-2.926631e-05
1.002621299999997e-04	-2.923581e-05
1.005242740000000e-04	-2.917127e-05
1.010485620000006e-04	-2.904578e-05
1.020971380000018e-04	-2.879377e-05
1.041942900000042e-04	-2.829961e-05
1.083885940000089e-04	-2.733252e-05
1.167772020000184e-04	-2.548820e-05
1.267772020000184e-04	-2.344534e-05
1.367772020000184e-04	-2.158097e-05
1.467772020000184e-04	-1.987445e-05
1.567772020000184e-04	-1.831314e-05
1.667772020000184e-04	-1.685652e-05
1.767772020000184e-04	-1.552487e-05
1.867772020000184e-04	-1.428911e-05
1.967772020000184e-04	-1.315695e-05
2.067772020000184e-04	-1.211117e-05
2.167772020000184e-04	-1.115832e-05
2.267772020000184e-04	-1.827731e-05
2.367772020000184e-04	-3.841165e-05
2.467772020000184e-04	-3.677013e-05
2.567772020000184e-04	-4.986074e-05
2.667772020000184e-04	-4.140216e-05
2.767772020000184e-04	-5.480092e-05
2.867772020000184e-04	-4.649645e-05
2.967772020000184e-04	-5.933359e-05
3.067772020000184e-04	-5.151894e-05
3.167772020000184e-04	-6.274672e-05
3.267772020000184e-04	-5.531337e-05
3.367772020000184e-04	-6.594671e-05
3.467772020000184e-04	-1.808608e-03
3.526689974438482e-04	-1.047334e-02
3.584169121317970e-04	-2.185603e-02
3.654051165794683e-04	-3.698980e-02
3.722249489212302e-04	-4.982117e-02
3.782766817416345e-04	-5.543782e-02
3.843428632561266e-04	-6.030964e-02
3.901874126668784e-04	-6.482331e-02
4.001874126668784e-04	-7.229897e-02
4.101874126668784e-04	-7.954774e-02
4.201874126668784e-04	-8.662978e-02
4.301874126668784e-04	-9.360489e-02
4.401874126668784e-04	-1.004855e-01
4.501874126668784e-04	-1.073058e-01
4.601874126668784e-04	-1.140651e-01
4.701874126668784e-04	-1.207864e-01
4.801874126668784e-04	-1.274640e-01
4.901874126668784e-04	-1.341150e-01
5.001874126668783e-04	-1.407323e-01
5.101874126668784e-04	-1.473292e-01
5.201874126668784e-04	-1.538986e-01
5.301874126668784e-04	-1.595160e-01
5.401874126668783e-04	-1.605425e-01
5.501874126668784e-04	-1.610880e-01
5.601874126668784e-04	-1.613178e-01
5.701874126668784e-04	-1.616074e-01
5.801874126668783e-04	-1.617075e-01
5.901874126668784e-04	-1.619192e-01
6.001874126668784e-04	-1.619666e-01
6.101874126668784e-04	-1.621404e-01
6.201874126668783e-04	-1.621590e-01
6.301874126668784e-04	-1.623101e-01
6.401874126668784e-04	-1.623113e-01
6.501874126668784e-04	-1.624577e-01
6.601874126668783e-04	-1.624613e-01
6.701874126668784e-04	-1.626048e-01
6.801874126668784e-04	-1.626013e-01
6.901874126668784e-04	-1.627357e-01
7.001874126668783e-04	-1.627225e-01
7.101874126668784e-04	-1.628473e-01
7.201874126668784e-04	-1.628249e-01
7.301874126668784e-04	-1.629411e-01
7.401874126668783e-04	-1.629109e-01
7.501874126668783e-04	-1.630199e-01
7.601874126668784e-04	-1.629831e-01
7.701874126668784e-04	-1.630860e-01
7.801874126668783e-04	-1.630438e-01
7.901874126668783e-04	-1.631418e-01
8.001874126668784e-04	-1.630953e-01
8.101874126668784e-04	-1.631892e-01
8.201874126668783e-04	-1.631390e-01
8.301874126668783e-04	-1.632295e-01
8.401874126668784e-04	-1.631763e-01
8.501874126668784e-04	-1.632641e-01
8.601874126668783e-04	-1.632084e-01
8.701874126668783e-04	-1.632938e-01
8.801874126668784e-04	-1.632360e-01
8.901874126668784e-04	-1.633194e-01
9.001874126668783e-04	-1.632599e-01
9.101874126668783e-04	-1.633417e-01
9.201874126668784e-04	-1.632807e-01
9.301874126668784e-04	-1.633610e-01
9.401874126668783e-04	-1.632988e-01
9.501874126668783e-04	-1.633779e-01
9.601874126668784e-04	-1.633146e-01
9.701874126668784e-04	-1.633926e-01
9.801874126668783e-04	-1.633285e-01
9.901874126668783e-04	-1.634055e-01
1.000000000000000e-03	-1.633405e-01
1.000000001000000e-03	-1.633455e-01
1.000000017000000e-03	-1.633440e-01
1.000000049000000e-03	-1.633495e-01
1.000000113000000e-03	-1.633489e-01
1.000000241000000e-03	-1.633556e-01
1.000000497000000e-03	-1.633569e-01
1.000001009000000e-03	-1.633668e-01
1.000002033000000e-03	-1.633702e-01
1.000004081000000e-03	-1.633774e-01
1.000008177000000e-03	-1.633742e-01
1.000016369000001e-03	-1.633775e-01
1.000032753000001e-03	-1.633742e-01
1.000065521000002e-03	-1.633776e-01
1.000131057000004e-03	-1.633743e-01
1.000262129000007e-03	-1.633777e-01
1.000524273000015e-03	-1.633745e-01
1.001048561000029e-03	-1.633782e-01
1.002097137000058e-03	-1.633754e-01
1.004194289000116e-03	-1.633799e-01
1.008388593000232e-03	-1.633788e-01
1.016777201000463e-03	-1.633866e-01
1.026777201000463e-03	-1.633882e-01
1.036777201000463e-03	-1.633962e-01
1.046777201000463e-03	-1.633972e-01
1.056777201000463e-03	-1.634047e-01
1.066777201000463e-03	-1.634052e-01
1.076777201000463e-03	-1.634122e-01
1.086777201000463e-03	-1.634122e-01
1.096777201000463e-03	-1.634188e-01
1.106777201000463e-03	-1.634184e-01
1.116777201000463e-03	-1.634246e-01
1.126777201000463e-03	-1.634239e-01
1.136777201000463e-03	-1.634298e-01
1.146777201000463e-03	-1.634288e-01
1.156777201000463e-03	-1.634344e-01
1.166777201000463e-03	-1.634331e-01
1.176777201000463e-03	-1.634385e-01
1.186777201000463e-03	-1.634370e-01
