time	I(Vcell15)
0.000000000000000e+00	-9.851634e-07
9.999999439624929e-11	-9.841137e-07
1.999999887924986e-10	-9.830956e-07
3.999999775849972e-10	-9.810285e-07
7.999999551699943e-10	-9.767243e-07
1.599999910339989e-09	-9.676905e-07
3.199999820679977e-09	-9.490636e-07
6.399999641359955e-09	-9.119066e-07
1.279999928271991e-08	-8.396854e-07
2.559999856543982e-08	-7.023884e-07
5.119999713087964e-08	-3.968374e-07
9.248630850171440e-08	4.545494e-06
1.509534381396734e-07	-9.963281e-07
2.056480128373649e-07	-2.624801e-06
2.711143867170323e-07	-4.612631e-06
3.307377656508653e-07	-5.767653e-06
4.437946652846665e-07	-6.661431e-06
4.651394947561105e-07	-6.630202e-06
5.078291536989987e-07	-6.607939e-06
5.932084715847752e-07	-6.563309e-06
7.639671073563279e-07	-6.482625e-06
1.105484378899433e-06	-6.387560e-06
1.673051841019030e-06	-6.305946e-06
2.376510633154691e-06	-6.255842e-06
3.374090772425429e-06	-6.197999e-06
5.041396145730399e-06	-6.125999e-06
8.376006892340335e-06	-6.079419e-06
1.504522838556021e-05	-1.376633e-05
2.504522838556021e-05	-3.389594e-05
3.504522838556021e-05	-4.675909e-05
4.504522838556021e-05	-5.163873e-05
5.504522838556020e-05	-4.901011e-05
6.504522838556020e-05	-4.695167e-05
7.504522838556020e-05	-4.399444e-05
8.504522838556020e-05	-4.241250e-05
9.504522838556020e-05	-3.964313e-05
1.000000009999994e-04	-3.933338e-05
1.000000019999994e-04	-3.932989e-05
1.000000179999994e-04	-3.939284e-05
1.000000499999994e-04	-3.941735e-05
1.000001139999994e-04	-3.938772e-05
1.000002419999994e-04	-3.935944e-05
1.000004979999994e-04	-3.929642e-05
1.000010099999994e-04	-3.921895e-05
1.000020339999994e-04	-3.913210e-05
1.000040819999994e-04	-3.908356e-05
1.000081779999994e-04	-3.904913e-05
1.000163699999994e-04	-3.901270e-05
1.000327539999994e-04	-3.897929e-05
1.000655219999995e-04	-3.897014e-05
1.001310579999995e-04	-3.895484e-05
1.002621299999997e-04	-3.893067e-05
1.005242740000000e-04	-3.887645e-05
1.010485620000006e-04	-3.877661e-05
1.020971380000018e-04	-3.856962e-05
1.041942900000042e-04	-3.816728e-05
1.083885940000089e-04	-3.737018e-05
1.167772020000184e-04	-3.584682e-05
1.267772020000184e-04	-3.413026e-05
1.367772020000184e-04	-3.252653e-05
1.467772020000184e-04	-3.092855e-05
1.567772020000184e-04	-2.904919e-05
1.667772020000184e-04	-2.739118e-05
1.767772020000184e-04	-2.600726e-05
1.867772020000184e-04	-2.476571e-05
1.967772020000184e-04	-2.362805e-05
2.067772020000184e-04	-2.255610e-05
2.167772020000184e-04	-2.157056e-05
2.267772020000184e-04	-2.063291e-05
2.367772020000184e-04	-1.976738e-05
2.467772020000184e-04	-1.894114e-05
2.567772020000184e-04	-1.817838e-05
2.667772020000184e-04	-1.744828e-05
2.767772020000184e-04	-1.677498e-05
2.867772020000184e-04	-1.612876e-05
2.967772020000184e-04	-3.939920e-05
3.067772020000184e-04	-5.213077e-05
3.136073933012695e-04	-6.667688e-03
3.199080178786833e-04	-1.655887e-02
3.270924828583317e-04	-2.902697e-02
3.338519288579994e-04	-4.127682e-02
3.401720122438808e-04	-5.006880e-02
3.471085104513955e-04	-5.495897e-02
3.533205664494880e-04	-5.889024e-02
3.605006339090419e-04	-6.309241e-02
3.705006339090419e-04	-6.895122e-02
3.805006339090419e-04	-7.457287e-02
3.905006339090419e-04	-8.027355e-02
4.005006339090419e-04	-8.579355e-02
4.105006339090419e-04	-9.141903e-02
4.205006339090419e-04	-9.688094e-02
4.305006339090419e-04	-1.024566e-01
4.405006339090419e-04	-1.078768e-01
4.505006339090418e-04	-1.134136e-01
4.605006339090419e-04	-1.187999e-01
4.705006339090418e-04	-1.243035e-01
4.805006339090419e-04	-1.296605e-01
4.905006339090418e-04	-1.351344e-01
5.005006339090419e-04	-1.404647e-01
5.105006339090419e-04	-1.459113e-01
5.205006339090418e-04	-1.512168e-01
5.305006339090418e-04	-1.555372e-01
5.405006339090419e-04	-1.562930e-01
5.505006339090419e-04	-1.568120e-01
5.605006339090418e-04	-1.569459e-01
5.705006339090418e-04	-1.572482e-01
5.805006339090419e-04	-1.572700e-01
5.905006339090419e-04	-1.575051e-01
6.005006339090418e-04	-1.574811e-01
6.105006339090418e-04	-1.576834e-01
6.205006339090419e-04	-1.576344e-01
6.305006339090419e-04	-1.578170e-01
6.405006339090418e-04	-1.577520e-01
6.505006339090418e-04	-1.579214e-01
6.605006339090419e-04	-1.578453e-01
6.705006339090419e-04	-1.580052e-01
6.805006339090418e-04	-1.579211e-01
6.905006339090418e-04	-1.580738e-01
7.005006339090419e-04	-1.579836e-01
7.105006339090419e-04	-1.581308e-01
7.205006339090418e-04	-1.580357e-01
7.305006339090418e-04	-1.581786e-01
7.405006339090419e-04	-1.580797e-01
7.505006339090419e-04	-1.582190e-01
7.605006339090418e-04	-1.581171e-01
7.705006339090418e-04	-1.582535e-01
7.805006339090418e-04	-1.581491e-01
7.905006339090419e-04	-1.582831e-01
8.005006339090418e-04	-1.581767e-01
8.105006339090418e-04	-1.583086e-01
8.205006339090418e-04	-1.582005e-01
8.305006339090419e-04	-1.583307e-01
8.405006339090418e-04	-1.582212e-01
8.505006339090418e-04	-1.583499e-01
8.605006339090418e-04	-1.582392e-01
8.705006339090419e-04	-1.583667e-01
8.805006339090418e-04	-1.582550e-01
8.905006339090418e-04	-1.583814e-01
9.005006339090418e-04	-1.582689e-01
9.105006339090419e-04	-1.583943e-01
9.205006339090418e-04	-1.582810e-01
9.305006339090418e-04	-1.584056e-01
9.405006339090418e-04	-1.582918e-01
9.505006339090419e-04	-1.584156e-01
9.605006339090418e-04	-1.583012e-01
9.705006339090418e-04	-1.584244e-01
9.805006339090418e-04	-1.583096e-01
9.905006339090419e-04	-1.584322e-01
1.000000000000000e-03	-1.583169e-01
