time	Ix(M3:S)
0.000000000000000e+00	-2.013670e-07
9.999999439624929e-11	-2.000751e-07
1.999999887924986e-10	-1.988015e-07
3.999999775849972e-10	-1.962421e-07
7.999999551699943e-10	-1.910018e-07
1.599999910339989e-09	-1.802761e-07
3.199999820679977e-09	-1.586085e-07
6.399999641359955e-09	-1.157813e-07
1.279999928271991e-08	-3.321842e-08
2.559999856543982e-08	1.351705e-07
5.119999713087964e-08	1.764810e-06
9.252086015392878e-08	3.869683e-06
1.510108255199229e-07	1.047337e-06
2.057100597986555e-07	-2.118010e-06
2.711922111406751e-07	-4.092503e-06
3.308265500931712e-07	-5.332522e-06
4.437637066066846e-07	-6.419156e-06
4.641460748959371e-07	-6.487602e-06
5.049108114744420e-07	-6.483871e-06
5.864402846314519e-07	-6.495032e-06
7.494992309454717e-07	-6.515446e-06
1.075617123573511e-06	-6.539361e-06
1.633703576190409e-06	-6.534575e-06
2.330216949111736e-06	-6.465697e-06
3.315445015460415e-06	-6.316724e-06
4.937294372468760e-06	-6.066049e-06
8.180993086485451e-06	-6.028306e-06
1.466839051451883e-05	-8.457318e-06
2.466839051451883e-05	-1.512347e-05
3.466839051451883e-05	-2.060300e-05
4.466839051451883e-05	-2.308507e-05
5.466839051451883e-05	-2.315126e-05
6.466839051451883e-05	-2.174612e-05
7.466839051451883e-05	-1.990324e-05
8.466839051451883e-05	-1.819344e-05
9.466839051451883e-05	-1.670931e-05
1.000000009999994e-04	-1.604611e-05
1.000000019999994e-04	-1.604611e-05
1.000000179999994e-04	-1.604616e-05
1.000000499999994e-04	-1.604636e-05
1.000001139999994e-04	-1.604699e-05
1.000002419999994e-04	-1.604837e-05
1.000004979999994e-04	-1.605035e-05
1.000010099999994e-04	-1.605149e-05
1.000020339999994e-04	-1.604997e-05
1.000040819999994e-04	-1.604590e-05
1.000081779999994e-04	-1.604076e-05
1.000163699999994e-04	-1.603526e-05
1.000327539999994e-04	-1.603025e-05
1.000655219999995e-04	-1.602597e-05
1.001310579999995e-04	-1.601938e-05
1.002621299999997e-04	-1.600516e-05
1.005242740000000e-04	-1.597593e-05
1.010485620000006e-04	-1.591761e-05
1.020971380000018e-04	-1.580136e-05
1.041942900000042e-04	-1.556831e-05
1.083885940000089e-04	-1.509362e-05
1.167772020000184e-04	-1.412579e-05
1.267772020000184e-04	-1.299230e-05
1.367772020000184e-04	-1.192482e-05
1.467772020000184e-04	-1.094261e-05
1.567772020000184e-04	-1.004378e-05
1.667772020000184e-04	-9.220661e-06
1.767772020000184e-04	-8.468529e-06
1.867772020000184e-04	-7.781546e-06
1.967772020000184e-04	-7.153873e-06
2.067772020000184e-04	-6.580608e-06
2.167772020000184e-04	-6.056534e-06
2.267772020000184e-04	-5.575748e-06
2.367772020000184e-04	-5.133070e-06
2.467772020000184e-04	-6.171199e-06
2.567772020000184e-04	-8.427704e-06
2.667772020000184e-04	-1.017997e-05
2.767772020000184e-04	-1.150340e-05
2.867772020000184e-04	-1.248038e-05
2.967772020000184e-04	-1.334163e-05
3.067772020000184e-04	-1.420178e-05
3.167772020000184e-04	-1.503529e-05
3.267772020000184e-04	-1.582600e-05
3.367772020000184e-04	-1.657077e-05
3.467772020000184e-04	-1.729836e-05
3.567772020000184e-04	-1.800832e-05
3.667772020000184e-04	-1.869836e-05
3.767772020000184e-04	-1.937470e-05
3.867772020000184e-04	-1.590715e-05
3.942704178490889e-04	-1.214521e-05
4.015492982945103e-04	-1.100381e-05
4.084628755706322e-04	-1.050507e-05
4.150039576297367e-04	-9.973040e-06
4.209757289889120e-04	-9.423379e-06
4.268566498364236e-04	-9.146074e-06
