time	Ix(M3:D)
0.000000000000000e+00	-7.299041e-07
9.999999439624929e-11	-7.286305e-07
1.999999887924986e-10	-7.273843e-07
3.999999775849972e-10	-7.249118e-07
7.999999551699943e-10	-7.199538e-07
1.599999910339989e-09	-7.101432e-07
3.199999820679977e-09	-6.913342e-07
6.399999641359955e-09	-6.568692e-07
1.279999928271991e-08	-5.962299e-07
2.559999856543982e-08	-4.805611e-07
5.119999713087964e-08	6.880672e-07
9.248630850171440e-08	2.038780e-06
1.509534381396734e-07	-1.138447e-07
2.056480128373649e-07	-2.151694e-06
2.711143867170323e-07	-3.449265e-06
3.307377656508653e-07	-4.342276e-06
4.437946652846665e-07	-5.185760e-06
4.651394947561105e-07	-5.227752e-06
5.078291536989987e-07	-5.158454e-06
5.932084715847752e-07	-5.164907e-06
7.639671073563279e-07	-5.192630e-06
1.105484378899433e-06	-5.233278e-06
1.673051841019030e-06	-5.276226e-06
2.376510633154691e-06	-5.293903e-06
3.374090772425429e-06	-5.296024e-06
5.041396145730399e-06	-5.319704e-06
8.376006892340335e-06	-5.991121e-06
1.504522838556021e-05	-1.009258e-05
2.504522838556021e-05	-1.944370e-05
3.504522838556021e-05	-2.855544e-05
4.504522838556021e-05	-3.319445e-05
5.504522838556020e-05	-3.316795e-05
6.504522838556020e-05	-3.175604e-05
7.504522838556020e-05	-3.025538e-05
8.504522838556020e-05	-2.885861e-05
9.504522838556020e-05	-2.751739e-05
1.000000009999994e-04	-2.850673e-05
1.000000019999994e-04	-2.850865e-05
1.000000179999994e-04	-2.855454e-05
1.000000499999994e-04	-2.858428e-05
1.000001139999994e-04	-2.857284e-05
1.000002419999994e-04	-2.853665e-05
1.000004979999994e-04	-2.847495e-05
1.000010099999994e-04	-2.837180e-05
1.000020339999994e-04	-2.821350e-05
1.000040819999994e-04	-2.798209e-05
1.000081779999994e-04	-2.766458e-05
1.000163699999994e-04	-2.729943e-05
1.000327539999994e-04	-2.700694e-05
1.000655219999995e-04	-2.687826e-05
1.001310579999995e-04	-2.685613e-05
1.002621299999997e-04	-2.684165e-05
1.005242740000000e-04	-2.680867e-05
1.010485620000006e-04	-2.674423e-05
1.020971380000018e-04	-2.661563e-05
1.041942900000042e-04	-2.636176e-05
1.083885940000089e-04	-2.586643e-05
