time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	-1.654625e-04	-2.599899e-07
9.999999439624929e-11	-1.654625e-04	-2.593297e-07
1.999999887924986e-10	-1.654625e-04	-2.586957e-07
1.599999910339989e-09	-1.654625e-04	-2.500400e-07
3.199999820679977e-09	-1.654625e-04	-2.410024e-07
6.399999641359955e-09	-1.657009e-04	-2.251243e-07
1.279999928271991e-08	-1.666546e-04	-1.992740e-07
2.559999856543982e-08	-1.695156e-04	-1.595055e-07
4.832632964564033e-08	-1.873970e-04	-1.043938e-07
7.268450235996544e-08	-2.405643e-04	-7.508007e-08
8.552483014548437e-08	-2.276897e-04	-1.320661e-07
9.484783330967820e-08	-1.838207e-04	-2.391463e-07
1.055943134341853e-07	-1.513958e-04	-3.794371e-07
1.180886427044214e-07	-1.406670e-04	-5.199655e-07
1.354371590038506e-07	-1.289845e-04	-6.888698e-07
1.694984451979280e-07	-1.232624e-04	-9.713640e-07
2.005438703043602e-07	-1.034737e-04	-1.167156e-06
2.438705128224813e-07	-1.266003e-04	-1.304905e-06
2.865339434232615e-07	-3.089905e-04	-1.304045e-06
3.406795848299077e-07	-4.870892e-04	-1.262301e-06
4.104646884867648e-07	-6.277561e-04	-1.212744e-06
5.318930473965159e-07	-8.633137e-04	-1.134418e-06
7.747497652160180e-07	-1.334429e-03	-1.019826e-06
1.002847587592353e-06	-1.774788e-03	-9.482380e-07
1.310015757946488e-06	-2.364874e-03	-8.887397e-07
1.608294068308806e-06	-2.935171e-03	-8.545278e-07
2.028008297189452e-06	-3.733158e-03	-8.291754e-07
2.484782997788043e-06	-4.595757e-03	-8.156965e-07
3.167894400648460e-06	-5.874395e-03	-8.079591e-07
4.029785074728137e-06	-7.467985e-03	-8.040144e-07
5.459387810585210e-06	-1.006746e-02	-8.018924e-07
7.158384011601894e-06	-1.309323e-02	-8.037365e-07
9.124768981408955e-06	-1.651716e-02	-8.695724e-07
1.086630630525475e-05	-1.948500e-02	-1.323826e-06
1.202541852449334e-05	-2.142501e-02	-2.215482e-06
1.309122056930475e-05	-2.318811e-02	-3.547520e-06
1.445252895705438e-05	-2.542591e-02	-5.544788e-06
