time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	5.245209e-06	1.405707e-11	-2.599973e-07
9.999999439624929e-11	5.245209e-06	-1.856083e-09	-2.581006e-07
1.999999887924986e-10	5.006790e-06	-3.671085e-09	-2.563148e-07
1.599999910339989e-09	5.245209e-06	-2.855894e-08	-2.317937e-07
3.199999820679977e-09	5.245209e-06	-5.667792e-08	-2.048098e-07
6.399999641359955e-09	5.245209e-06	-1.118964e-07	-1.535640e-07
1.279999928271991e-08	5.722046e-06	-2.183843e-07	-5.902948e-08
2.559999856543982e-08	6.675720e-06	-4.172492e-07	1.102355e-07
4.832632964564033e-08	8.344650e-06	-7.178761e-07	3.711234e-07
7.268450235996544e-08	9.298325e-06	-8.815534e-07	5.424974e-07
8.552483014548437e-08	9.298325e-06	-7.355576e-07	3.864700e-07
9.484783330967820e-08	8.344650e-06	-3.893168e-07	3.205152e-08
1.055943134341853e-07	6.198883e-06	1.862632e-07	-4.954672e-07
1.180886427044214e-07	3.099442e-06	8.968029e-07	-1.097200e-06
1.354371590038506e-07	-1.668930e-06	1.829620e-06	-1.873900e-06
1.694984451979280e-07	-1.025200e-05	3.466568e-06	-3.222799e-06
2.005438703043602e-07	-1.668930e-05	4.651351e-06	-4.211912e-06
2.438705128224813e-07	-2.241135e-05	5.689973e-06	-5.042488e-06
2.865339434232615e-07	-2.503395e-05	6.125147e-06	-5.253219e-06
3.406795848299077e-07	-2.574921e-05	6.241813e-06	-5.238900e-06
4.104646884867648e-07	-2.551079e-05	6.259358e-06	-5.197287e-06
5.318930473965159e-07	-2.503395e-05	6.260909e-06	-5.119977e-06
7.747497652160180e-07	-2.455711e-05	6.247629e-06	-4.996838e-06
1.002847587592353e-06	-2.431870e-05	6.230137e-06	-4.914135e-06
1.310015757946488e-06	-2.408028e-05	6.204129e-06	-4.838269e-06
1.608294068308806e-06	-2.384186e-05	6.178260e-06	-4.787688e-06
2.028008297189452e-06	-2.360344e-05	6.141648e-06	-4.739008e-06
2.484782997788043e-06	-2.336502e-05	6.101973e-06	-4.700222e-06
3.167894400648460e-06	-2.288818e-05	6.043286e-06	-4.654978e-06
4.029785074728137e-06	-2.264977e-05	5.970746e-06	-4.604704e-06
5.459387810585210e-06	-2.217293e-05	5.854303e-06	-4.528319e-06
7.158384011601894e-06	-2.169609e-05	5.722818e-06	-4.446782e-06
9.124768981408955e-06	-2.169609e-05	5.583981e-06	-4.428699e-06
1.086630630525475e-05	-2.288818e-05	5.481228e-06	-4.854698e-06
1.202541852449334e-05	-2.598763e-05	5.433855e-06	-5.774794e-06
1.309122056930475e-05	-3.027916e-05	5.411767e-06	-7.149958e-06
1.445252895705438e-05	-3.719330e-05	5.404328e-06	-9.194075e-06
1.601568911172885e-05	-4.529953e-05	5.410798e-06	-1.154016e-05
1.754051312088354e-05	-5.269051e-05	5.425559e-06	-1.363817e-05
1.914372763067543e-05	-5.936623e-05	5.444718e-06	-1.552966e-05
2.112360503277377e-05	-6.556511e-05	5.467624e-06	-1.732392e-05
2.364394668607745e-05	-7.152557e-05	5.490633e-06	-1.895593e-05
2.555448439212388e-05	-7.390976e-05	5.499480e-06	-1.953864e-05
2.762353205755586e-05	-7.390976e-05	5.499737e-06	-1.937682e-05
2.982967013907755e-05	-7.247925e-05	5.494911e-06	-1.890269e-05
3.195577952268415e-05	-7.081032e-05	5.487773e-06	-1.841050e-05
3.821389348050534e-05	-6.628036e-05	5.460570e-06	-1.703908e-05
4.287248871560025e-05	-6.294250e-05	5.440318e-06	-1.610840e-05
5.051237716527377e-05	-5.769730e-05	5.409008e-06	-1.473689e-05
5.350046391974512e-05	-5.578995e-05	5.397491e-06	-1.424793e-05
5.534896456332560e-05	-3.504753e-05	5.393892e-06	-1.395805e-05
5.639803900271428e-05	3.552437e-04	5.421603e-06	-1.608545e-05
5.676670473442914e-05	7.836819e-04	5.474495e-06	-5.123096e-05
5.698381442500085e-05	9.331703e-04	5.531650e-06	-5.040033e-05
5.718178533598203e-05	9.081364e-04	5.586193e-06	-4.774410e-05
5.741344516708435e-05	1.260519e-03	5.640672e-06	-4.988296e-05
5.753936727407384e-05	2.411604e-03	5.657918e-06	-1.122490e-04
5.767428027212904e-05	5.086899e-03	5.659871e-06	-2.648706e-04
5.778903167053237e-05	8.234024e-03	5.655665e-06	-4.230111e-04
5.791193964114270e-05	1.227593e-02	5.651857e-06	-6.262374e-04
5.806259287632255e-05	1.801133e-02	5.649653e-06	-9.080900e-04
5.830377980030284e-05	2.847791e-02	5.649502e-06	-1.426066e-03
5.859929034314169e-05	4.282975e-02	5.653160e-06	-2.144272e-03
5.890578324561404e-05	5.919766e-02	5.660291e-06	-2.965606e-03
5.924517938476210e-05	7.876873e-02	5.671012e-06	-3.943824e-03
5.964824335975937e-05	1.035352e-01	5.686198e-06	-5.180360e-03
6.015097996462393e-05	1.362050e-01	5.707363e-06	-6.809551e-03
6.080459237754655e-05	1.810465e-01	5.736819e-06	-9.038293e-03
6.192554433181221e-05	2.620463e-01	5.788755e-06	-1.306586e-02
6.354782319133544e-05	3.840842e-01	5.863643e-06	-1.919459e-02
6.455542445991559e-05	4.620316e-01	5.909980e-06	-2.311645e-02
6.516116899951353e-05	5.097184e-01	5.938322e-06	-2.550265e-02
6.575345033519305e-05	5.567818e-01	5.966419e-06	-2.785691e-02
6.644078475455403e-05	6.117430e-01	5.999227e-06	-3.060460e-02
6.687420905231571e-05	6.465712e-01	6.020346e-06	-3.234868e-02
6.729891952145849e-05	6.808536e-01	6.041272e-06	-3.406001e-02
6.814834045974404e-05	7.496879e-01	6.082640e-06	-3.750191e-02
6.894143113307610e-05	8.142250e-01	6.120152e-06	-4.072622e-02
7.032788509947222e-05	9.275234e-01	6.183040e-06	-4.639098e-02
7.211616955215076e-05	1.074110e+00	6.260502e-06	-5.372078e-02
7.436668724435231e-05	1.258889e+00	6.354154e-06	-6.296527e-02
7.548010543377123e-05	1.350321e+00	6.399231e-06	-6.753513e-02
7.619512803652695e-05	1.409004e+00	6.427708e-06	-7.047058e-02
7.665572352584840e-05	1.446779e+00	6.445928e-06	-7.235744e-02
7.698873115288589e-05	1.474074e+00	6.459049e-06	-7.372380e-02
7.728047490378261e-05	1.497972e+00	6.470512e-06	-7.491700e-02
7.758091168831509e-05	1.522565e+00	6.482290e-06	-7.614844e-02
7.791384714017852e-05	1.549795e+00	6.495315e-06	-7.750831e-02
7.823477823509365e-05	1.576010e+00	6.507847e-06	-7.882093e-02
7.856638903286048e-05	1.603049e+00	6.520775e-06	-8.017144e-02
7.889645086758404e-05	1.629889e+00	6.533628e-06	-8.151560e-02
7.923255734387731e-05	1.657105e+00	6.546712e-06	-8.287547e-02
7.957282423674228e-05	1.684474e+00	6.559965e-06	-8.424689e-02
7.992290670095207e-05	1.712345e+00	6.573621e-06	-8.564021e-02
8.025280532767450e-05	1.738212e+00	6.586517e-06	-8.693693e-02
8.059040085625319e-05	1.764127e+00	6.599727e-06	-8.823286e-02
8.092451855856055e-05	1.789078e+00	6.612747e-06	-8.948357e-02
8.126124893593653e-05	1.813390e+00	6.625662e-06	-9.069854e-02
8.160125264148081e-05	1.837003e+00	6.638202e-06	-9.188173e-02
8.194830215733101e-05	1.860072e+00	6.650009e-06	-9.303461e-02
8.230896046311742e-05	1.882875e+00	6.660508e-06	-9.417890e-02
8.269456567632580e-05	1.905840e+00	6.668773e-06	-9.533006e-02
8.312868562682367e-05	1.929807e+00	6.673353e-06	-9.653904e-02
8.366457759972688e-05	1.956488e+00	6.671666e-06	-9.789196e-02
8.448385373390305e-05	1.992287e+00	6.658918e-06	-9.970634e-02
8.556204475891036e-05	2.033352e+00	6.635978e-06	-1.017477e-01
8.673515111946326e-05	2.072826e+00	6.613616e-06	-1.037053e-01
8.808631987810371e-05	2.114066e+00	6.597455e-06	-1.057572e-01
8.971054065352981e-05	2.160268e+00	6.590525e-06	-1.080604e-01
9.139311233019305e-05	2.205696e+00	6.593764e-06	-1.103233e-01
9.332961250482153e-05	2.255937e+00	6.605624e-06	-1.128341e-01
9.548497137605764e-05	2.310173e+00	6.624098e-06	-1.155420e-01
9.798598846617870e-05	2.371538e+00	6.648927e-06	-1.186122e-01
1.010864620586274e-04	2.445990e+00	6.681800e-06	-1.223351e-01
1.051225360652593e-04	2.541049e+00	6.725802e-06	-1.270944e-01
1.107202472241655e-04	2.670539e+00	6.787373e-06	-1.335747e-01
1.186937872219841e-04	2.851997e+00	6.875022e-06	-1.426551e-01
1.286937872219841e-04	3.076417e+00	6.984416e-06	-1.538697e-01
1.386937872219841e-04	3.298270e+00	7.093125e-06	-1.649560e-01
1.486937872219841e-04	3.518067e+00	7.201151e-06	-1.759395e-01
1.586937872219841e-04	3.736211e+00	7.308573e-06	-1.868456e-01
1.686937872219841e-04	3.952952e+00	7.415454e-06	-1.976790e-01
1.786937872219841e-04	4.168455e+00	7.521842e-06	-2.084545e-01
1.886937872219841e-04	4.382837e+00	7.627772e-06	-2.191708e-01
1.986937872219841e-04	4.596183e+00	7.733272e-06	-2.298392e-01
2.086937872219841e-04	4.808560e+00	7.838365e-06	-2.404557e-01
2.186937872219841e-04	5.020021e+00	7.943070e-06	-2.510301e-01
2.286937872219841e-04	5.230609e+00	8.047402e-06	-2.615573e-01
2.386937872219841e-04	5.440358e+00	8.151374e-06	-2.720462e-01
2.486937872219841e-04	5.649300e+00	8.254995e-06	-2.824913e-01
2.586937872219841e-04	5.857460e+00	8.358276e-06	-2.929008e-01
2.686937872219841e-04	6.064881e+00	8.461281e-06	-3.032689e-01
2.752529967134248e-04	6.196291e+00	8.527017e-06	-3.100452e-01
2.778886774120845e-04	6.239358e+00	8.546694e-06	-3.121703e-01
2.803219105144834e-04	6.267022e+00	8.554869e-06	-3.134201e-01
2.815574838771613e-04	6.277261e+00	8.556589e-06	-3.138980e-01
2.828661609806158e-04	6.285914e+00	8.558121e-06	-3.143297e-01
2.842204876301057e-04	6.293524e+00	8.559565e-06	-3.147064e-01
2.856986109454509e-04	6.300526e+00	8.561000e-06	-3.150611e-01
2.878043761910844e-04	6.308822e+00	8.562793e-06	-3.154782e-01
2.902952503359369e-04	6.316833e+00	8.564561e-06	-3.158809e-01
2.932828475645898e-04	6.324523e+00	8.566218e-06	-3.162622e-01
2.966162286105642e-04	6.331303e+00	8.567554e-06	-3.166023e-01
3.008330822212008e-04	6.337963e+00	8.568646e-06	-3.169345e-01
3.060845024736478e-04	6.344270e+00	8.569365e-06	-3.172528e-01
3.130362982418474e-04	6.350428e+00	8.569621e-06	-3.175593e-01
3.219018816887252e-04	6.356097e+00	8.569305e-06	-3.178408e-01
3.319018816887251e-04	6.360687e+00	8.568491e-06	-3.180613e-01
3.419018816887252e-04	6.364026e+00	8.567444e-06	-3.182246e-01
3.519018816887251e-04	6.366529e+00	8.566311e-06	-3.183446e-01
3.619018816887252e-04	6.368467e+00	8.565183e-06	-3.184412e-01
3.719018816887251e-04	6.370005e+00	8.564099e-06	-3.185146e-01
3.819018816887252e-04	6.371249e+00	8.563083e-06	-3.185776e-01
3.919018816887251e-04	6.372270e+00	8.562142e-06	-3.186259e-01
4.019018816887251e-04	6.373119e+00	8.561281e-06	-3.186695e-01
4.119018816887251e-04	6.373833e+00	8.560495e-06	-3.187027e-01
4.219018816887251e-04	6.374437e+00	8.559781e-06	-3.187344e-01
4.319018816887251e-04	6.374953e+00	8.559135e-06	-3.187579e-01
4.419018816887251e-04	6.375396e+00	8.558553e-06	-3.187816e-01
4.519018816887251e-04	6.375779e+00	8.558025e-06	-3.187986e-01
4.619018816887251e-04	6.376111e+00	8.557551e-06	-3.188168e-01
4.719018816887251e-04	6.376400e+00	8.557124e-06	-3.188292e-01
4.819018816887251e-04	6.376653e+00	8.556739e-06	-3.188436e-01
4.919018816887252e-04	6.376875e+00	8.556392e-06	-3.188526e-01
5.019018816887251e-04	6.377069e+00	8.556080e-06	-3.188641e-01
5.119018816887251e-04	6.377241e+00	8.555799e-06	-3.188707e-01
5.219018816887251e-04	6.377393e+00	8.555546e-06	-3.188801e-01
5.319018816887252e-04	6.377527e+00	8.555317e-06	-3.188848e-01
5.419018816887251e-04	6.377647e+00	8.555111e-06	-3.188925e-01
5.519018816887251e-04	6.377752e+00	8.554925e-06	-3.188958e-01
5.619018816887251e-04	6.377846e+00	8.554758e-06	-3.189024e-01
5.719018816887252e-04	6.377930e+00	8.554607e-06	-3.189046e-01
5.819018816887251e-04	6.378004e+00	8.554471e-06	-3.189102e-01
5.919018816887251e-04	6.378070e+00	8.554347e-06	-3.189115e-01
6.019018816887251e-04	6.378129e+00	8.554234e-06	-3.189164e-01
6.119018816887252e-04	6.378182e+00	8.554133e-06	-3.189170e-01
6.219018816887251e-04	6.378229e+00	8.554041e-06	-3.189213e-01
6.319018816887251e-04	6.378271e+00	8.553958e-06	-3.189214e-01
6.419018816887251e-04	6.378309e+00	8.553883e-06	-3.189252e-01
6.519018816887252e-04	6.378343e+00	8.553814e-06	-3.189250e-01
6.619018816887251e-04	6.378373e+00	8.553751e-06	-3.189284e-01
6.719018816887251e-04	6.378400e+00	8.553694e-06	-3.189278e-01
6.819018816887251e-04	6.378424e+00	8.553642e-06	-3.189309e-01
6.919018816887252e-04	6.378446e+00	8.553594e-06	-3.189300e-01
7.019018816887251e-04	6.378465e+00	8.553551e-06	-3.189329e-01
7.119018816887251e-04	6.378483e+00	8.553511e-06	-3.189318e-01
7.219018816887251e-04	6.378499e+00	8.553475e-06	-3.189345e-01
7.319018816887251e-04	6.378513e+00	8.553441e-06	-3.189333e-01
7.419018816887251e-04	6.378525e+00	8.553410e-06	-3.189358e-01
7.519018816887251e-04	6.378536e+00	8.553381e-06	-3.189345e-01
7.619018816887251e-04	6.378546e+00	8.553356e-06	-3.189369e-01
7.719018816887251e-04	6.378556e+00	8.553330e-06	-3.189354e-01
7.819018816887251e-04	6.378564e+00	8.553308e-06	-3.189377e-01
