time	I(V1)	I(Vcell12)
0.000000000000000e+00	1.405636e-11	-2.599973e-07
9.999999439624929e-11	-5.746338e-09	-2.542658e-07
1.999999887924986e-10	-1.117476e-08	-2.488748e-07
1.599999910339989e-09	-8.681481e-08	-1.752655e-07
3.199999820679977e-09	-1.724277e-07	-9.514595e-08
6.399999641359955e-09	-3.410215e-07	5.476503e-08
1.279999928271991e-08	-6.679122e-07	3.252806e-07
2.559999856543982e-08	-1.282263e-06	7.980763e-07
4.834420581239311e-08	-2.253245e-06	1.515859e-06
7.268328439162890e-08	-2.930755e-06	1.988193e-06
8.551106390108640e-08	-2.513864e-06	1.569576e-06
9.483010381674297e-08	-1.424280e-06	6.128311e-07
1.055730542483833e-07	2.960905e-07	-7.954471e-07
1.180689290097134e-07	2.340550e-06	-2.370574e-06
1.335781977403828e-07	4.733453e-06	-4.164755e-06
1.606636347962108e-07	8.465790e-06	-6.942793e-06
1.904311335718172e-07	1.173649e-05	-9.356990e-06
2.288348008507521e-07	1.437890e-05	-1.127234e-05
2.717844661221665e-07	1.535034e-05	-1.192263e-05
3.213849004256889e-07	1.549597e-05	-1.198704e-05
3.801398766121268e-07	1.554238e-05	-1.197096e-05
4.790393015713479e-07	1.556704e-05	-1.191807e-05
6.768381514897903e-07	1.556951e-05	-1.180800e-05
8.749291171198209e-07	1.555607e-05	-1.172090e-05
1.168432868784778e-06	1.552841e-05	-1.162563e-05
1.449267261734489e-06	1.549910e-05	-1.156304e-05
1.845112147666679e-06	1.545644e-05	-1.149990e-05
2.268003921715625e-06	1.541068e-05	-1.145189e-05
2.882419028600557e-06	1.534487e-05	-1.139633e-05
3.622156665003390e-06	1.526723e-05	-1.133975e-05
4.805628038643738e-06	1.514657e-05	-1.125535e-05
6.594293885401424e-06	1.497162e-05	-1.113730e-05
8.621287972697528e-06	1.478320e-05	-1.105041e-05
1.116452219787254e-05	1.457147e-05	-1.174425e-05
1.251110596658529e-05	1.447988e-05	-1.310678e-05
1.364550058844883e-05	1.441644e-05	-1.482954e-05
1.504393544566021e-05	1.434842e-05	-1.706115e-05
1.656682791459359e-05	1.428282e-05	-1.939723e-05
1.813510712228023e-05	1.422057e-05	-2.153666e-05
1.994262223934196e-05	1.415229e-05	-2.354737e-05
2.221440297073973e-05	1.406781e-05	-2.537889e-05
2.520644067731159e-05	1.395326e-05	-2.673776e-05
2.739151812609993e-05	1.386333e-05	-2.663061e-05
2.980188442477110e-05	1.376228e-05	-2.604265e-05
3.159989561947079e-05	1.368635e-05	-2.556498e-05
3.423486992014364e-05	1.357447e-05	-2.488522e-05
3.771928893367082e-05	1.342829e-05	-2.406732e-05
4.283081021681472e-05	1.322200e-05	-2.307558e-05
4.863596493188725e-05	1.301125e-05	-2.243274e-05
5.306785468953471e-05	1.287732e-05	-2.234816e-05
5.790260139103044e-05	1.276543e-05	-2.244395e-05
5.969969847158335e-05	1.269208e-05	-3.259049e-05
6.040264610606249e-05	1.250555e-05	-1.189211e-04
6.082402242295629e-05	1.235539e-05	-1.068023e-04
6.111177755518798e-05	1.227866e-05	-1.424056e-04
6.140987009271474e-05	1.219555e-05	-1.756326e-04
6.171454551398275e-05	1.211836e-05	-2.303410e-04
6.230430509959921e-05	1.198422e-05	-3.931435e-04
6.300168505532978e-05	1.185246e-05	-7.208454e-04
6.373542241996035e-05	1.174209e-05	-1.241578e-03
6.456502413368732e-05	1.164501e-05	-2.052299e-03
6.549843640067402e-05	1.156210e-05	-3.197671e-03
6.652129665906679e-05	1.149284e-05	-4.685609e-03
6.778964573978171e-05	1.142772e-05	-6.764903e-03
6.958931004558074e-05	1.137485e-05	-1.015985e-02
7.117683891147320e-05	1.134991e-05	-1.342396e-02
7.200447365589024e-05	1.133662e-05	-1.516125e-02
7.251001961164032e-05	1.132851e-05	-1.622311e-02
7.284609405822548e-05	1.132305e-05	-1.693864e-02
7.312960332759968e-05	1.131850e-05	-1.753574e-02
7.342255415568891e-05	1.131373e-05	-1.816253e-02
7.374163240256286e-05	1.130859e-05	-1.883707e-02
7.404579170510028e-05	1.130364e-05	-1.948895e-02
7.436437764424129e-05	1.129852e-05	-2.016238e-02
7.467569636373050e-05	1.129347e-05	-2.082754e-02
7.499831730621378e-05	1.128833e-05	-2.150409e-02
7.531947569410515e-05	1.128322e-05	-2.217947e-02
7.565789420772497e-05	1.127799e-05	-2.286911e-02
7.600701674125120e-05	1.127271e-05	-2.356797e-02
7.639672023391952e-05	1.126716e-05	-2.430064e-02
7.684392892045745e-05	1.126119e-05	-2.508798e-02
7.745684610529000e-05	1.125392e-05	-2.603616e-02
7.853677314457429e-05	1.124283e-05	-2.744017e-02
7.965426539838463e-05	1.123262e-05	-2.864819e-02
8.089862728011877e-05	1.122163e-05	-2.985258e-02
8.270831258977169e-05	1.120569e-05	-3.144176e-02
8.550432133500765e-05	1.118021e-05	-3.373165e-02
8.856193412687493e-05	1.115120e-05	-3.610057e-02
9.184958919409565e-05	1.111900e-05	-3.857914e-02
9.534604669391004e-05	1.108420e-05	-4.115061e-02
9.944827334649460e-05	1.104301e-05	-4.413136e-02
