time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	5.238056e-04	1.449022e-11	-2.619927e-07
9.999999439624929e-11	5.238056e-04	-1.856633e-09	-2.604235e-07
1.999999887924986e-10	5.240440e-04	-3.671400e-09	-2.589470e-07
1.599999910339989e-09	5.238056e-04	-2.855866e-08	-2.384801e-07
3.199999820679977e-09	5.238056e-04	-5.667741e-08	-2.153195e-07
6.399999641359955e-09	5.238056e-04	-1.118958e-07	-1.696982e-07
1.279999928271991e-08	5.240440e-04	-2.183829e-07	-8.119405e-08
2.559999856543982e-08	5.240440e-04	-4.172443e-07	8.531400e-08
4.832346932681248e-08	5.238056e-04	-7.176890e-07	3.487571e-07
7.268114175711875e-08	5.238056e-04	-8.807180e-07	5.283373e-07
8.548555967797776e-08	5.238056e-04	-7.338849e-07	3.979240e-07
9.475079816770668e-08	5.240440e-04	-3.873619e-07	7.771794e-08
1.054113642188036e-07	5.240440e-04	1.885458e-07	-4.224175e-07
1.178365033191811e-07	5.240440e-04	9.027538e-07	-1.019648e-06
1.351343636857140e-07	5.238056e-04	1.846249e-06	-1.807797e-06
1.687364954371602e-07	5.238056e-04	3.492398e-06	-3.174885e-06
2.003616991129358e-07	5.240440e-04	4.734894e-06	-4.228752e-06
2.439984986073654e-07	5.238056e-04	5.844307e-06	-5.138529e-06
2.842545884212134e-07	5.238056e-04	6.310223e-06	-5.406961e-06
3.278090367549270e-07	5.238056e-04	6.431818e-06	-5.407352e-06
3.879982016993880e-07	5.238056e-04	6.453237e-06	-5.372114e-06
4.985271514778547e-07	5.240440e-04	6.458068e-06	-5.299444e-06
7.195850510347880e-07	5.238056e-04	6.447711e-06	-5.176147e-06
9.522309633438763e-07	5.238056e-04	6.429978e-06	-5.082974e-06
1.238147048234530e-06	5.240440e-04	6.405269e-06	-5.003714e-06
1.532149557659299e-06	5.238056e-04	6.379040e-06	-4.948396e-06
1.916331731056073e-06	5.240440e-04	6.344481e-06	-4.898227e-06
2.355246457622426e-06	5.240440e-04	6.305095e-06	-4.857516e-06
2.966980247108026e-06	5.240440e-04	6.250713e-06	-4.813429e-06
5.005278574229702e-06	5.240440e-04	6.075931e-06	-4.695067e-06
6.710336391888753e-06	5.240440e-04	5.938016e-06	-4.608708e-06
8.546168309950274e-06	5.238056e-04	5.801618e-06	-4.568967e-06
1.037087558224907e-05	5.238056e-04	5.686845e-06	-4.946927e-06
1.155746005416514e-05	5.238056e-04	5.634034e-06	-5.870218e-06
1.258279383132003e-05	5.238056e-04	5.610571e-06	-7.241772e-06
1.393635692192985e-05	5.238056e-04	5.601884e-06	-9.386567e-06
1.533106950681325e-05	5.238056e-04	5.607137e-06	-1.161626e-05
1.673921345360752e-05	5.238056e-04	5.620998e-06	-1.370854e-05
1.825190826550048e-05	5.238056e-04	5.639935e-06	-1.567732e-05
2.010704505245677e-05	5.238056e-04	5.663276e-06	-1.758039e-05
