time	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	-2.619927e-07
9.999999439624929e-11	-2.604235e-07
1.999999887924986e-10	-2.589470e-07
1.599999910339989e-09	-2.384801e-07
3.199999820679977e-09	-2.153195e-07
6.399999641359955e-09	-1.696982e-07
1.279999928271991e-08	-8.119405e-08
2.559999856543982e-08	8.531400e-08
4.832346932681248e-08	3.487571e-07
7.268114175711875e-08	5.283373e-07
8.548555967797776e-08	3.979240e-07
9.475079816770668e-08	7.771794e-08
1.054113642188036e-07	-4.224175e-07
1.178365033191811e-07	-1.019648e-06
1.351343636857140e-07	-1.807797e-06
1.687364954371602e-07	-3.174885e-06
2.003616991129358e-07	-4.228752e-06
2.439984986073654e-07	-5.138529e-06
2.842545884212134e-07	-5.406961e-06
3.278090367549270e-07	-5.407352e-06
3.879982016993880e-07	-5.372114e-06
4.985271514778547e-07	-5.299444e-06
7.195850510347880e-07	-5.176147e-06
9.522309633438763e-07	-5.082974e-06
1.238147048234530e-06	-5.003714e-06
1.532149557659299e-06	-4.948396e-06
1.916331731056073e-06	-4.898227e-06
2.355246457622426e-06	-4.857516e-06
2.966980247108026e-06	-4.813429e-06
5.005278574229702e-06	-4.695067e-06
6.710336391888753e-06	-4.608708e-06
8.546168309950274e-06	-4.568967e-06
1.037087558224907e-05	-4.946927e-06
1.155746005416514e-05	-5.870218e-06
1.258279383132003e-05	-7.241772e-06
1.393635692192985e-05	-9.386567e-06
1.533106950681325e-05	-1.161626e-05
1.673921345360752e-05	-1.370854e-05
1.825190826550048e-05	-1.567732e-05
2.010704505245677e-05	-1.758039e-05
2.245830199717830e-05	-1.931986e-05
2.456868234833626e-05	-2.019757e-05
2.647527452013647e-05	-2.015454e-05
2.864167538735259e-05	-1.969919e-05
3.036526387129691e-05	-1.928587e-05
3.285722751574249e-05	-1.869156e-05
3.580487917762505e-05	-1.802316e-05
4.042057167983711e-05	-1.703628e-05
4.625213520377235e-05	-1.590211e-05
4.784623449697209e-05	-2.136870e-05
4.854904539956299e-05	-7.650774e-05
4.881209097197536e-05	-4.744034e-04
4.897888147907356e-05	-9.975096e-04
4.907527044055563e-05	-1.405881e-03
4.918873403704759e-05	-1.961695e-03
4.931274709903501e-05	-2.682888e-03
4.945525506853307e-05	-3.643383e-03
4.967217219046881e-05	-5.388699e-03
