time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	1.449022e-11
9.999999439624929e-11	-1.856633e-09
1.999999887924986e-10	-3.671400e-09
1.599999910339989e-09	-2.855866e-08
3.199999820679977e-09	-5.667741e-08
6.399999641359955e-09	-1.118958e-07
1.279999928271991e-08	-2.183829e-07
2.559999856543982e-08	-4.172443e-07
4.832346932681248e-08	-7.176890e-07
7.268114175711875e-08	-8.807180e-07
8.548555967797776e-08	-7.338849e-07
9.475079816770668e-08	-3.873619e-07
1.054113642188036e-07	1.885458e-07
1.178365033191811e-07	9.027538e-07
1.351343636857140e-07	1.846249e-06
1.687364954371602e-07	3.492398e-06
2.003616991129358e-07	4.734894e-06
2.439984986073654e-07	5.844307e-06
2.842545884212134e-07	6.310223e-06
3.278090367549270e-07	6.431818e-06
3.879982016993880e-07	6.453237e-06
4.985271514778547e-07	6.458068e-06
7.195850510347880e-07	6.447711e-06
9.522309633438763e-07	6.429978e-06
1.238147048234530e-06	6.405269e-06
1.532149557659299e-06	6.379040e-06
1.916331731056073e-06	6.344481e-06
2.355246457622426e-06	6.305095e-06
2.966980247108026e-06	6.250713e-06
5.005278574229702e-06	6.075931e-06
6.710336391888753e-06	5.938016e-06
8.546168309950274e-06	5.801618e-06
1.037087558224907e-05	5.686845e-06
1.155746005416514e-05	5.634034e-06
1.258279383132003e-05	5.610571e-06
1.393635692192985e-05	5.601884e-06
1.533106950681325e-05	5.607137e-06
1.673921345360752e-05	5.620998e-06
1.825190826550048e-05	5.639935e-06
2.010704505245677e-05	5.663276e-06
2.245830199717830e-05	5.687782e-06
2.456868234833626e-05	5.700644e-06
2.647527452013647e-05	5.702792e-06
2.864167538735259e-05	5.698864e-06
3.036526387129691e-05	5.693448e-06
3.285722751574249e-05	5.683213e-06
3.580487917762505e-05	5.669747e-06
4.042057167983711e-05	5.648527e-06
4.625213520377235e-05	5.636364e-06
4.784623449697209e-05	5.713288e-06
4.854904539956299e-05	5.827970e-06
4.881209097197536e-05	5.860762e-06
4.897888147907356e-05	5.853842e-06
4.907527044055563e-05	5.845257e-06
4.918873403704759e-05	5.836481e-06
4.931274709903501e-05	5.827270e-06
4.945525506853307e-05	5.817672e-06
4.967217219046881e-05	5.804427e-06
4.996643928277286e-05	5.788744e-06
5.039173799599022e-05	5.769464e-06
5.083982173037400e-05	5.752743e-06
5.142585857944172e-05	5.735411e-06
5.217337690158634e-05	5.718520e-06
5.305747845558780e-05	5.703783e-06
5.386617139991158e-05	5.694182e-06
5.488077107790098e-05	5.685766e-06
5.584658148847551e-05	5.680246e-06
5.712338031185161e-05	5.675435e-06
5.843868167200260e-05	5.672321e-06
