time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	-1.654625e-04	-2.599899e-07
9.999999439624929e-11	-1.654625e-04	-2.600892e-07
1.999999887924986e-10	-1.652241e-04	-2.601008e-07
1.599999910339989e-09	-1.654625e-04	-2.604804e-07
3.199999820679977e-09	-1.654625e-04	-2.639459e-07
6.399999641359955e-09	-1.659393e-04	-2.785554e-07
1.279999928271991e-08	-1.683235e-04	-3.268178e-07
2.559999856543982e-08	-1.754761e-04	-4.525239e-07
4.834918671724490e-08	-2.205372e-04	-6.793682e-07
7.276194635234191e-08	-3.597736e-04	-8.668208e-07
8.562840204968307e-08	-3.187656e-04	-8.857602e-07
9.496503393523153e-08	-1.928806e-04	-7.950005e-07
1.057460384973583e-07	-9.894371e-05	-5.522297e-07
1.182421696756060e-07	-7.128716e-05	-1.732577e-07
1.338192289683046e-07	-5.507469e-05	3.108938e-07
1.610441589058304e-07	-2.837181e-05	1.054223e-06
1.908857620781046e-07	-1.478195e-05	1.645896e-06
2.295104629377914e-07	-1.060963e-04	2.027775e-06
2.724775593542902e-07	-6.027222e-04	2.073941e-06
3.222699151696864e-07	-1.097441e-03	2.077520e-06
3.812899971184478e-07	-1.477718e-03	2.079964e-06
4.814230846731678e-07	-2.097845e-03	2.073584e-06
6.590405667957946e-07	-3.199100e-03	2.061966e-06
8.486658748966618e-07	-4.375696e-03	2.049615e-06
1.063025535002199e-06	-5.704880e-03	2.039538e-06
1.333878438585441e-06	-7.384300e-03	2.029014e-06
1.640340711168272e-06	-9.283543e-03	2.020922e-06
2.013600783430595e-06	-1.159430e-02	2.012847e-06
2.450617021767919e-06	-1.429558e-02	2.005960e-06
3.013662538289538e-06	-1.776791e-02	1.997838e-06
3.750264597732052e-06	-2.229476e-02	1.988732e-06
4.955603026856805e-06	-2.967143e-02	1.973820e-06
6.099699414827018e-06	-3.663611e-02	1.960361e-06
7.514577055750626e-06	-4.519463e-02	1.943689e-06
9.000976087905377e-06	-5.411601e-02	1.929670e-06
1.057411985223565e-05	-6.345415e-02	1.933327e-06
1.178894520181010e-05	-7.053947e-02	1.973409e-06
