time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	5.245209e-06	1.405748e-11	-2.599973e-07
9.999999439624929e-11	5.245209e-06	-5.596029e-09	-2.543136e-07
1.999999887924986e-10	5.245209e-06	-1.104058e-08	-2.489678e-07
1.599999910339989e-09	5.483627e-06	-8.567617e-08	-1.759811e-07
3.199999820679977e-09	5.483627e-06	-1.699517e-07	-9.654669e-08
6.399999641359955e-09	6.198883e-06	-3.352909e-07	5.206430e-08
1.279999928271991e-08	7.629395e-06	-6.535429e-07	3.201868e-07
2.559999856543982e-08	1.120567e-05	-1.245738e-06	7.887220e-07
4.834918671724490e-08	1.764297e-05	-2.139913e-06	1.500157e-06
7.276194635234191e-08	2.264977e-05	-2.642283e-06	1.967018e-06
8.562840204968307e-08	2.241135e-05	-2.248057e-06	1.543411e-06
9.496503393523153e-08	1.883507e-05	-1.282588e-06	5.876064e-07
1.057460384973583e-07	1.049042e-05	3.294789e-07	-8.138399e-07
1.182421696756060e-07	-1.668930e-06	2.307705e-06	-2.373011e-06
1.338192289683046e-07	-1.740456e-05	4.631491e-06	-4.156636e-06
1.610441589058304e-07	-4.220009e-05	8.215525e-06	-6.918197e-06
1.908857620781046e-07	-6.389618e-05	1.129629e-05	-9.305374e-06
2.295104629377914e-07	-8.201599e-05	1.377654e-05	-1.119281e-05
2.724775593542902e-07	-9.083748e-05	1.495838e-05	-1.182130e-05
3.222699151696864e-07	-9.346008e-05	1.529225e-05	-1.188351e-05
3.812899971184478e-07	-9.369850e-05	1.535787e-05	-1.186752e-05
4.814230846731678e-07	-9.393692e-05	1.538835e-05	-1.181555e-05
6.590405667957946e-07	-9.369850e-05	1.540094e-05	-1.171885e-05
8.486658748966618e-07	-9.369850e-05	1.539717e-05	-1.163591e-05
1.063025535002199e-06	-9.346008e-05	1.538447e-05	-1.156332e-05
1.333878438585441e-06	-9.346008e-05	1.536392e-05	-1.149712e-05
