time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	5.238056e-04	1.449168e-11	-2.619927e-07
9.999999439624929e-11	5.240440e-04	-5.595863e-09	-2.577360e-07
1.999999887924986e-10	5.240440e-04	-1.104121e-08	-2.537098e-07
1.599999910339989e-09	5.235672e-04	-8.567558e-08	-1.973622e-07
3.199999820679977e-09	5.238056e-04	-1.699505e-07	-1.335410e-07
6.399999641359955e-09	5.240440e-04	-3.352876e-07	-7.874297e-09
1.279999928271991e-08	5.240440e-04	-6.535299e-07	2.357128e-07
2.559999856543982e-08	5.238056e-04	-1.245686e-06	6.932397e-07
4.834694126825823e-08	5.240440e-04	-2.139298e-06	1.415587e-06
7.275908626559145e-08	5.240440e-04	-2.639820e-06	1.915143e-06
8.558974844250400e-08	5.240440e-04	-2.243288e-06	1.589859e-06
9.486876739741385e-08	5.238056e-04	-1.277082e-06	7.642234e-07
1.055638479802406e-07	5.238056e-04	3.359886e-07	-5.329200e-07
1.179906049890101e-07	5.238056e-04	2.324251e-06	-2.072950e-06
1.337920558735477e-07	5.238056e-04	4.709024e-06	-3.921158e-06
1.621657317299513e-07	5.240440e-04	8.490847e-06	-6.881451e-06
1.926422546681698e-07	5.240440e-04	1.175577e-05	-9.416091e-06
2.238843165197348e-07	5.238056e-04	1.399386e-05	-1.117104e-05
2.585639343133433e-07	5.240440e-04	1.521816e-05	-1.204351e-05
3.009761420732194e-07	5.240440e-04	1.569186e-05	-1.224215e-05
3.574315890821780e-07	5.240440e-04	1.582035e-05	-1.224840e-05
4.388692105179783e-07	5.240440e-04	1.586208e-05	-1.221022e-05
5.756993917433144e-07	5.240440e-04	1.588090e-05	-1.213157e-05
7.819412888596446e-07	5.240440e-04	1.588177e-05	-1.202878e-05
9.688281891438324e-07	5.240440e-04	1.587251e-05	-1.195693e-05
1.228983665877929e-06	5.240440e-04	1.585334e-05	-1.188239e-05
1.507109727465639e-06	5.238056e-04	1.582985e-05	-1.182546e-05
1.867303965739120e-06	5.240440e-04	1.579718e-05	-1.177243e-05
2.260931145237617e-06	5.238056e-04	1.576016e-05	-1.172948e-05
2.785087386795605e-06	5.238056e-04	1.570985e-05	-1.168366e-05
3.419822108936468e-06	5.238056e-04	1.564839e-05	-1.163561e-05
4.405891781871556e-06	5.238056e-04	1.555284e-05	-1.156620e-05
5.627787139838503e-06	5.238056e-04	1.543539e-05	-1.148387e-05
7.111187848745844e-06	5.238056e-04	1.529517e-05	-1.139237e-05
8.481230448480532e-06	5.238056e-04	1.516985e-05	-1.134697e-05
1.009438993915975e-05	5.238056e-04	1.503124e-05	-1.159181e-05
1.135418094515945e-05	5.238056e-04	1.493455e-05	-1.245720e-05
1.241231306152455e-05	5.238056e-04	1.486583e-05	-1.384441e-05
1.373456344448145e-05	5.235672e-04	1.479328e-05	-1.600845e-05
1.501947891708904e-05	5.235672e-04	1.473173e-05	-1.816751e-05
1.648975660198975e-05	5.238056e-04	1.466845e-05	-2.049021e-05
1.806091710498774e-05	5.235672e-04	1.460557e-05	-2.267451e-05
1.996863776861131e-05	5.235672e-04	1.453230e-05	-2.477064e-05
2.233301087120047e-05	5.235672e-04	1.444196e-05	-2.661256e-05
2.459332133965884e-05	5.235672e-04	1.435286e-05	-2.761513e-05
2.652222532614672e-05	5.235672e-04	1.427310e-05	-2.755676e-05
