time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
0.000000000000000e+00	1.449168e-11
9.999999439624929e-11	-5.595863e-09
1.999999887924986e-10	-1.104121e-08
1.599999910339989e-09	-8.567558e-08
3.199999820679977e-09	-1.699505e-07
6.399999641359955e-09	-3.352876e-07
1.279999928271991e-08	-6.535299e-07
2.559999856543982e-08	-1.245686e-06
4.834694126825823e-08	-2.139298e-06
7.275908626559145e-08	-2.639820e-06
8.558974844250400e-08	-2.243288e-06
9.486876739741385e-08	-1.277082e-06
1.055638479802406e-07	3.359886e-07
1.179906049890101e-07	2.324251e-06
1.337920558735477e-07	4.709024e-06
1.621657317299513e-07	8.490847e-06
1.926422546681698e-07	1.175577e-05
2.238843165197348e-07	1.399386e-05
2.585639343133433e-07	1.521816e-05
3.009761420732194e-07	1.569186e-05
3.574315890821780e-07	1.582035e-05
4.388692105179783e-07	1.586208e-05
5.756993917433144e-07	1.588090e-05
7.819412888596446e-07	1.588177e-05
9.688281891438324e-07	1.587251e-05
1.228983665877929e-06	1.585334e-05
1.507109727465639e-06	1.582985e-05
1.867303965739120e-06	1.579718e-05
2.260931145237617e-06	1.576016e-05
2.785087386795605e-06	1.570985e-05
3.419822108936468e-06	1.564839e-05
4.405891781871556e-06	1.555284e-05
5.627787139838503e-06	1.543539e-05
7.111187848745844e-06	1.529517e-05
8.481230448480532e-06	1.516985e-05
1.009438993915975e-05	1.503124e-05
1.135418094515945e-05	1.493455e-05
1.241231306152455e-05	1.486583e-05
1.373456344448145e-05	1.479328e-05
1.501947891708904e-05	1.473173e-05
1.648975660198975e-05	1.466845e-05
1.806091710498774e-05	1.460557e-05
1.996863776861131e-05	1.453230e-05
2.233301087120047e-05	1.444196e-05
2.459332133965884e-05	1.435286e-05
2.652222532614672e-05	1.427310e-05
2.872457132953714e-05	1.417926e-05
3.044274489999302e-05	1.410522e-05
3.295344965664073e-05	1.399657e-05
3.599163426822825e-05	1.386660e-05
4.080560537407293e-05	1.366945e-05
4.690244371152236e-05	1.343704e-05
4.923159179806897e-05	1.335185e-05
5.072100934024730e-05	1.324614e-05
5.122847651553726e-05	1.313003e-05
5.161497441828009e-05	1.298409e-05
5.179737248665992e-05	1.291489e-05
5.199574016132080e-05	1.284435e-05
5.222885307448129e-05	1.276383e-05
5.269507890080226e-05	1.261417e-05
5.339150268685212e-05	1.241294e-05
5.408780567568399e-05	1.223857e-05
5.482769606562734e-05	1.208273e-05
5.563438950681850e-05	1.194627e-05
5.663395222090666e-05	1.182404e-05
5.793981472682226e-05	1.170864e-05
5.886422381557413e-05	1.163385e-05
5.991133783703483e-05	1.154658e-05
6.094782106072029e-05	1.145987e-05
6.205551652535964e-05	1.136863e-05
6.309676223206147e-05	1.128608e-05
6.421640987809092e-05	1.120287e-05
6.546000087155440e-05	1.111879e-05
6.704527312004682e-05	1.102476e-05
6.945653646738298e-05	1.090242e-05
7.304544147571460e-05	1.074270e-05
7.477636804160856e-05	1.067194e-05
7.603278739752463e-05	1.062318e-05
7.696518581608963e-05	1.058791e-05
7.780022075152053e-05	1.055694e-05
7.867073211743351e-05	1.052520e-05
7.958824463677172e-05	1.049233e-05
8.049243640198055e-05	1.046050e-05
8.141239704048758e-05	1.042872e-05
8.233320416224024e-05	1.039751e-05
8.326200132564533e-05	1.036666e-05
8.420035687428159e-05	1.033617e-05
8.515531182009555e-05	1.030588e-05
8.613849679338877e-05	1.027551e-05
8.717100764159375e-05	1.024461e-05
8.829531510761262e-05	1.021224e-05
8.959631448408516e-05	1.017665e-05
9.129501339029346e-05	1.013336e-05
9.370557825066968e-05	1.007700e-05
9.612113202221924e-05	1.002543e-05
9.866007053191240e-05	9.975750e-06
1.021334469780199e-04	9.912425e-06
1.062832517885349e-04	9.840724e-06
1.100527052893737e-04	9.778330e-06
1.148794337450523e-04	9.701250e-06
1.205910033733199e-04	9.613113e-06
1.289144586978623e-04	9.489228e-06
1.379860442151696e-04	9.359147e-06
1.479860442151696e-04	9.221100e-06
1.579860442151696e-04	9.087998e-06
1.679860442151696e-04	8.959523e-06
1.779860442151696e-04	8.835379e-06
1.879860442151696e-04	8.715377e-06
1.979860442151696e-04	8.599389e-06
2.079860442151696e-04	8.487332e-06
2.179860442151696e-04	8.379161e-06
2.279860442151696e-04	8.274861e-06
2.379860442151696e-04	8.174446e-06
2.479860442151696e-04	8.077955e-06
2.579860442151695e-04	7.985455e-06
2.679860442151696e-04	7.897053e-06
2.779860442151695e-04	7.812890e-06
2.879860442151696e-04	7.733140e-06
2.979860442151695e-04	7.658007e-06
3.079860442151696e-04	7.587706e-06
3.179860442151695e-04	7.522431e-06
3.279860442151696e-04	7.465984e-06
3.353473383074448e-04	7.444620e-06
3.395894281020198e-04	7.454806e-06
3.426229613400070e-04	7.476272e-06
3.456251710289990e-04	7.504686e-06
3.487941307014390e-04	7.539563e-06
3.524203687668990e-04	7.583139e-06
3.550486604040558e-04	7.616332e-06
3.577376228114904e-04	7.651235e-06
