time	V(out_positive,out_negative)
0.000000000000000e+00	1.215935e-05
9.999999439624929e-11	1.215935e-05
1.014771014473093e-10	1.215935e-05
1.044313155494293e-10	1.215935e-05
1.103397437536694e-10	1.215935e-05
1.221566001621494e-10	1.215935e-05
1.457903129791096e-10	1.215935e-05
1.862538002960903e-10	1.215935e-05
2.286514155064465e-10	1.215935e-05
2.974902980062720e-10	1.215935e-05
3.830724674940455e-10	1.215935e-05
5.064650710027747e-10	1.215935e-05
7.500304056114175e-10	1.215935e-05
1.237161074828703e-09	1.215935e-05
2.211422413263274e-09	1.239777e-05
4.159945090132417e-09	1.239777e-05
8.056990443870703e-09	1.287460e-05
1.343432363044510e-08	1.406670e-05
1.578481599101972e-08	1.454353e-05
1.694387515833071e-08	1.478195e-05
1.754074400603544e-08	1.478195e-05
1.786871078376463e-08	1.502037e-05
1.808417377773276e-08	1.502037e-05
1.824501147193808e-08	1.525879e-05
1.841527239429487e-08	1.502037e-05
1.857744152945779e-08	1.525879e-05
1.878454817171363e-08	1.525879e-05
1.905206130834530e-08	1.525879e-05
1.946264535305032e-08	1.549721e-05
2.021504100493614e-08	1.573563e-05
2.171983230870778e-08	1.597404e-05
2.472941491625106e-08	1.716614e-05
3.074858013133762e-08	1.907349e-05
3.886793624492852e-08	2.312660e-05
4.511437558083093e-08	2.956390e-05
5.036680682738978e-08	4.315376e-05
5.507580187389827e-08	7.081032e-05
6.070069211397353e-08	1.356602e-04
6.659772655385855e-08	2.350807e-04
7.385917243397475e-08	3.588200e-04
8.186582284057346e-08	4.475117e-04
9.116130985682241e-08	4.413128e-04
1.016719947526821e-07	3.237724e-04
1.108636562901699e-07	2.136230e-04
1.215300358442980e-07	1.282692e-04
1.341302564293888e-07	6.413460e-05
1.585321985157005e-07	-8.344650e-06
1.819186977875259e-07	-4.839897e-05
2.186639648926738e-07	-9.465218e-05
2.576463055910207e-07	-1.301765e-04
3.059004585108301e-07	-1.559258e-04
3.326616835837619e-07	-1.611710e-04
3.579310457855401e-07	-1.630783e-04
