time	V(N024,N004)	V(N027,N006)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999439624929e-11	-3.359220e-01	-3.359220e-01
1.002503587795699e-10	-3.319833e-01	-3.319833e-01
1.007510875462111e-10	-3.315856e-01	-3.315856e-01
1.017525450794934e-10	-3.335195e-01	-3.335195e-01
1.031303940007809e-10	-3.366964e-01	-3.366964e-01
1.047103242838478e-10	-3.401840e-01	-3.401840e-01
1.071357214512692e-10	-3.454778e-01	-3.454778e-01
1.110622432653296e-10	-3.537264e-01	-3.537264e-01
1.154325686439144e-10	-3.625772e-01	-3.625772e-01
1.203241436705879e-10	-3.720462e-01	-3.720462e-01
1.258351898409869e-10	-3.821750e-01	-3.821750e-01
1.327075662522890e-10	-3.940315e-01	-3.940315e-01
1.408561701166164e-10	-4.071102e-01	-4.071102e-01
1.498558718905760e-10	-4.204297e-01	-4.204297e-01
1.583214185523413e-10	-4.318645e-01	-4.318645e-01
1.697710947385318e-10	-4.458542e-01	-4.458542e-01
1.809430642380845e-10	-4.580112e-01	-4.580112e-01
1.970328675196608e-10	-4.734735e-01	-4.734735e-01
2.074217649614304e-10	-4.823425e-01	-4.823425e-01
2.165029932037942e-10	-4.893272e-01	-4.893272e-01
2.208487306576239e-10	-4.924409e-01	-4.924409e-01
2.247866431808409e-10	-4.951251e-01	-4.951251e-01
2.265545881408009e-10	-4.962950e-01	-4.962950e-01
2.282916250174756e-10	-4.974160e-01	-4.974160e-01
2.299937356128424e-10	-4.984937e-01	-4.984937e-01
2.333979568035759e-10	-5.005727e-01	-5.005727e-01
2.402063991850430e-10	-5.044804e-01	-5.044801e-01
2.538232839479771e-10	-5.113919e-01	-5.113916e-01
2.810570534738453e-10	-5.223315e-01	-5.223315e-01
3.355245925255817e-10	-5.374835e-01	-5.374835e-01
3.962489077870177e-10	-5.473149e-01	-5.473149e-01
4.772791217898908e-10	-5.532115e-01	-5.532115e-01
5.653653701487202e-10	-5.550201e-01	-5.550201e-01
6.834759211883307e-10	-5.540621e-01	-5.540621e-01
8.171302135989040e-10	-5.512812e-01	-5.512812e-01
9.760077043690120e-10	-5.471301e-01	-5.471301e-01
1.206744920525265e-09	-5.407126e-01	-5.407124e-01
1.668219352837770e-09	-5.277231e-01	-5.277231e-01
2.584218007061299e-09	-5.020871e-01	-5.020871e-01
4.416215315508359e-09	-4.513924e-01	-4.513924e-01
6.462182959741426e-09	-3.956013e-01	-3.956013e-01
7.769162133436583e-09	-3.606312e-01	-3.606312e-01
9.304505575838733e-09	-3.203588e-01	-3.203588e-01
1.101499137839791e-08	-2.765448e-01	-2.765448e-01
1.443596298351626e-08	-1.919780e-01	-1.919780e-01
1.820867097893799e-08	-1.029317e-01	-1.029317e-01
2.005278609636135e-08	-6.142116e-02	-6.142116e-02
2.230351071690548e-08	-1.270080e-02	-1.270080e-02
2.326605237434292e-08	7.525206e-03	7.525206e-03
2.386280294277974e-08	1.982093e-02	1.982093e-02
2.420695272540941e-08	2.682877e-02	2.682877e-02
2.441038017639245e-08	3.094053e-02	3.094053e-02
2.454169620429201e-08	3.358102e-02	3.358102e-02
2.466180621648712e-08	3.598785e-02	3.598785e-02
2.475411672763028e-08	3.783154e-02	3.783154e-02
2.483312981502462e-08	3.940654e-02	3.940654e-02
2.490994932038509e-08	4.093409e-02	4.093409e-02
2.499278910162555e-08	4.257965e-02	4.257965e-02
2.508733323675694e-08	4.445434e-02	4.445434e-02
2.517913279327842e-08	4.627562e-02	4.627585e-02
2.527624957212199e-08	4.820657e-02	4.820657e-02
2.537172443862698e-08	5.011773e-02	5.011773e-02
2.546821844883114e-08	5.207300e-02	5.207300e-02
2.556498249159674e-08	5.407882e-02	5.407882e-02
2.566296391749518e-08	5.618095e-02	5.618095e-02
2.576225024745461e-08	5.842209e-02	5.842209e-02
2.586333830310665e-08	6.085610e-02	6.085610e-02
2.596735649307469e-08	6.355524e-02	6.355524e-02
2.607535419149975e-08	6.657624e-02	6.657624e-02
2.619070019853028e-08	7.002783e-02	7.002783e-02
2.631800442208950e-08	7.403898e-02	7.403898e-02
2.647113174756603e-08	7.901716e-02	7.901716e-02
2.669250874223117e-08	8.625722e-02	8.625722e-02
2.694862694169676e-08	9.446549e-02	9.446549e-02
2.722663788709667e-08	1.029768e-01	1.029768e-01
2.754350679809448e-08	1.119416e-01	1.119416e-01
2.802714664605538e-08	1.237867e-01	1.237867e-01
2.891918835119020e-08	1.408105e-01	1.408105e-01
3.032017690576576e-08	1.595314e-01	1.595314e-01
3.188696296986704e-08	1.733918e-01	1.733918e-01
3.344066047819542e-08	1.825924e-01	1.825924e-01
3.563277838851788e-08	1.916394e-01	1.916394e-01
3.872603162539056e-08	2.006066e-01	2.006066e-01
4.282508574703393e-08	2.088814e-01	2.088814e-01
4.736817206432929e-08	2.153890e-01	2.153890e-01
5.369238448956598e-08	2.218935e-01	2.218935e-01
6.305273668749381e-08	2.286451e-01	2.286451e-01
7.406158143647898e-08	2.342668e-01	2.342668e-01
8.504039679808025e-08	2.383590e-01	2.383590e-01
9.941192593694292e-08	2.423365e-01	2.423365e-01
1.141863971587917e-07	2.453921e-01	2.453921e-01
1.314519846650821e-07	2.479000e-01	2.479000e-01
1.653858259619255e-07	2.511659e-01	2.511659e-01
2.062585336627945e-07	2.536776e-01	2.536776e-01
2.540820898733429e-07	2.554255e-01	2.554255e-01
2.997889784596169e-07	2.563868e-01	2.563868e-01
3.494266342388218e-07	2.569487e-01	2.569487e-01
4.056581397315074e-07	2.572236e-01	2.572234e-01
4.780784158269687e-07	2.572308e-01	2.572308e-01
5.784357192196712e-07	2.568724e-01	2.568724e-01
7.081997335499763e-07	2.560265e-01	2.560265e-01
8.528378279419113e-07	2.549486e-01	2.549486e-01
9.757187712317370e-07	2.541325e-01	2.541325e-01
1.093590881591403e-06	2.534726e-01	2.534726e-01
1.211580810724196e-06	2.528594e-01	2.528594e-01
1.329891338735019e-06	2.522795e-01	2.522795e-01
1.467297996124062e-06	2.516370e-01	2.516370e-01
1.610326085940648e-06	2.510004e-01	2.510004e-01
1.783291236829279e-06	2.502694e-01	2.502694e-01
1.975887634195488e-06	2.495046e-01	2.495046e-01
2.222823430235929e-06	2.485919e-01	2.485919e-01
2.522621711962608e-06	2.475746e-01	2.475746e-01
2.793817607560621e-06	2.467339e-01	2.467339e-01
3.072301513175379e-06	2.459469e-01	2.459469e-01
3.339210726575732e-06	2.450101e-01	2.452569e-01
3.625641202248511e-06	2.426383e-01	2.445824e-01
3.909777237808007e-06	2.366741e-01	2.439728e-01
4.212806419318619e-06	2.245042e-01	2.433834e-01
4.519938588957752e-06	2.062829e-01	2.428417e-01
4.851215426000312e-06	1.821549e-01	2.423158e-01
5.197006106824160e-06	1.550088e-01	2.418220e-01
5.576710429375870e-06	1.258371e-01	2.413385e-01
5.985519431091802e-06	9.760284e-02	2.408757e-01
6.444964259743626e-06	7.128096e-02	2.404182e-01
6.955645321223453e-06	4.893398e-02	2.399731e-01
7.546137319856252e-06	3.088355e-02	2.395272e-01
8.223659831757570e-06	1.747632e-02	2.390840e-01
8.835783896487179e-06	1.008892e-02	2.387354e-01
9.423392321496371e-06	5.945921e-03	2.384367e-01
1.005523184583690e-05	3.342867e-03	2.381475e-01
1.067218263069845e-05	1.879454e-03	2.378879e-01
1.132873761988270e-05	1.012802e-03	2.376323e-01
1.199595113860389e-05	5.316734e-04	2.373879e-01
1.272124204266175e-05	2.591610e-04	2.371368e-01
1.347784785719013e-05	1.156330e-04	2.368858e-01
1.430302790322051e-05	4.291534e-05	2.366226e-01
1.517356289873901e-05	8.344650e-06	2.363522e-01
1.612139764762041e-05	-6.198883e-06	2.360656e-01
1.708683689505840e-05	-1.144409e-05	2.357786e-01
1.805175355706428e-05	-1.215935e-05	2.354960e-01
1.905725774655874e-05	-1.382828e-05	2.352023e-01
2.025964140405239e-05	-7.867813e-06	2.348607e-01
2.073075033127462e-05	1.867771e-03	2.365971e-01
2.091628196498076e-05	2.127886e-03	2.367988e-01
2.101402717977064e-05	6.759167e-04	2.353089e-01
2.110139278522852e-05	-2.439022e-04	2.343476e-01
2.119023903122027e-05	-1.916885e-04	2.343554e-01
2.127363153895811e-05	-2.567768e-04	2.342470e-01
2.144041655443379e-05	-2.198219e-04	2.341967e-01
2.163128474897066e-05	-2.634525e-04	2.340529e-01
2.190664301777780e-05	-2.505779e-04	2.339222e-01
2.222598034677699e-05	-2.987385e-04	2.337074e-01
2.269146867173772e-05	-3.166199e-04	2.334428e-01
2.283591837178985e-05	-3.523827e-04	2.333293e-01
2.292913564883475e-05	-5.099773e-04	2.331219e-01
2.296258444166495e-05	-6.539822e-04	2.329586e-01
2.297774369729762e-05	-5.300045e-04	2.330735e-01
2.299155552964510e-05	-3.893375e-04	2.332067e-01
2.299740762505066e-05	-3.914833e-04	2.332010e-01
2.300540876985388e-05	-4.050732e-04	2.331827e-01
2.301707732794464e-05	-4.315376e-04	2.331486e-01
2.303008380888334e-05	-4.701614e-04	2.331014e-01
2.305028093639940e-05	-5.512238e-04	2.330053e-01
2.307293839121489e-05	-6.680489e-04	2.328694e-01
2.310365861150438e-05	-8.759499e-04	2.326310e-01
2.313917597720513e-05	-1.181602e-03	2.322812e-01
2.318501988514478e-05	-1.681089e-03	2.317088e-01
2.323693734976145e-05	-2.387285e-03	2.308919e-01
2.330130858138678e-05	-3.478765e-03	2.296133e-01
2.337503597246574e-05	-5.039930e-03	2.277517e-01
2.346590275628869e-05	-7.497072e-03	2.247612e-01
2.357653159972518e-05	-1.159239e-02	2.196662e-01
2.373350258223791e-05	-2.011514e-02	2.089441e-01
2.385984073112826e-05	-3.114319e-02	1.951694e-01
2.395875284971572e-05	-4.511738e-02	1.780171e-01
2.401356886077696e-05	-5.692339e-02	1.637776e-01
2.405472516194600e-05	-6.895876e-02	1.493356e-01
2.411051924278393e-05	-8.771229e-02	1.266570e-01
2.413459056148257e-05	-9.592795e-02	1.165168e-01
2.415639148653792e-05	-1.031554e-01	1.073649e-01
2.418556837499030e-05	-1.124432e-01	9.532166e-02
2.421532304299007e-05	-1.214857e-01	8.329248e-02
2.424646744948216e-05	-1.305137e-01	7.095194e-02
2.428436021596158e-05	-1.409931e-01	5.624628e-02
2.432582812039043e-05	-1.519086e-01	4.057240e-02
2.437681803020454e-05	-1.646070e-01	2.217245e-02
2.443585454557896e-05	-1.785431e-01	2.425432e-03
2.446911675629424e-05	-1.860206e-01	-7.394314e-03
2.449154041317043e-05	-1.908503e-01	-1.293731e-02
2.451968036383093e-05	-1.967390e-01	-1.888585e-02
2.452892794560334e-05	-1.986344e-01	-2.064085e-02
2.453569398868327e-05	-1.999979e-01	-2.183962e-02
2.454199164863005e-05	-2.012570e-01	-2.292848e-02
2.454683736718534e-05	-2.022176e-01	-2.374983e-02
2.455202520610901e-05	-2.032394e-01	-2.461839e-02
2.455741976354961e-05	-2.042942e-01	-2.551079e-02
2.456230867995480e-05	-2.052441e-01	-2.631354e-02
2.456668870631843e-05	-2.060890e-01	-2.702665e-02
2.457079543659951e-05	-2.068772e-01	-2.769256e-02
2.457520791950068e-05	-2.077181e-01	-2.840376e-02
2.457936286838134e-05	-2.085063e-01	-2.907181e-02
2.458355431714686e-05	-2.092955e-01	-2.974272e-02
2.458757424490867e-05	-2.100489e-01	-3.038478e-02
2.459189974285105e-05	-2.108536e-01	-3.107357e-02
2.459595266177166e-05	-2.116036e-01	-3.171825e-02
2.460040921871554e-05	-2.124228e-01	-3.242493e-02
2.460453296002981e-05	-2.131763e-01	-3.307867e-02
2.460917223062145e-05	-2.140176e-01	-3.381228e-02
2.461360006188658e-05	-2.148154e-01	-3.451204e-02
2.461961366438199e-05	-2.158887e-01	-3.546023e-02
2.462558448454880e-05	-2.169452e-01	-3.640127e-02
2.463376724785014e-05	-2.183747e-01	-3.768802e-02
2.464223521918054e-05	-2.198331e-01	-3.901815e-02
2.465447625711120e-05	-2.219009e-01	-4.093695e-02
2.466789459321425e-05	-2.241123e-01	-4.303741e-02
2.468649374176199e-05	-2.270765e-01	-4.594183e-02
2.470621457923503e-05	-2.300713e-01	-4.901433e-02
2.473559116496312e-05	-2.341998e-01	-5.357647e-02
2.477004112044765e-05	-2.382541e-01	-5.890560e-02
2.482303837320766e-05	-2.425661e-01	-6.706929e-02
2.484622215262876e-05	-2.429616e-01	-7.062769e-02
2.486198142287062e-05	-2.418616e-01	-7.303858e-02
2.487398578609865e-05	-2.400835e-01	-7.487202e-02
2.488451546616028e-05	-2.379355e-01	-7.647777e-02
2.488956004116928e-05	-2.367477e-01	-7.724714e-02
2.489299393155384e-05	-2.358835e-01	-7.776952e-02
2.489782372469265e-05	-2.346361e-01	-7.850504e-02
2.490098895870232e-05	-2.338042e-01	-7.898617e-02
2.490520948580022e-05	-2.326844e-01	-7.962847e-02
2.490888379164659e-05	-2.317038e-01	-8.018661e-02
2.491360986011395e-05	-2.304418e-01	-8.090496e-02
2.491824768678217e-05	-2.292042e-01	-8.160877e-02
2.492263760498210e-05	-2.280378e-01	-8.227515e-02
2.492707180499209e-05	-2.268651e-01	-8.294749e-02
2.493142628964615e-05	-2.257214e-01	-8.360815e-02
2.493598989350751e-05	-2.245305e-01	-8.429909e-02
2.494024641771130e-05	-2.234294e-01	-8.494401e-02
2.494590939728723e-05	-2.219765e-01	-8.580089e-02
2.495155895763307e-05	-2.205431e-01	-8.665586e-02
2.495915969145793e-05	-2.186379e-01	-8.780408e-02
2.496692544422656e-05	-2.167218e-01	-8.897686e-02
2.497802879174661e-05	-2.140310e-01	-9.065080e-02
2.499003271997860e-05	-2.111914e-01	-9.245920e-02
2.500896877802284e-05	-2.068474e-01	-9.530497e-02
2.503149994825389e-05	-2.019122e-01	-9.868264e-02
2.507615533996363e-05	-1.927791e-01	-1.053464e-01
2.513886617912271e-05	-1.813142e-01	-1.146374e-01
2.526428785744088e-05	-1.616471e-01	-1.330321e-01
2.538348181204497e-05	-1.461179e-01	-1.503005e-01
2.551103768864154e-05	-1.327031e-01	-1.685176e-01
2.564686951412098e-05	-1.211090e-01	-1.876395e-01
2.578372318443196e-05	-1.115882e-01	-2.066267e-01
2.591145074731965e-05	-1.043649e-01	-2.240789e-01
2.607822490704299e-05	-9.648943e-02	-2.465625e-01
2.614730230164339e-05	-9.365535e-02	-2.557774e-01
2.618606314127297e-05	-9.222007e-02	-2.609062e-01
2.621003390066102e-05	-9.137511e-02	-2.640650e-01
2.623229127370648e-05	-9.061456e-02	-2.669871e-01
2.625720695377468e-05	-8.978534e-02	-2.702482e-01
2.628057132236196e-05	-8.902431e-02	-2.732930e-01
2.630458170728397e-05	-8.825731e-02	-2.764063e-01
2.632863685349021e-05	-8.749652e-02	-2.795024e-01
2.635289398841311e-05	-8.672905e-02	-2.825923e-01
2.637774465231799e-05	-8.592558e-02	-2.857063e-01
2.640319007295612e-05	-8.506370e-02	-2.888160e-01
2.643023206320664e-05	-8.406758e-02	-2.919910e-01
2.645945830032026e-05	-8.285332e-02	-2.952163e-01
2.649410543783062e-05	-8.117461e-02	-2.986875e-01
2.653965715643978e-05	-7.859874e-02	-3.026702e-01
2.659833585267436e-05	-7.486868e-02	-3.070228e-01
2.666391761908195e-05	-7.046461e-02	-3.111322e-01
2.674470292022051e-05	-6.511450e-02	-3.154600e-01
2.686393573974770e-05	-5.783606e-02	-3.210731e-01
2.700856125517919e-05	-5.015731e-02	-3.272417e-01
2.715804513501685e-05	-4.367208e-02	-3.331542e-01
2.736310116371728e-05	-3.691220e-02	-3.408048e-01
2.766615928036790e-05	-2.979565e-02	-3.516319e-01
2.796452000205425e-05	-2.510929e-02	-3.619480e-01
2.825471809517192e-05	-2.218628e-02	-3.717415e-01
2.853319944629131e-05	-2.035022e-02	-3.809760e-01
2.883462182412506e-05	-1.902199e-02	-3.908353e-01
2.914878663203775e-05	-1.807404e-02	-4.009914e-01
2.948259008117377e-05	-1.737976e-02	-4.116662e-01
2.990200830648196e-05	-1.676917e-02	-4.249327e-01
3.041895760203161e-05	-1.623893e-02	-4.410923e-01
3.115494110473834e-05	-1.570511e-02	-4.637799e-01
3.216057524366861e-05	-1.517224e-02	-4.943216e-01
3.310182591598872e-05	-1.479053e-02	-5.224752e-01
3.399459891186193e-05	-1.450086e-02	-5.487823e-01
3.493828919725310e-05	-1.424193e-02	-5.761988e-01
3.594795291216199e-05	-1.400232e-02	-6.051333e-01
3.695364452321230e-05	-1.379180e-02	-6.335444e-01
3.817604508553497e-05	-1.356435e-02	-6.675622e-01
3.951697890279332e-05	-1.333570e-02	-7.043881e-01
4.006886368262270e-05	-1.324844e-02	-7.193813e-01
4.041872005861717e-05	-1.292229e-02	-7.284572e-01
