Save Time:,2026-05-11 12:52:02,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,500.000 uS,500.000 uS,
PK-PK:,,3.720 V,3.960 V,
,,,,
Units:(mV),Tiempo,S,G,VGS
2,500.000us,3360,1080,-2280
3,1000.000us,3520,1120,-2400
4,1500.000us,3360,1080,-2280
5,2000.000us,3520,1120,-2400
6,2500.000us,3520,1120,-2400
7,3000.000us,3520,1120,-2400
8,3500.000us,3280,1000,-2280
9,4000.000us,3280,1000,-2280
10,4500.000us,3280,1000,-2280
11,5000.000us,3280,1000,-2280
12,5500.000us,3000,920,-2080
13,6000.000us,3000,920,-2080
14,6500.000us,3000,960,-2040
15,7000.000us,3040,1000,-2040
16,7500.000us,2960,920,-2040
17,8000.000us,3000,960,-2040
18,8500.000us,3000,960,-2040
19,9000.000us,3000,960,-2040
20,9500.000us,2960,920,-2040
21,10000.000us,3000,920,-2080
22,10500.000us,2960,960,-2000
23,11000.000us,3000,960,-2040
24,11500.000us,2960,920,-2040
25,12000.000us,2960,920,-2040
26,12500.000us,3040,960,-2080
27,13000.000us,3040,960,-2080
28,13500.000us,2960,920,-2040
29,14000.000us,3040,960,-2080
30,14500.000us,3000,960,-2040
31,15000.000us,3040,960,-2080
32,15500.000us,3000,920,-2080
33,16000.000us,3000,960,-2040
34,16500.000us,3080,920,-2160
35,17000.000us,3080,960,-2120
36,17500.000us,3000,920,-2080
37,18000.000us,3040,960,-2080
38,18500.000us,3040,960,-2080
39,19000.000us,3360,1040,-2320
40,19500.000us,3040,960,-2080
41,20000.000us,3360,1040,-2320
42,20500.000us,3400,1080,-2320
43,21000.000us,3520,1120,-2400
44,21500.000us,3400,1040,-2360
45,22000.000us,3520,1120,-2400
46,22500.000us,3520,1080,-2440
47,23000.000us,3520,1120,-2400
48,23500.000us,3280,1000,-2280
49,24000.000us,3280,1000,-2280
50,24500.000us,3240,1000,-2240
51,25000.000us,3240,1000,-2240
52,25500.000us,3000,920,-2080
53,26000.000us,3000,960,-2040
54,26500.000us,2960,920,-2040
55,27000.000us,3000,960,-2040
56,27500.000us,2960,880,-2080
57,28000.000us,3000,960,-2040
58,28500.000us,2960,920,-2040
59,29000.000us,3000,960,-2040
60,29500.000us,2960,920,-2040
61,30000.000us,2960,920,-2040
62,30500.000us,2960,920,-2040
63,31000.000us,3000,960,-2040
64,31500.000us,2960,920,-2040
65,32000.000us,2960,960,-2000
66,32500.000us,2960,960,-2000
67,33000.000us,3040,960,-2080
68,33500.000us,2960,920,-2040
69,34000.000us,3040,960,-2080
70,34500.000us,3000,960,-2040
71,35000.000us,3040,960,-2080
72,35500.000us,3000,920,-2080
73,36000.000us,3040,920,-2120
74,36500.000us,3080,920,-2160
75,37000.000us,3080,1000,-2080
76,37500.000us,3040,920,-2120
77,38000.000us,3080,1000,-2080
78,38500.000us,3040,960,-2080
79,39000.000us,3320,1040,-2280
80,39500.000us,3040,960,-2080
81,40000.000us,3320,1040,-2280
82,40500.000us,3360,1040,-2320
83,41000.000us,3560,1120,-2440
84,41500.000us,3360,1040,-2320
85,42000.000us,3480,1120,-2360
86,42500.000us,3520,1120,-2400
87,43000.000us,3520,1120,-2400
88,43500.000us,3320,1000,-2320
