Save Time:,2026-05-11 13:08:04,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,500.000 uS,500.000 uS,
PK-PK:,,3.840 V,2.760 V,
,,,,
Units:(mV),,,,
1,500.000us,3320,1040,-2280
2,1000.000us,3360,1040,-2320
3,1500.000us,3040,920,-2120
4,2000.000us,3040,920,-2120
5,2500.000us,3000,920,-2080
6,3000.000us,3000,960,-2040
7,3500.000us,2960,880,-2080
8,4000.000us,3000,920,-2080
9,4500.000us,2960,920,-2040
10,5000.000us,3000,960,-2040
11,5500.000us,2960,880,-2080
12,6000.000us,2960,920,-2040
13,6500.000us,2960,880,-2080
14,7000.000us,3000,960,-2040
15,7500.000us,2960,880,-2080
16,8000.000us,3000,920,-2080
17,8500.000us,2920,920,-2000
18,9000.000us,3000,960,-2040
19,9500.000us,2920,920,-2000
20,10000.000us,3000,920,-2080
21,10500.000us,2960,920,-2040
22,11000.000us,3040,960,-2080
23,11500.000us,2960,880,-2080
24,12000.000us,3000,920,-2080
25,12500.000us,3040,920,-2120
26,13000.000us,3040,960,-2080
27,13500.000us,3000,920,-2080
28,14000.000us,3040,960,-2080
29,14500.000us,3040,880,-2160
30,15000.000us,3200,1040,-2160
31,15500.000us,3040,880,-2160
32,16000.000us,3200,1040,-2160
33,16500.000us,3240,1040,-2200
34,17000.000us,3520,1120,-2400
35,17500.000us,3240,1040,-2200
36,18000.000us,3520,1080,-2440
37,18500.000us,3480,1040,-2440
38,19000.000us,3520,1080,-2440
39,19500.000us,3400,1000,-2400
40,20000.000us,3400,1040,-2360
41,20500.000us,3400,1000,-2400
42,21000.000us,3400,1000,-2400
43,21500.000us,3000,920,-2080
44,22000.000us,3000,920,-2080
45,22500.000us,3000,920,-2080
46,23000.000us,3040,960,-2080
47,23500.000us,2960,880,-2080
48,24000.000us,2960,920,-2040
49,24500.000us,3000,920,-2080
50,25000.000us,3000,960,-2040
51,25500.000us,2920,880,-2040
52,26000.000us,2960,920,-2040
53,26500.000us,2960,920,-2040
54,27000.000us,3000,960,-2040
55,27500.000us,2960,880,-2080
56,28000.000us,3000,960,-2040
57,28500.000us,3000,880,-2120
58,29000.000us,3000,960,-2040
59,29500.000us,2920,880,-2040
60,30000.000us,3000,920,-2080
61,30500.000us,3000,920,-2080
62,31000.000us,3040,960,-2080
63,31500.000us,3000,880,-2120
64,32000.000us,3000,920,-2080
65,32500.000us,3000,960,-2040
66,33000.000us,3040,960,-2080
67,33500.000us,2960,920,-2040
68,34000.000us,3040,920,-2120
69,34500.000us,3040,960,-2080
70,35000.000us,3200,1000,-2200
71,35500.000us,3040,920,-2120
72,36000.000us,3200,1000,-2200
73,36500.000us,3280,1000,-2280
74,37000.000us,3480,1120,-2360
75,37500.000us,3280,1000,-2280
76,38000.000us,3480,1040,-2440
77,38500.000us,3520,1080,-2440
78,39000.000us,3520,1080,-2440
79,39500.000us,3360,1000,-2360
80,40000.000us,3360,1000,-2360
81,40500.000us,3360,1000,-2360
82,41000.000us,3360,1000,-2360
83,41500.000us,2960,920,-2040
84,42000.000us,2960,960,-2000
85,42500.000us,2960,920,-2040
86,43000.000us,3000,920,-2080
87,43500.000us,2960,880,-2080
88,44000.000us,2960,920,-2040
