Save Time:,7/14/2026 12:59,,,
,,CH1,CH2,
Frequency:,,?,0.693 Hz,
Period:,,?,1.444 S,
SP:,,1000.000 uS,1000.000 uS,
PK-PK:,,6.400 V,3.920 V,
,,,,
Units:(mV),tiempo,buspos,busneg,out
36,36000.000us,5840,2720,3120
37,37000.000us,5840,2720,3120
38,38000.000us,5920,2800,3120
39,39000.000us,5840,2720,3120
40,40000.000us,5840,2800,3040
41,41000.000us,5840,2720,3120
42,42000.000us,5920,2800,3120
43,43000.000us,5840,2720,3120
44,44000.000us,5840,2800,3040
45,45000.000us,5840,2800,3040
46,46000.000us,5920,2800,3120
47,47000.000us,5760,2720,3040
48,48000.000us,5840,2800,3040
49,49000.000us,5920,2720,3200
50,50000.000us,5920,2800,3120
51,51000.000us,5760,2720,3040
52,52000.000us,5760,2800,2960
53,53000.000us,5840,2800,3040
54,54000.000us,5920,2800,3120
55,55000.000us,5840,2720,3120
56,56000.000us,5840,2800,3040
57,57000.000us,5920,2800,3120
58,58000.000us,6000,2800,3200
59,59000.000us,5840,2720,3120
60,60000.000us,6000,2800,3200
61,61000.000us,5840,2800,3040
62,62000.000us,5920,2800,3120
63,63000.000us,5840,2720,3120
64,64000.000us,5840,2800,3040
65,65000.000us,5840,2800,3040
66,66000.000us,5920,2880,3040
67,67000.000us,5760,2720,3040
68,68000.000us,5840,2720,3120
69,69000.000us,5920,2800,3120
70,70000.000us,5920,2880,3040
71,71000.000us,5760,2720,3040
72,72000.000us,5920,2720,3200
73,73000.000us,5840,2720,3120
74,74000.000us,5920,2800,3120
75,75000.000us,5840,2720,3120
76,76000.000us,5920,2800,3120
77,77000.000us,5840,2800,3040
78,78000.000us,5920,2800,3120
79,79000.000us,5840,2720,3120
80,80000.000us,5920,2800,3120
81,81000.000us,5840,2800,3040
82,82000.000us,5920,2800,3120
83,83000.000us,5840,2720,3120
84,84000.000us,5840,2800,3040
85,85000.000us,5840,2800,3040
86,86000.000us,5920,2800,3120
87,87000.000us,5840,2720,3120
88,88000.000us,5840,2800,3040
89,89000.000us,5920,2800,3120
