Save Time:,7/14/2026 14:58,,
,,CH1,CH2
Frequency:,,2.845 Hz,1.420 Hz
Period:,,351.500 mS,704.000 mS
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.680 V,3.520 V
,,,
Units:(mV),,,
1,1000.000us,80,80
2,2000.000us,160,80
3,3000.000us,0,0
4,4000.000us,160,0
5,5000.000us,80,80
6,6000.000us,80,80
7,7000.000us,0,0
8,8000.000us,0,80
9,9000.000us,80,80
10,10000.000us,160,160
11,11000.000us,80,0
12,12000.000us,80,80
13,13000.000us,80,80
14,14000.000us,80,160
15,15000.000us,0,0
16,16000.000us,80,0
17,17000.000us,80,80
18,18000.000us,80,3360
19,19000.000us,0,80
20,20000.000us,80,3360
21,21000.000us,80,3280
22,22000.000us,160,3360
23,23000.000us,0,3280
24,24000.000us,80,3280
25,25000.000us,0,3280
26,26000.000us,80,3360
27,27000.000us,0,3280
28,28000.000us,80,3280
29,29000.000us,80,3360
30,30000.000us,80,3360
31,31000.000us,0,3280
32,32000.000us,80,3360
33,33000.000us,80,3360
34,34000.000us,160,3360
35,35000.000us,0,3280
36,36000.000us,160,3360
37,37000.000us,80,3280
38,38000.000us,80,3360
39,39000.000us,0,3280
40,40000.000us,80,3280
41,41000.000us,80,3360
42,42000.000us,160,3360
43,43000.000us,80,3280
44,44000.000us,160,3360
45,45000.000us,80,3280
46,46000.000us,80,3360
47,47000.000us,0,3280
48,48000.000us,80,3360
49,49000.000us,80,3280
50,50000.000us,80,3360
51,51000.000us,0,3280
52,52000.000us,80,3360
53,53000.000us,80,3360
54,54000.000us,160,3360
55,55000.000us,0,3280
56,56000.000us,0,3360
57,57000.000us,80,3280
58,58000.000us,80,3360
59,59000.000us,80,3280
60,60000.000us,80,3360
61,61000.000us,80,3360
62,62000.000us,3520,3360
63,63000.000us,0,3280
64,64000.000us,3520,3280
65,65000.000us,3440,3360
66,66000.000us,3520,3360
67,67000.000us,3440,3280
68,68000.000us,3520,3360
69,69000.000us,3440,3280
70,70000.000us,3520,3360
71,71000.000us,3440,2720
72,72000.000us,3440,2800
73,73000.000us,3520,2720
74,74000.000us,3520,2800
75,75000.000us,3440,2720
76,76000.000us,3440,2720
77,77000.000us,3440,2800
78,78000.000us,3520,2880
