Save Time:,7/14/2026 14:57,,
,,CH1,CH2
Frequency:,,2.893 Hz,?
Period:,,345.714 mS,?
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.600 V,7.600 V
,,,
Units:(mV),,,
1,1000.000us,80,6240
2,2000.000us,80,6240
3,3000.000us,0,6160
4,4000.000us,0,6160
5,5000.000us,80,6160
6,6000.000us,80,6240
7,7000.000us,0,6160
8,8000.000us,80,6160
9,9000.000us,80,6240
10,10000.000us,80,6240
11,11000.000us,0,6160
12,12000.000us,80,6240
13,13000.000us,80,6160
14,14000.000us,160,6240
15,15000.000us,0,6160
16,16000.000us,80,6160
17,17000.000us,160,6240
18,18000.000us,160,6400
19,19000.000us,0,5760
20,20000.000us,80,5760
21,21000.000us,80,5920
22,22000.000us,160,5920
23,23000.000us,0,5760
24,24000.000us,80,5840
25,25000.000us,80,5840
26,26000.000us,80,5920
27,27000.000us,0,5840
28,28000.000us,0,5840
29,29000.000us,80,5760
30,30000.000us,160,5920
31,31000.000us,0,5760
32,32000.000us,160,5840
33,33000.000us,80,5840
34,34000.000us,160,5840
35,35000.000us,0,5760
36,36000.000us,80,5840
37,37000.000us,80,5840
38,38000.000us,160,5920
39,39000.000us,80,5760
40,40000.000us,160,5840
41,41000.000us,80,5840
42,42000.000us,80,5920
43,43000.000us,0,5840
44,44000.000us,80,5840
45,45000.000us,80,5920
46,46000.000us,160,5920
47,47000.000us,0,5760
48,48000.000us,80,5840
49,49000.000us,0,5840
50,50000.000us,80,5920
51,51000.000us,0,5760
52,52000.000us,80,5840
53,53000.000us,80,5840
54,54000.000us,80,5920
55,55000.000us,0,5760
56,56000.000us,0,5840
57,57000.000us,80,5840
58,58000.000us,80,5920
59,59000.000us,80,5760
60,60000.000us,80,5920
61,61000.000us,80,5840
62,62000.000us,3440,5920
63,63000.000us,80,5760
64,64000.000us,3440,5840
65,65000.000us,3440,5840
66,66000.000us,3520,5920
67,67000.000us,3360,5840
68,68000.000us,3440,5840
69,69000.000us,3440,5840
70,70000.000us,3520,5840
71,71000.000us,3360,5680
72,72000.000us,3440,5760
73,73000.000us,3440,5840
74,74000.000us,3520,5840
75,75000.000us,3440,5760
76,76000.000us,3520,5760
77,77000.000us,3440,5840
78,78000.000us,3440,5920
79,79000.000us,3360,5760
80,80000.000us,3440,5840
81,81000.000us,3520,5840
82,82000.000us,3520,5840
83,83000.000us,3360,5760
84,84000.000us,3440,5840
85,85000.000us,3440,5840
86,86000.000us,3520,5840
87,87000.000us,3360,5760
88,88000.000us,3520,5840
89,89000.000us,3440,5840
90,90000.000us,3520,5840
91,91000.000us,3440,5760
92,92000.000us,3440,5840
93,93000.000us,3440,5840
94,94000.000us,3520,5840
95,95000.000us,3360,5760
96,96000.000us,3440,5840
97,97000.000us,3440,5760
98,98000.000us,3520,5840
99,99000.000us,3440,5760
100,100000.000us,3440,5840
101,101000.000us,3440,5760
102,102000.000us,3520,5840
103,103000.000us,3360,5760
104,104000.000us,3440,5840
105,105000.000us,3360,5840
106,106000.000us,3520,5840
107,107000.000us,3360,5760
108,108000.000us,3440,5840
109,109000.000us,3440,5840
110,110000.000us,3520,5840
111,111000.000us,3440,5760
112,112000.000us,3440,5840
113,113000.000us,3440,5760
114,114000.000us,3520,5840
115,115000.000us,3440,5760
116,116000.000us,3440,5840
117,117000.000us,3520,5840
118,118000.000us,3520,5840
119,119000.000us,3440,5760
120,120000.000us,3440,5760
121,121000.000us,3440,5840
122,122000.000us,3520,5840
123,123000.000us,3440,5680
124,124000.000us,3440,5760
125,125000.000us,3440,5840
126,126000.000us,3520,5840
127,127000.000us,3440,5760
128,128000.000us,3440,5840
129,129000.000us,3520,5840
130,130000.000us,3520,5840
131,131000.000us,3360,5760
132,132000.000us,3440,5760
133,133000.000us,3440,5760
134,134000.000us,3520,5840
135,135000.000us,3440,5760
136,136000.000us,3440,5840
137,137000.000us,3440,5840
138,138000.000us,3520,5920
139,139000.000us,3360,5760
140,140000.000us,3360,5840
141,141000.000us,3440,5840
142,142000.000us,3520,5840
143,143000.000us,3440,5760
144,144000.000us,3440,5760
145,145000.000us,3440,5760
146,146000.000us,3520,5920
147,147000.000us,3360,5760
148,148000.000us,3520,5840
149,149000.000us,3360,5840
150,150000.000us,3520,5840
151,151000.000us,3360,5760
152,152000.000us,3520,5840
153,153000.000us,3440,5840
154,154000.000us,3520,5920
155,155000.000us,3360,5840
156,156000.000us,3440,5840
157,157000.000us,3440,5760
158,158000.000us,3440,5840
159,159000.000us,3360,5760
160,160000.000us,3440,5840
161,161000.000us,3520,5840
162,162000.000us,3520,5840
163,163000.000us,3440,5760
164,164000.000us,3440,5760
165,165000.000us,3440,5760
166,166000.000us,3520,5840
167,167000.000us,3360,5760
168,168000.000us,3440,5840
169,169000.000us,3440,5840
170,170000.000us,3440,5840
171,171000.000us,3440,5760
172,172000.000us,3440,5840
173,173000.000us,3520,5840
174,174000.000us,3520,5840
175,175000.000us,3360,5760
176,176000.000us,3440,5840
177,177000.000us,3440,5840
178,178000.000us,3520,5840
179,179000.000us,3440,5760
180,180000.000us,3440,5840
181,181000.000us,3440,5840
182,182000.000us,3520,5920
183,183000.000us,3360,5760
184,184000.000us,3440,5840
185,185000.000us,3440,5840
186,186000.000us,3440,5840
187,187000.000us,3440,5760
188,188000.000us,3440,5840
189,189000.000us,3440,5920
190,190000.000us,3520,5920
191,191000.000us,3440,5760
192,192000.000us,3520,5760
193,193000.000us,3440,5840
194,194000.000us,3520,5840
195,195000.000us,3440,5760
196,196000.000us,3440,5840
197,197000.000us,3440,5760
198,198000.000us,3520,5840
199,199000.000us,3360,5760
200,200000.000us,3440,5760
201,201000.000us,3440,5840
202,202000.000us,3520,5840
203,203000.000us,3440,5760
204,204000.000us,3440,5840
205,205000.000us,3440,5840
206,206000.000us,3520,5840
207,207000.000us,3440,5760
