Save Time:,7/14/2026 14:49,,
,,CH1,CH2
Frequency:,,2.845 Hz,2.845 Hz
Period:,,351.500 mS,351.500 mS
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.600 V,3.520 V
,,,
Units:(mV),,,
1,1000.000us,80,0
2,2000.000us,160,80
3,3000.000us,80,0
4,4000.000us,80,0
5,5000.000us,80,-80
6,6000.000us,80,80
7,7000.000us,0,-80
8,8000.000us,80,80
9,9000.000us,80,0
10,10000.000us,160,80
11,11000.000us,0,0
12,12000.000us,160,0
13,13000.000us,80,0
14,14000.000us,160,80
15,15000.000us,0,0
16,16000.000us,80,80
17,17000.000us,0,0
18,18000.000us,160,3440
19,19000.000us,0,0
20,20000.000us,80,3440
21,21000.000us,80,80
22,22000.000us,160,80
23,23000.000us,0,0
24,24000.000us,80,80
25,25000.000us,80,80
26,26000.000us,80,80
27,27000.000us,0,0
28,28000.000us,80,0
29,29000.000us,80,0
30,30000.000us,80,80
31,31000.000us,0,0
32,32000.000us,80,0
33,33000.000us,80,0
34,34000.000us,80,80
35,35000.000us,0,0
36,36000.000us,80,80
37,37000.000us,80,0
38,38000.000us,80,80
39,39000.000us,0,0
40,40000.000us,0,0
41,41000.000us,80,0
42,42000.000us,160,80
43,43000.000us,0,0
44,44000.000us,0,0
45,45000.000us,80,0
46,46000.000us,160,80
47,47000.000us,0,0
48,48000.000us,80,80
49,49000.000us,0,0
50,50000.000us,80,80
51,51000.000us,0,0
52,52000.000us,80,80
53,53000.000us,160,80
54,54000.000us,160,80
55,55000.000us,0,0
56,56000.000us,80,0
57,57000.000us,80,80
58,58000.000us,160,80
59,59000.000us,0,0
60,60000.000us,80,0
61,61000.000us,0,80
62,62000.000us,3520,80
63,63000.000us,0,0
64,64000.000us,3520,80
65,65000.000us,3440,80
66,66000.000us,3520,80
67,67000.000us,3440,0
68,68000.000us,3440,80
69,69000.000us,3440,80
70,70000.000us,3520,3440
71,71000.000us,3440,0
72,72000.000us,3440,3440
73,73000.000us,3440,3440
74,74000.000us,3520,3440
75,75000.000us,3440,0
76,76000.000us,3440,80
77,77000.000us,3440,80
78,78000.000us,3520,80
79,79000.000us,3440,0
80,80000.000us,3440,80
81,81000.000us,3440,80
82,82000.000us,3520,80
83,83000.000us,3440,0
84,84000.000us,3440,80
85,85000.000us,3360,0
86,86000.000us,3520,80
87,87000.000us,3360,0
88,88000.000us,3440,80
89,89000.000us,3520,0
90,90000.000us,3520,80
91,91000.000us,3440,0
92,92000.000us,3440,80
93,93000.000us,3440,80
94,94000.000us,3520,80
95,95000.000us,3440,0
96,96000.000us,3440,80
97,97000.000us,3440,0
98,98000.000us,3440,80
99,99000.000us,3440,0
