Save Time: 2026-07-14 15:23:55,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.423 Hz,
Period:,351.500 mS,702.667 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.440 V,
,,,
1,0,80,3280
2,1000,80,3200
3,2000,80,3280
4,3000,80,3200
5,4000,80,3200
6,5000,80,3200
7,6000,160,3280
8,7000,80,3200
9,8000,80,3200
10,9000,160,3280
11,10000,160,3280
12,11000,80,3200
13,12000,80,3280
14,13000,0,3200
15,14000,160,3280
16,15000,0,80
17,16000,80,80
18,17000,80,80
19,18000,80,80
20,19000,0,0
21,20000,0,0
22,21000,160,80
23,22000,160,80
24,23000,0,80
25,24000,0,80
26,25000,80,80
27,26000,80,80
28,27000,0,0
29,28000,80,80
30,29000,80,0
31,30000,80,80
32,31000,0,0
33,32000,0,80
34,33000,80,80
35,34000,160,80
36,35000,80,0
37,36000,80,80
38,37000,80,80
39,38000,160,80
40,39000,80,0
41,40000,80,0
42,41000,80,80
43,42000,160,80
44,43000,0,0
45,44000,80,0
46,45000,80,80
47,46000,80,80
48,47000,80,0
49,48000,80,0
50,49000,80,0
51,50000,160,80
52,51000,0,0
53,52000,80,80
54,53000,80,80
55,54000,80,80
56,55000,0,0
57,56000,80,0
58,57000,80,80
59,58000,160,80
60,59000,80,0
61,60000,160,80
62,61000,3440,80
63,62000,3440,80
64,63000,3440,0
65,64000,3440,80
66,65000,3440,0
67,66000,3520,80
68,67000,3440,0
69,68000,3440,80
70,69000,3440,80
71,70000,3520,80
72,71000,3440,0
73,72000,3440,80
74,73000,3360,0
75,74000,3520,80
76,75000,3360,0
77,76000,3440,80
78,77000,3440,80
79,78000,3520,80
80,79000,3440,0
81,80000,3440,80
82,81000,3440,80
83,82000,3520,80
84,83000,3440,0
85,84000,3440,80
86,85000,3520,80
87,86000,3520,80
88,87000,3440,0
89,88000,3440,80
90,89000,3440,80
91,90000,3520,80
92,91000,3360,0
93,92000,3360,0
94,93000,3440,80
95,94000,3520,80
96,95000,3440,0
97,96000,3520,80
98,97000,3520,80
99,98000,3520,80
100,99000,3360,0
101,100000,3360,0
102,101000,3440,80
103,102000,3520,160
104,103000,3360,0
105,104000,3440,80
106,105000,3440,80
107,106000,3520,80
108,107000,3440,0
109,108000,3440,80
110,109000,3440,80
111,110000,3520,80
112,111000,3440,0
113,112000,3440,80
114,113000,3440,80
115,114000,3520,160
116,115000,3440,0
117,116000,3440,80
118,117000,3520,0
119,118000,3520,80
120,119000,3440,0
121,120000,3440,80
122,121000,3440,0
123,122000,3520,80
124,123000,3360,0
125,124000,3440,80
126,125000,3440,0
127,126000,3520,80
128,127000,3360,0
129,128000,3440,80
130,129000,3520,80
131,130000,3520,160
132,131000,3360,0
133,132000,3440,0
134,133000,3520,0
135,134000,3520,80
136,135000,3360,0
137,136000,3440,80
138,137000,3520,80
139,138000,3520,80
140,139000,3440,0
141,140000,3440,0
142,141000,3440,80
143,142000,3520,80
144,143000,3360,80
145,144000,3520,80
146,145000,3440,0
147,146000,3520,80
148,147000,3440,0
149,148000,3520,80
150,149000,3440,80
151,150000,3520,80
152,151000,3440,0
153,152000,3440,80
154,153000,3440,0
155,154000,3440,80
156,155000,3360,0
157,156000,3440,80
158,157000,3440,80
159,158000,3440,80
160,159000,3360,0
161,160000,3360,80
162,161000,3440,80
163,162000,3520,80
164,163000,3360,0
165,164000,3360,0
166,165000,3440,80
167,166000,3520,160
168,167000,3360,0
169,168000,3440,80
170,169000,3520,80
171,170000,3520,160
172,171000,3360,0
173,172000,3440,160
174,173000,3440,80
175,174000,3440,80
176,175000,3440,0
177,176000,3440,80
178,177000,3520,80
179,178000,3520,160
180,179000,3360,0
181,180000,3520,160
182,181000,3440,80
183,182000,3520,80
184,183000,3360,0
185,184000,3360,80
186,185000,3440,80
187,186000,3520,80
188,187000,3360,0
189,188000,3440,80
190,189000,3440,80
191,190000,3440,160
192,191000,3440,0
193,192000,3440,80
194,193000,3440,80
195,194000,3520,80
196,195000,3360,0
197,196000,3440,80
198,197000,3440,80
199,198000,3520,80
200,199000,3440,0
201,200000,3520,0
202,201000,3440,80
203,202000,3520,80
204,203000,3440,0
205,204000,3440,80
206,205000,3440,0
207,206000,3520,80
208,207000,3360,0
209,208000,3520,0
210,209000,3440,80
211,210000,3520,80
212,211000,3440,0
213,212000,3440,0
214,213000,3520,80
215,214000,3520,80
216,215000,3360,0
217,216000,3360,0
218,217000,3440,80
219,218000,3520,80
220,219000,3440,0
221,220000,3520,80
222,221000,3440,80
223,222000,3520,80
224,223000,3360,0
225,224000,3520,80
226,225000,3440,80
227,226000,3520,80
228,227000,3360,0
229,228000,3440,0
230,229000,3440,0
231,230000,3520,160
232,231000,3440,0
233,232000,3440,160
234,233000,3360,80
235,234000,3520,80
236,235000,3360,0
237,236000,3440,80
238,237000,3440,80
239,238000,3520,80
240,239000,3360,0
241,240000,3440,0
242,241000,3360,80
243,242000,3520,80
244,243000,3360,0
245,244000,3440,80
246,245000,3360,80
247,246000,3520,80
248,247000,3360,0
249,248000,3520,0
250,249000,3440,80
251,250000,3520,80
252,251000,3360,0
253,252000,3360,80
254,253000,3520,80
255,254000,3520,80
256,255000,3440,0
257,256000,3440,0
258,257000,3440,80
259,258000,3520,80
260,259000,3440,0
261,260000,3520,80
262,261000,3440,0
263,262000,3520,80
264,263000,3440,0
265,264000,3440,0
266,265000,3440,80
267,266000,3520,80
268,267000,3360,-80
269,268000,3360,80
270,269000,3440,80
271,270000,3520,80
272,271000,3440,0
273,272000,3440,80
274,273000,3440,80
275,274000,3520,80
276,275000,3440,80
277,276000,3440,80
278,277000,3440,0
279,278000,3520,160
280,279000,3360,0
281,280000,3440,0
282,281000,3440,80
283,282000,3520,80
284,283000,3440,0
285,284000,3520,80
286,285000,3440,80
287,286000,3520,80
288,287000,3440,0
289,288000,3440,80
290,289000,3440,0
291,290000,3440,80
292,291000,3360,0
293,292000,3440,0
294,293000,3440,80
295,294000,3520,160
296,295000,3440,0
297,296000,3440,0
298,297000,3440,80
299,298000,3520,80
