Save Time: 2026-07-14 15:24:45,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,?,
Period:,351.500 mS,?,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,800.000 mV,
,,,
1,0,80,80
2,1000,160,80
3,2000,80,0
4,3000,160,0
5,4000,80,80
6,5000,80,80
7,6000,0,0
8,7000,80,0
9,8000,80,80
10,9000,160,80
11,10000,80,0
12,11000,80,80
13,12000,80,0
14,13000,80,80
15,14000,80,0
16,15000,80,0
17,16000,0,80
18,17000,80,160
19,18000,0,-560
20,19000,80,-480
21,20000,160,-480
22,21000,160,-480
23,22000,0,-560
24,23000,80,-480
25,24000,160,-480
26,25000,160,-480
27,26000,0,-560
28,27000,80,-560
29,28000,80,-480
30,29000,160,-480
31,30000,0,-560
32,31000,80,-560
33,32000,80,-480
34,33000,80,-480
35,34000,0,-560
36,35000,80,-560
37,36000,160,-560
38,37000,160,-400
39,38000,0,-560
40,39000,80,-480
41,40000,80,-560
42,41000,160,-480
43,42000,80,-560
44,43000,80,-480
45,44000,80,-480
46,45000,160,-480
47,46000,0,-560
48,47000,80,-480
49,48000,160,-480
50,49000,160,-480
51,50000,0,-560
52,51000,0,-480
53,52000,0,-560
54,53000,160,-480
55,54000,0,-560
56,55000,80,-560
57,56000,80,-560
58,57000,80,-480
59,58000,80,-560
60,59000,80,-560
61,60000,80,-480
62,61000,3440,-480
63,62000,80,-560
64,63000,3440,-560
65,64000,3440,-480
66,65000,3520,-400
67,66000,3360,-560
68,67000,3440,-400
69,68000,3440,-480
70,69000,3520,-400
71,70000,3360,-560
72,71000,3520,-560
73,72000,3520,-560
74,73000,3520,-480
75,74000,3360,-560
76,75000,3440,-560
77,76000,3440,-480
78,77000,3520,-480
79,78000,3360,-560
80,79000,3520,-480
81,80000,3520,-480
82,81000,3520,-400
83,82000,3360,-560
84,83000,3520,-560
85,84000,3440,-560
86,85000,3520,-400
87,86000,3440,-560
88,87000,3440,-560
89,88000,3360,-480
90,89000,3520,-480
91,90000,3360,-560
92,91000,3520,-480
93,92000,3520,-480
94,93000,3520,-400
95,94000,3440,-560
96,95000,3440,-480
97,96000,3360,-480
98,97000,3440,-400
99,98000,3360,-560
100,99000,3440,-480
101,100000,3440,-480
102,101000,3520,-400
103,102000,3360,-480
104,103000,3360,-480
105,104000,3520,-480
106,105000,3520,-400
107,106000,3440,-560
108,107000,3520,-480
109,108000,3440,-480
110,109000,3520,-400
111,110000,3440,-560
112,111000,3520,-560
113,112000,3520,-560
114,113000,3520,-480
115,114000,3440,-560
116,115000,3440,-480
117,116000,3440,-560
118,117000,3520,-480
119,118000,3360,-560
120,119000,3520,-560
121,120000,3440,-480
122,121000,3520,-480
123,122000,3440,-560
124,123000,3440,-560
125,124000,3520,-560
126,125000,3520,-400
127,126000,3440,-560
128,127000,3440,-560
129,128000,3520,-480
130,129000,3520,-480
131,130000,3440,-560
132,131000,3520,-480
133,132000,3440,-560
134,133000,3520,-480
135,134000,3440,-560
136,135000,3440,-480
137,136000,3440,-400
138,137000,3520,-400
139,138000,3440,-560
140,139000,3440,-560
141,140000,3440,-560
142,141000,3440,-400
143,142000,3360,-560
144,143000,3440,-560
145,144000,3440,-560
146,145000,3520,-480
147,146000,3360,-560
148,147000,3440,-480
149,148000,3440,-400
150,149000,3520,-400
151,150000,3440,-560
152,151000,3440,-480
153,152000,3440,-480
154,153000,3520,-400
155,154000,3360,-560
156,155000,3520,-560
157,156000,3440,-560
158,157000,3520,-400
159,158000,3360,-560
160,159000,3440,-480
161,160000,3440,-480
162,161000,3520,-400
163,162000,3440,-560
164,163000,3440,-560
165,164000,3440,-480
166,165000,3520,-480
167,166000,3360,-560
168,167000,3360,-480
169,168000,3440,-480
170,169000,3520,-480
171,170000,3360,-560
172,171000,3360,-560
173,172000,3440,-480
174,173000,3520,-400
175,174000,3440,-560
176,175000,3440,-480
177,176000,3440,-480
178,177000,3520,-480
179,178000,3360,-560
180,179000,3440,-480
181,180000,3440,-560
182,181000,3520,-480
183,182000,3440,-560
184,183000,3440,-480
185,184000,3440,-480
186,185000,3520,-400
187,186000,3440,-560
188,187000,3440,-480
189,188000,3440,-480
190,189000,3520,-480
191,190000,3360,-560
192,191000,3440,-560
193,192000,3440,-560
194,193000,3520,-480
195,194000,3360,-560
196,195000,3440,-560
197,196000,3440,-400
198,197000,3520,-400
199,198000,3440,-560
200,199000,3440,-560
201,200000,3440,-560
202,201000,3520,-400
203,202000,3360,-560
204,203000,3360,-400
205,204000,3520,-480
206,205000,3520,-400
207,206000,3360,-480
208,207000,3520,-480
209,208000,3440,-400
210,209000,3520,-400
211,210000,3440,-560
212,211000,3520,-560
213,212000,3440,-480
214,213000,3520,-480
215,214000,3360,-560
216,215000,3440,-480
217,216000,3440,-480
218,217000,3520,-400
219,218000,3440,-560
220,219000,3440,-560
221,220000,3440,-480
222,221000,3520,-480
223,222000,3440,-560
224,223000,3520,-560
225,224000,3360,-480
226,225000,3520,-480
227,226000,3360,-560
228,227000,3520,-480
229,228000,3440,-480
230,229000,3520,-400
231,230000,3360,-560
232,231000,3440,-480
233,232000,3360,-480
234,233000,3520,-480
235,234000,3360,-560
236,235000,3440,-480
237,236000,3520,-480
238,237000,3520,-400
239,238000,3440,-560
240,239000,3440,-400
241,240000,3520,-560
242,241000,3520,-480
243,242000,3360,-560
244,243000,3440,-560
245,244000,3440,-480
246,245000,3520,-480
247,246000,3440,-480
248,247000,3520,-480
249,248000,3520,-480
250,249000,3520,-400
251,250000,3440,-560
252,251000,3440,-480
253,252000,3520,-560
254,253000,3520,-400
255,254000,3440,-560
256,255000,3440,-480
257,256000,3440,-480
258,257000,3520,-480
259,258000,3440,-560
260,259000,3440,-560
261,260000,3440,-480
262,261000,3520,-480
263,262000,3440,-560
264,263000,3520,-560
265,264000,3520,-560
266,265000,3520,-480
267,266000,3440,-560
268,267000,3440,-480
269,268000,3440,-480
270,269000,3520,-400
271,270000,3360,-560
272,271000,3520,-480
