Save Time: 2026-07-14 15:22:35,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.420 Hz,
Period:,351.500 mS,704.000 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.360 V,
,,,
1,0,80,3200
2,1000,80,3280
3,2000,0,3200
4,3000,80,3280
5,4000,80,3280
6,5000,160,3280
7,6000,0,3200
8,7000,80,3200
9,8000,0,3200
10,9000,160,3280
11,10000,0,3200
12,11000,80,3200
13,12000,160,3280
14,13000,160,3280
15,14000,0,3200
16,15000,0,3280
17,16000,80,3280
18,17000,160,3280
19,18000,80,2720
20,19000,80,2720
21,20000,80,2800
22,21000,160,2800
23,22000,0,2640
24,23000,80,2720
25,24000,80,2720
26,25000,80,2800
27,26000,80,2720
28,27000,80,2800
29,28000,80,2720
30,29000,80,2800
31,30000,0,2720
32,31000,0,2720
33,32000,80,2800
34,33000,160,2800
35,34000,80,2720
36,35000,80,2720
37,36000,80,2720
38,37000,160,2800
39,38000,0,2720
40,39000,80,2800
41,40000,80,2720
42,41000,80,2800
43,42000,0,2720
44,43000,80,2800
45,44000,80,2720
46,45000,160,2800
47,46000,80,2720
48,47000,80,2720
49,48000,80,2800
50,49000,80,2800
51,50000,0,2720
52,51000,80,2720
53,52000,80,2800
54,53000,80,2800
55,54000,0,2720
56,55000,80,2800
57,56000,80,2720
58,57000,80,2800
59,58000,0,2640
60,59000,80,2720
61,60000,80,2720
62,61000,3440,2800
63,62000,80,2720
64,63000,3440,2720
65,64000,3440,2720
66,65000,3520,2800
67,66000,3440,2640
68,67000,3520,2720
69,68000,3440,2720
70,69000,3520,2800
71,70000,3360,880
72,71000,3520,880
73,72000,3440,880
74,73000,3520,960
75,74000,3440,880
76,75000,3440,880
77,76000,3520,880
78,77000,3520,880
79,78000,3440,880
80,79000,3520,880
81,80000,3440,880
82,81000,3520,960
83,82000,3360,880
84,83000,3440,880
85,84000,3440,880
86,85000,3520,960
87,86000,3440,800
88,87000,3520,960
89,88000,3440,880
90,89000,3520,960
91,90000,3440,880
92,91000,3440,880
93,92000,3440,800
94,93000,3520,880
95,94000,3360,800
96,95000,3440,880
97,96000,3440,880
98,97000,3520,880
99,98000,3360,800
100,99000,3520,880
101,100000,3440,880
102,101000,3520,960
103,102000,3360,800
104,103000,3360,880
105,104000,3360,960
106,105000,3520,960
107,106000,3360,880
108,107000,3440,960
109,108000,3520,880
110,109000,3520,960
111,110000,3360,800
112,111000,3360,880
113,112000,3440,880
114,113000,3520,960
115,114000,3440,880
116,115000,3440,880
117,116000,3440,960
118,117000,3520,960
119,118000,3360,880
120,119000,3440,880
121,120000,3440,960
122,121000,3520,960
123,122000,3440,800
124,123000,3440,800
125,124000,3440,880
126,125000,3440,880
127,126000,3360,800
128,127000,3360,880
129,128000,3440,880
130,129000,3520,960
131,130000,3360,800
132,131000,3440,880
133,132000,3440,880
134,133000,3520,880
135,134000,3360,800
136,135000,3440,880
137,136000,3440,800
138,137000,3520,960
139,138000,3440,800
140,139000,3440,880
141,140000,3440,800
142,141000,3520,960
143,142000,3360,800
144,143000,3360,880
145,144000,3440,880
146,145000,3520,960
147,146000,3360,880
148,147000,3440,880
149,148000,3440,960
150,149000,3520,960
151,150000,3360,800
152,151000,3440,960
153,152000,3440,880
154,153000,3520,960
155,154000,3440,800
156,155000,3440,880
157,156000,3440,880
158,157000,3520,960
159,158000,3440,880
160,159000,3440,880
161,160000,3440,880
162,161000,3520,880
163,162000,3440,800
164,163000,3440,880
165,164000,3440,960
166,165000,3520,960
167,166000,3440,800
168,167000,3440,960
169,168000,3360,880
170,169000,3520,960
171,170000,3360,800
172,171000,3440,800
173,172000,3360,880
174,173000,3520,960
175,174000,3360,800
176,175000,3440,880
177,176000,3440,960
178,177000,3440,960
179,178000,3440,800
180,179000,3440,960
181,180000,3440,960
182,181000,3520,960
183,182000,3360,880
184,183000,3520,880
185,184000,3440,880
186,185000,3520,960
187,186000,3360,800
188,187000,3520,880
189,188000,3440,960
190,189000,3440,960
191,190000,3440,880
192,191000,3440,880
193,192000,3440,880
194,193000,3520,880
195,194000,3440,800
196,195000,3440,800
197,196000,3440,880
198,197000,3520,880
199,198000,3440,800
200,199000,3440,880
201,200000,3440,880
202,201000,3520,880
203,202000,3360,800
204,203000,3440,880
205,204000,3520,880
206,205000,3520,960
207,206000,3360,800
208,207000,3520,880
209,208000,3360,800
210,209000,3520,880
211,210000,3360,800
212,211000,3440,880
213,212000,3520,960
214,213000,3520,960
215,214000,3360,800
216,215000,3440,880
217,216000,3440,880
218,217000,3520,960
219,218000,3440,880
220,219000,3440,960
221,220000,3520,880
222,221000,3520,960
223,222000,3360,800
224,223000,3440,880
225,224000,3520,800
226,225000,3520,880
227,226000,3360,800
228,227000,3520,880
229,228000,3520,880
230,229000,3520,960
231,230000,3360,800
232,231000,3440,880
233,232000,3520,880
234,233000,3520,880
235,234000,3440,800
236,235000,3440,880
237,236000,3520,880
238,237000,3520,960
239,238000,3360,800
240,239000,3360,880
241,240000,3440,800
242,241000,3520,880
243,242000,3440,800
244,243000,3520,880
245,244000,3440,880
246,245000,3520,960
247,246000,3440,800
248,247000,3440,880
249,248000,3440,880
250,249000,3520,880
251,250000,3440,800
252,251000,3440,880
253,252000,3440,880
254,253000,3520,960
255,254000,3360,880
256,255000,3440,880
257,256000,3440,800
258,257000,3520,960
259,258000,3440,800
260,259000,3520,800
261,260000,3440,880
262,261000,3520,960
263,262000,3440,800
264,263000,3440,880
265,264000,3520,960
266,265000,3520,960
267,266000,3440,880
268,267000,3440,880
269,268000,3520,880
270,269000,3520,960
271,270000,3360,800
272,271000,3440,960
273,272000,3520,880
274,273000,3520,960
275,274000,3440,800
276,275000,3520,880
277,276000,3440,880
278,277000,3520,880
279,278000,3360,880
280,279000,3520,880
281,280000,3520,880
282,281000,3520,960
283,282000,3360,800
284,283000,3440,880
285,284000,3440,880
286,285000,3520,960
287,286000,3360,800
288,287000,3440,880
289,288000,3440,880
290,289000,3520,960
291,290000,3440,880
292,291000,3440,960
293,292000,3520,800
294,293000,3520,960
295,294000,3440,800
296,295000,3520,800
297,296000,3520,880
298,297000,3520,880
299,298000,3360,800
300,299000,3440,880
301,300000,3440,880
302,301000,3520,960
303,302000,3360,880
304,303000,3520,880
305,304000,3440,880
306,305000,3520,880
307,306000,3440,800
308,307000,3440,880
309,308000,3440,880
310,309000,3520,960
311,310000,3440,880
312,311000,3440,880
313,312000,3520,880
314,313000,3520,960
315,314000,3440,800
316,315000,3440,880
317,316000,3520,960
318,317000,3520,960
319,318000,3440,880
320,319000,3440,880
321,320000,3520,880
322,321000,3520,880
323,322000,0,880
324,323000,0,880
325,324000,160,960
