,tiempo,vgate,vcell_neg
1,0,1720,-80
2,2000,1720,-80
3,4000,1760,-80
4,6000,3320,40
5,8000,3360,0
6,10000,3360,40
7,12000,3320,0
8,14000,3320,0
9,16000,3280,40
10,18000,3320,0
11,20000,3320,0
12,22000,3320,0
13,24000,3320,0
14,26000,3320,40
15,28000,3320,40
16,30000,3320,40
17,32000,3320,0
18,34000,3360,0
19,36000,3320,40
20,38000,3360,40
21,40000,3320,0
22,42000,3360,0
23,44000,3280,40
24,46000,3320,40
25,48000,3360,0
26,50000,3320,0
27,52000,3280,40
28,54000,3360,0
29,56000,3320,0
30,58000,3280,0
31,60000,3280,0
32,62000,3320,40
33,64000,3320,40
34,66000,3280,0
35,68000,3320,40
36,70000,3320,0
37,72000,3320,0
38,74000,3280,0
39,76000,3320,40
40,78000,3320,0
41,80000,3360,40
42,82000,3320,40
43,84000,3320,40
44,86000,3280,40
45,88000,3360,40
46,90000,3320,0
47,92000,3280,0
48,94000,3320,40
49,96000,3320,0
50,98000,3320,0
51,100000,3320,40
52,102000,3320,0
53,104000,3320,0
54,106000,3360,40
55,108000,3320,40
56,110000,3320,0
57,112000,3320,40
58,114000,3280,40
59,116000,3320,40
60,118000,3320,0
61,120000,3320,0
62,122000,3280,40
63,124000,3320,0
64,126000,3320,0
65,128000,3320,0
66,130000,3320,40
67,132000,3320,0
68,134000,3360,40
69,136000,3320,40
70,138000,3320,40
71,140000,3280,40
72,142000,3320,0
73,144000,3320,40
74,146000,3360,40
75,148000,3320,40
76,150000,3320,40
77,152000,3320,40
78,154000,3320,40
79,156000,3320,0
80,158000,3320,0
81,160000,3320,0
82,162000,3320,0
83,164000,3360,-40
84,166000,3320,40
85,168000,3360,40
86,170000,3320,0
87,172000,3320,40
88,174000,3320,40
89,176000,3320,0
90,178000,3360,40
91,180000,3320,40
92,182000,3280,0
93,184000,3320,0
94,186000,3320,40
95,188000,3320,40
96,190000,3320,0
97,192000,3280,40
98,194000,3320,0
99,196000,3360,40
100,198000,3320,0
101,200000,3320,0
102,202000,3320,40
103,204000,3320,0
104,206000,3320,40
105,208000,3280,40
106,210000,3320,0
107,212000,3320,40
108,214000,3280,40
109,216000,3360,0
