Save Time: 2026-02-13 12:59:23,,,,,,
Units:(mV),,,,,,
,,CH2,,,CH1,
Frequency:,,?,,,1.000 Hz,
Period:,,?,,,1000.000 mS,
SP:,,2000.000 uS,,,2000.000 uS,
PK-PK:,,3.400 V,,,3.520 V,
,,CH1,ch2,,,math
1,,3360,3360,,0,0
2,,3440,3360,,2000,-80
3,,3360,3320,,4000,-40
4,,3440,3320,,6000,-120
5,,3440,3360,,8000,-80
6,,3440,3320,,10000,-120
7,,3440,3320,,12000,-120
8,,3360,3320,,14000,-40
9,,3360,3320,,16000,-40
10,,3440,3320,,18000,-120
11,,3440,3320,,20000,-120
12,,3360,3360,,22000,0
13,,3360,3360,,24000,0
14,,3440,3320,,26000,-120
15,,3360,3320,,28000,-40
16,,3360,3360,,30000,0
17,,3360,3360,,32000,0
18,,3360,3320,,34000,-40
19,,3440,3320,,36000,-120
20,,3440,3360,,38000,-80
21,,3440,3320,,40000,-120
22,,3360,3320,,42000,-40
23,,3440,3320,,44000,-120
24,,3440,3320,,46000,-120
25,,3360,3320,,48000,-40
26,,3520,3360,,50000,-160
27,,3440,3320,,52000,-120
28,,3440,3320,,54000,-120
29,,3440,3320,,56000,-120
30,,3360,3320,,58000,-40
31,,3360,3360,,60000,0
32,,3360,3320,,62000,-40
33,,3360,3320,,64000,-40
34,,3440,3320,,66000,-120
35,,3360,3320,,68000,-40
36,,3360,3360,,70000,0
37,,3440,3320,,72000,-120
38,,3360,3320,,74000,-40
39,,3360,3320,,76000,-40
40,,3440,3320,,78000,-120
41,,3440,3320,,80000,-120
42,,3440,3320,,82000,-120
43,,3440,3320,,84000,-120
44,,3360,3320,,86000,-40
45,,3440,3320,,88000,-120
46,,3440,3320,,90000,-120
47,,3440,3320,,92000,-120
48,,3440,3360,,94000,-80
49,,3440,3320,,96000,-120
50,,3360,3280,,98000,-80
51,,3440,3320,,100000,-120
52,,3440,3320,,102000,-120
53,,3440,3320,,104000,-120
54,,3440,3320,,106000,-120
55,,3360,3320,,108000,-40
56,,3360,3280,,110000,-80
57,,3440,3360,,112000,-80
58,,3360,3320,,114000,-40
59,,3360,3320,,116000,-40
60,,3440,3320,,118000,-120
61,,3440,3360,,120000,-80
62,,3360,3360,,122000,0
63,,3440,3320,,124000,-120
64,,3440,3320,,126000,-120
65,,3360,3320,,128000,-40
66,,3440,3320,,130000,-120
67,,3360,3320,,132000,-40
68,,3360,3320,,134000,-40
69,,3440,3320,,136000,-120
70,,80,3320,,138000,3240
71,,80,3320,,140000,3240
72,,160,3320,,142000,3160
73,,80,3280,,144000,3200
74,,80,3320,,146000,3240
75,,80,3320,,148000,3240
76,,80,3320,,150000,3240
77,,80,3320,,152000,3240
78,,80,3280,,154000,3200
79,,80,3320,,156000,3240
80,,80,3320,,158000,3240
81,,80,3320,,160000,3240
82,,80,3320,,162000,3240
83,,80,3320,,164000,3240
84,,160,3320,,166000,3160
85,,160,3320,,168000,3160
86,,160,3320,,170000,3160
87,,160,3320,,172000,3160
88,,80,3320,,174000,3240
89,,160,3320,,176000,3160
90,,80,3320,,178000,3240
91,,0,3320,,180000,3320
92,,80,3320,,182000,3240
93,,80,3320,,184000,3240
94,,80,3320,,186000,3240
95,,160,3320,,188000,3160
96,,80,3320,,190000,3240
97,,160,3320,,192000,3160
98,,160,3320,,194000,3160
99,,80,3280,,196000,3200
100,,80,3280,,198000,3200
101,,0,3280,,200000,3280
102,,80,3280,,202000,3200
103,,80,3280,,204000,3200
104,,160,3280,,206000,3120
105,,80,3320,,208000,3240
106,,80,3280,,210000,3200
107,,80,3280,,212000,3200
108,,80,3320,,214000,3240
109,,80,3280,,216000,3200
110,,160,3320,,218000,3160
111,,80,3320,,220000,3240
112,,80,3320,,222000,3240
113,,160,3320,,224000,3160
114,,80,3320,,226000,3240
115,,80,3320,,228000,3240
116,,80,3280,,230000,3200
117,,160,3320,,232000,3160
118,,80,3280,,234000,3200
119,,160,3320,,236000,3160
120,,80,3320,,238000,3240
121,,160,3280,,240000,3120
122,,160,3320,,242000,3160
123,,80,3280,,244000,3200
124,,80,3320,,246000,3240
125,,80,3320,,248000,3240
126,,80,3280,,250000,3200
127,,80,3320,,252000,3240
128,,160,3360,,254000,3200
129,,80,3280,,256000,3200
130,,160,3320,,258000,3160
131,,80,3280,,260000,3200
132,,80,3280,,262000,3200
133,,80,3320,,264000,3240
134,,160,3320,,266000,3160
