Save Time:,2026-02-20 16:25:49,,
,,CH1,CH2
Frequency:,,?,?
Period:,,?,?
SP:,,10000.000 uS,10000.000 uS
PK-PK:,,120.000 mV,1.800 V
,,,
Units:(mV),,,
1,10000.000us,0,1720
2,20000.000us,40,1720
3,30000.000us,0,1760
4,40000.000us,0,1680
5,50000.000us,40,1680
6,60000.000us,40,1760
7,70000.000us,0,1720
8,80000.000us,0,1680
9,90000.000us,40,1680
10,100000.000us,40,1760
11,110000.000us,80,1720
12,120000.000us,40,1720
13,130000.000us,0,1680
14,140000.000us,80,1720
15,150000.000us,0,1720
16,160000.000us,40,1760
17,170000.000us,0,1680
18,180000.000us,40,1680
19,190000.000us,40,1640
20,200000.000us,40,1720
21,210000.000us,80,1680
22,220000.000us,40,1720
23,230000.000us,40,1680
24,240000.000us,80,1720
25,250000.000us,0,1680
26,260000.000us,40,1680
27,270000.000us,40,1720
28,280000.000us,40,1720
29,290000.000us,40,1680
30,300000.000us,40,1720
31,310000.000us,40,1720
32,320000.000us,40,1760
33,330000.000us,80,1760
34,340000.000us,40,1760
35,350000.000us,80,1720
36,360000.000us,0,1760
37,370000.000us,40,1720
38,380000.000us,40,1800
39,390000.000us,80,1680
40,400000.000us,80,1680
41,410000.000us,40,1720
42,420000.000us,80,1680
43,430000.000us,80,1720
44,440000.000us,80,1720
45,450000.000us,40,1760
46,460000.000us,80,1720
47,470000.000us,40,1680
48,480000.000us,40,1720
49,490000.000us,40,1680
50,500000.000us,80,1680
51,510000.000us,40,1720
52,520000.000us,40,1720
53,530000.000us,40,1760
54,540000.000us,40,1760
55,550000.000us,40,1720
56,560000.000us,40,1720
57,570000.000us,40,1760
58,580000.000us,40,1720
59,590000.000us,40,1720
60,600000.000us,80,1760
61,610000.000us,40,1680
62,620000.000us,40,1720
63,630000.000us,40,1720
64,640000.000us,40,1760
65,650000.000us,40,1760
66,660000.000us,40,1680
67,670000.000us,40,1720
68,680000.000us,40,1720
69,690000.000us,80,1720
70,700000.000us,0,1720
71,710000.000us,40,1680
72,720000.000us,40,1680
73,730000.000us,80,1720
74,740000.000us,0,1720
75,750000.000us,40,1760
76,760000.000us,40,1720
77,770000.000us,80,1680
78,780000.000us,40,1720
79,790000.000us,40,1720
80,800000.000us,80,1720
81,810000.000us,40,1720
82,820000.000us,40,1760
83,830000.000us,40,1720
84,840000.000us,40,1760
85,850000.000us,40,1720
86,860000.000us,40,1720
87,870000.000us,40,1720
88,880000.000us,40,1720
89,890000.000us,40,1680
90,900000.000us,40,1720
91,910000.000us,40,1680
92,920000.000us,40,1720
93,930000.000us,0,1720
94,940000.000us,40,1680
95,950000.000us,40,1720
96,960000.000us,40,1720
97,970000.000us,0,1720
98,980000.000us,40,1680
99,990000.000us,0,1720
100,1000000.000us,40,1680
101,1010000.000us,40,1720
102,1020000.000us,0,1680
103,1030000.000us,40,1720
104,1040000.000us,80,1720
105,1050000.000us,80,1680
106,1060000.000us,40,1720
107,1070000.000us,40,1760
108,1080000.000us,40,1720
109,1090000.000us,0,1720
110,1100000.000us,80,1720
111,1110000.000us,40,1760
112,1120000.000us,40,1760
113,1130000.000us,0,1680
114,1140000.000us,40,1720
115,1150000.000us,40,1720
116,1160000.000us,40,1720
