Save Time:,2026-02-20 16:07:59,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,10000.000 uS,10000.000 uS,
PK-PK:,,2.380 V,3.360 V,
,,,,
Units:(mV),,,,
1,10000.000us,2040,3280,-1240
2,20000.000us,2040,3280,-1240
3,30000.000us,2020,3280,-1260
4,40000.000us,2040,3200,-1160
5,50000.000us,2040,3200,-1160
6,60000.000us,2040,3200,-1160
7,70000.000us,2340,3280,-940
8,80000.000us,2360,3280,-920
9,90000.000us,2360,3280,-920
10,100000.000us,2360,3280,-920
11,110000.000us,2340,3280,-940
12,120000.000us,2340,3280,-940
13,130000.000us,2340,3200,-860
14,140000.000us,2340,3280,-940
15,150000.000us,2340,3200,-860
16,160000.000us,2360,3200,-840
17,170000.000us,2340,3280,-940
18,180000.000us,2360,3280,-920
19,190000.000us,2340,3200,-860
20,200000.000us,2340,3200,-860
21,210000.000us,2340,3280,-940
22,220000.000us,2340,3280,-940
23,230000.000us,2360,3280,-920
24,240000.000us,2340,3200,-860
25,250000.000us,2340,3280,-940
26,260000.000us,2360,3280,-920
27,270000.000us,2320,3280,-960
28,280000.000us,2340,3280,-940
29,290000.000us,2340,3280,-940
30,300000.000us,2340,3280,-940
31,310000.000us,2320,3200,-880
32,320000.000us,2340,3280,-940
33,330000.000us,2340,3280,-940
34,340000.000us,2340,3280,-940
35,350000.000us,2340,3280,-940
36,360000.000us,2340,3200,-860
37,370000.000us,2340,3280,-940
38,380000.000us,2340,3200,-860
39,390000.000us,2340,3280,-940
40,400000.000us,2360,3280,-920
41,410000.000us,2340,3280,-940
42,420000.000us,2360,3280,-920
43,430000.000us,2340,3200,-860
44,440000.000us,2360,3280,-920
45,450000.000us,2340,3280,-940
46,460000.000us,2360,3200,-840
47,470000.000us,2360,3200,-840
48,480000.000us,2360,3280,-920
49,490000.000us,2360,3280,-920
50,500000.000us,2340,3280,-940
51,510000.000us,2360,3280,-920
52,520000.000us,2360,3280,-920
53,530000.000us,2360,3280,-920
54,540000.000us,2340,3280,-940
55,550000.000us,2340,3200,-860
56,560000.000us,2360,3280,-920
57,570000.000us,2020,3200,-1180
58,580000.000us,2000,3200,-1200
59,590000.000us,2020,3280,-1260
60,600000.000us,2000,3280,-1280
61,610000.000us,2000,3280,-1280
62,620000.000us,2000,3280,-1280
63,630000.000us,2000,3200,-1200
64,640000.000us,2020,3280,-1260
65,650000.000us,2000,3200,-1200
66,660000.000us,2020,3280,-1260
67,670000.000us,2020,3280,-1260
68,680000.000us,2040,3280,-1240
69,690000.000us,1980,3200,-1220
70,700000.000us,2020,3280,-1260
71,710000.000us,2000,3280,-1280
72,720000.000us,2020,3200,-1180
73,730000.000us,2000,3200,-1200
74,740000.000us,2000,3280,-1280
75,750000.000us,2020,3280,-1260
76,760000.000us,2020,3280,-1260
77,770000.000us,2020,3280,-1260
78,780000.000us,2000,3280,-1280
79,790000.000us,2000,3280,-1280
80,800000.000us,2020,3280,-1260
81,810000.000us,2000,3200,-1200
82,820000.000us,2020,3280,-1260
83,830000.000us,2000,3200,-1200
84,840000.000us,2020,3200,-1180
85,850000.000us,2000,3280,-1280
86,860000.000us,2020,3280,-1260
87,870000.000us,2000,3280,-1280
88,880000.000us,2020,3280,-1260
89,890000.000us,2000,3280,-1280
90,900000.000us,2020,3280,-1260
91,910000.000us,2000,3280,-1280
92,920000.000us,2000,3200,-1200
