config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,0.0,-3.2999048,-3.2999048,-3.2999048,-3.2999048,6.5998096,6.599809,4.355748126204523e-09
3.0,9.999999439624929e-11,-3.2998729,-3.2998729,-3.2998781,-3.2998781,6.5998096,6.599809,8.711496252409046e-09
3.0,1.9999998879249858e-10,-3.299859,-3.299859,-3.2998712,-3.2998712,6.5998096,6.599809,1.524511844171583e-08
3.0,3.9999997758499717e-10,-3.2998223,-3.2998223,-3.299852,-3.299852,6.5998096,6.599809,2.8312362820329395e-08
3.0,7.999999551699943e-10,-3.299741,-3.299741,-3.2998233,-3.2998233,6.5998096,6.599809,5.444685157755653e-08
3.0,1.5999999103399887e-09,-3.2995677,-3.2995677,-3.2998028,-3.2998025,6.5998096,6.599809,1.067158290920108e-07
3.0,3.1999998206799773e-09,-3.2991931,-3.2991931,-3.2998245,-3.2998245,6.5998096,6.599809,2.1125378412091933e-07
3.0,6.399999641359955e-09,-3.2984245,-3.2984245,-3.299927,-3.299927,6.5998096,6.5998096,4.203297120601289e-07
3.0,1.279999928271991e-08,-3.2969139,-3.2969139,-3.300086,-3.300086,6.5998096,6.5998096,8.384815679385479e-07
3.0,2.559999856543982e-08,-3.2940829,-3.2940829,-3.300185,-3.300185,6.5998096,6.5998096,1.2792960557703836e-06
3.0,3.3040583111554895e-08,-3.2925222,-3.2925222,-3.3001037,-3.3001037,6.5998096,6.5998096,1.5995241073699471e-06
3.0,4.030369570258585e-08,-3.2908227,-3.2908227,-3.299708,-3.299708,6.5998096,6.5998096,1.855895999980291e-06
3.0,4.481223973123549e-08,-3.289278,-3.289278,-3.2989159,-3.2989159,6.5998096,6.59981,2.0435598432305123e-06
3.0,4.8920530064738226e-08,-3.2871132,-3.2871132,-3.297408,-3.297408,6.5998096,6.5998096,2.2356494570467736e-06
3.0,5.3632289975545504e-08,-3.2838218,-3.2838218,-3.2948337,-3.2948337,6.59981,6.5998096,2.453498214681082e-06
3.0,5.89233448212952e-08,-3.280485,-3.280485,-3.2922244,-3.2922244,6.59981,6.59981,2.67718245124034e-06
3.0,6.390304848967054e-08,-3.2786002,-3.2786002,-3.2909224,-3.2909224,6.59981,6.59981,2.9191116496381563e-06
3.0,7.003184496632686e-08,-3.2778192,-3.2778192,-3.2906568,-3.2906568,6.59981,6.59981,3.192236932444249e-06
3.0,7.644395824242521e-08,-3.2793672,-3.2793672,-3.2922268,-3.2922268,6.59981,6.59981,3.5011232469896425e-06
