config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
2.0,0.0,-3.2999048,-3.2999048,-3.2999048,-3.2999048,6.5998096,6.599809,4.355748126204523e-09
2.0,9.999999439624929e-11,-3.2998881,-3.2998881,-3.2998898,-3.2998898,6.5998096,6.599809,8.711496252409046e-09
2.0,1.9999998879249858e-10,-3.2998896,-3.2998896,-3.2998924,-3.2998924,6.5998096,6.599809,1.524511844171583e-08
2.0,3.9999997758499717e-10,-3.2998838,-3.2998838,-3.29989,-3.29989,6.5998096,6.599809,2.8312362820329395e-08
2.0,7.999999551699943e-10,-3.2998688,-3.2998688,-3.2998838,-3.2998838,6.5998096,6.599809,5.444685157755653e-08
2.0,1.5999999103399887e-09,-3.2998402,-3.2998402,-3.2998772,-3.2998772,6.5998096,6.599809,1.067158290920108e-07
2.0,3.1999998206799773e-09,-3.2997777,-3.2997777,-3.299868,-3.299868,6.5998096,6.599809,2.1125378412091933e-07
2.0,6.399999641359955e-09,-3.2996502,-3.2996502,-3.2998567,-3.2998567,6.5998096,6.599809,4.2032969417873645e-07
2.0,1.279999928271991e-08,-3.2993898,-3.2993898,-3.2998235,-3.2998235,6.5998096,6.599809,8.384815142943706e-07
2.0,2.559999856543982e-08,-3.2988636,-3.2988636,-3.2997231,-3.2997231,6.5998096,6.5998096,1.2792973007480973e-06
2.0,3.3040642739507167e-08,-3.2985158,-3.2985158,-3.2996075,-3.2996075,6.5998096,6.5998096,1.599524073642179e-06
2.0,4.0303636989122e-08,-3.2979043,-3.2979043,-3.2992165,-3.2992165,6.5998096,6.5998096,1.8558926101440557e-06
2.0,4.4812145259001315e-08,-3.296987,-3.296987,-3.2984414,-3.2984414,6.5998096,6.5998096,2.043555692107034e-06
2.0,4.892043713271945e-08,-3.2953625,-3.2953625,-3.2969563,-3.2969563,6.5998096,6.5998096,2.23564509300732e-06
2.0,5.363218572699096e-08,-3.292652,-3.292652,-3.2944143,-3.2944143,6.5998096,6.5998096,2.4534934323856763e-06
2.0,5.892323353999686e-08,-3.2899156,-3.2899156,-3.291848,-3.291848,6.5998096,6.5998096,2.677178512644291e-06
