config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
26.0,0.0,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,2.72234335187552e-08
26.0,9.999999439624929e-11,-3.299899,-3.299899,-3.299899,-3.299899,-3.299899,-3.2998996,-3.2998996,-3.2998996,-3.2998996,-3.2998996,-3.2999003,-3.2999003,-3.2999003,-3.2999003,-3.2999003,-3.299901,-3.299901,-3.299901,-3.299901,-3.299901,-3.299902,-3.299902,-3.299902,-3.299902,-3.299902,16.499525,16.499527,5.44468670375104e-08
26.0,1.9999998879249858e-10,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.299896,-3.299896,-3.299896,-3.299896,-3.299896,-3.299897,-3.299897,-3.299897,-3.299897,-3.299897,-3.299899,-3.299899,-3.299899,-3.299899,-3.299899,16.499525,16.499525,9.52820128452951e-08
26.0,3.9999997758499717e-10,-3.2998817,-3.2998817,-3.2998817,-3.2998817,-3.2998817,-3.2998843,-3.2998843,-3.2998843,-3.2998843,-3.2998843,-3.299887,-3.299887,-3.299887,-3.299887,-3.299887,-3.299889,-3.299889,-3.299889,-3.299889,-3.299889,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998934,16.499525,16.499525,1.7695230446086449e-07
26.0,7.999999551699943e-10,-3.2998583,-3.2998583,-3.2998583,-3.2998583,-3.2998583,-3.2998636,-3.2998636,-3.2998636,-3.2998636,-3.2998636,-3.2998683,-3.2998683,-3.2998683,-3.2998683,-3.2998683,-3.2998734,-3.2998734,-3.2998734,-3.2998734,-3.2998734,-3.2998827,-3.2998827,-3.2998827,-3.2998827,-3.2998827,16.499525,16.499525,3.4029288769200324e-07
26.0,1.5999999103399887e-09,-3.2998118,-3.2998118,-3.2998118,-3.2998118,-3.2998118,-3.2998219,-3.2998219,-3.2998219,-3.2998219,-3.2998219,-3.2998316,-3.2998316,-3.2998316,-3.2998316,-3.2998316,-3.2998414,-3.2998414,-3.2998414,-3.2998414,-3.2998414,-3.2998645,-3.2998645,-3.2998645,-3.2998645,-3.2998645,16.499525,16.499527,6.669740899170657e-07
26.0,3.1999998206799773e-09,-3.2997186,-3.2997186,-3.2997186,-3.2997186,-3.2997186,-3.2997384,-3.2997384,-3.2997384,-3.2997384,-3.2997384,-3.299758,-3.299758,-3.299758,-3.299758,-3.299758,-3.2997777,-3.2997777,-3.2997777,-3.2997777,-3.2997777,-3.2998369,-3.2998369,-3.2998369,-3.2998369,-3.2998369,16.499525,16.49953,1.32033663741833e-06
26.0,6.399999641359955e-09,-3.2995343,-3.2995343,-3.2995343,-3.2995343,-3.2995343,-3.2995734,-3.2995734,-3.2995734,-3.2995734,-3.2995734,-3.299612,-3.299612,-3.299612,-3.299612,-3.299612,-3.2996507,-3.2996507,-3.2996507,-3.2996507,-3.2996507,-3.2997985,-3.2997985,-3.2997987,-3.2997987,-3.2997987,16.499525,16.499542,2.6270627337788345e-06
26.0,1.279999928271991e-08,-3.2991755,-3.2991755,-3.2991755,-3.2991755,-3.2991755,-3.2992518,-3.2992518,-3.2992518,-3.2992518,-3.2992518,-3.2993279,-3.2993279,-3.2993279,-3.2993279,-3.2993279,-3.2994037,-3.2994037,-3.2994037,-3.2994037,-3.2994037,-3.2997444,-3.2997444,-3.2997444,-3.2997444,-3.2997444,16.499525,16.499592,5.240522651261374e-06
26.0,2.559999856543982e-08,-3.2984986,-3.2984986,-3.2984986,-3.2984986,-3.2984986,-3.2986453,-3.2986453,-3.2986453,-3.2986453,-3.2986453,-3.298792,-3.298792,-3.298792,-3.298792,-3.298792,-3.2989383,-3.2989383,-3.2989383,-3.2989383,-3.2989383,-3.299648,-3.299648,-3.299648,-3.299648,-3.299648,16.499525,16.498775,1.0467183849766337e-05
