config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
5.0,0.0,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,2.72234335187552e-08
5.0,9.999999439624929e-11,-3.2998924,-3.2998924,-3.2998924,-3.2998924,-3.2998924,-3.2998958,-3.2998958,-3.2998958,-3.2998958,-3.2998958,-3.2998989,-3.2998989,-3.2998989,-3.2998989,-3.2998989,-3.299902,-3.299902,-3.299902,-3.299902,-3.299902,-3.2999048,-3.2999048,-3.2999048,-3.2999048,-3.2999048,16.499525,16.499527,5.44468670375104e-08
5.0,1.9999998879249858e-10,-3.2998805,-3.2998805,-3.2998805,-3.2998805,-3.2998805,-3.299887,-3.299887,-3.299887,-3.299887,-3.299887,-3.299893,-3.299893,-3.299893,-3.299893,-3.299893,-3.299899,-3.299899,-3.299899,-3.299899,-3.299899,-3.2999046,-3.2999046,-3.2999046,-3.2999046,-3.2999046,16.499525,16.499527,9.52820173156432e-08
5.0,3.9999997758499717e-10,-3.299857,-3.299857,-3.299857,-3.299857,-3.299857,-3.299869,-3.299869,-3.299869,-3.299869,-3.299869,-3.2998812,-3.2998812,-3.2998812,-3.2998812,-3.2998812,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2999039,-3.2999039,-3.2999039,-3.2999039,-3.2999039,16.499525,16.499525,1.769523089312126e-07
5.0,7.999999551699943e-10,-3.2998102,-3.2998102,-3.2998102,-3.2998102,-3.2998102,-3.2998345,-3.2998345,-3.2998345,-3.2998345,-3.2998345,-3.2998586,-3.2998586,-3.2998586,-3.2998586,-3.2998586,-3.2998827,-3.2998827,-3.2998827,-3.2998827,-3.2998827,-3.2999024,-3.2999024,-3.2999024,-3.2999024,-3.2999024,16.499525,16.499527,3.402929100437438e-07
5.0,1.5999999103399887e-09,-3.2997198,-3.2997198,-3.2997198,-3.2997198,-3.2997198,-3.2997682,-3.2997682,-3.2997682,-3.2997682,-3.2997682,-3.2998164,-3.2998164,-3.2998164,-3.2998164,-3.2998164,-3.2998643,-3.2998643,-3.2998643,-3.2998643,-3.2998643,-3.2998986,-3.2998986,-3.2998986,-3.2998986,-3.2998986,16.499525,16.499527,6.669741122688063e-07
5.0,3.1999998206799773e-09,-3.2995489,-3.2995489,-3.2995489,-3.2995489,-3.2995489,-3.2996445,-3.2996445,-3.2996445,-3.2996445,-3.2996445,-3.2997396,-3.2997396,-3.2997396,-3.2997396,-3.2997396,-3.299835,-3.299835,-3.299835,-3.299835,-3.299835,-3.2998905,-3.2998905,-3.2998905,-3.2998905,-3.2998905,16.499525,16.499537,1.3203368743467798e-06
5.0,6.399999641359955e-09,-3.2992268,-3.2992268,-3.2992268,-3.2992268,-3.2992268,-3.2994158,-3.2994158,-3.2994158,-3.2994158,-3.2994158,-3.2996044,-3.2996044,-3.2996044,-3.2996044,-3.2996044,-3.299793,-3.299793,-3.299793,-3.299793,-3.299793,-3.299872,-3.299872,-3.2998722,-3.2998722,-3.2998722,16.499525,16.499565,2.6270646873209574e-06
5.0,1.279999928271991e-08,-3.298621,-3.298621,-3.298621,-3.298621,-3.298621,-3.298991,-3.298991,-3.298991,-3.298991,-3.298991,-3.29936,-3.29936,-3.29936,-3.29936,-3.29936,-3.2997289,-3.2997289,-3.2997289,-3.2997289,-3.2997289,-3.2998333,-3.2998333,-3.2998333,-3.2998333,-3.2998333,16.499525,16.49967,5.240536907201489e-06
5.0,2.559999856543982e-08,-3.2974856,-3.2974856,-3.2974856,-3.2974856,-3.2974856,-3.2981963,-3.2981963,-3.2981963,-3.2981963,-3.2981963,-3.2989054,-3.2989054,-3.2989054,-3.2989054,-3.2989054,-3.2996142,-3.2996142,-3.2996142,-3.2996142,-3.2996142,-3.2997591,-3.2997591,-3.2997591,-3.2997591,-3.2997591,16.499525,16.498352,1.046706420983993e-05
