config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
7.0,0.0,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,2.72234335187552e-08
7.0,9.999999439624929e-11,-3.299896,-3.299896,-3.299896,-3.299896,-3.299896,-3.299897,-3.299897,-3.299897,-3.299897,-3.299897,-3.299899,-3.299899,-3.299899,-3.299899,-3.299899,-3.2999,-3.2999,-3.2999,-3.2999,-3.2999,-3.2999027,-3.2999027,-3.2999027,-3.2999027,-3.2999027,16.499525,16.499527,5.44468670375104e-08
7.0,1.9999998879249858e-10,-3.2998872,-3.2998872,-3.2998872,-3.2998872,-3.2998872,-3.2998888,-3.2998888,-3.2998888,-3.2998888,-3.2998888,-3.2998936,-3.2998936,-3.2998936,-3.2998936,-3.2998936,-3.2998953,-3.2998953,-3.2998953,-3.2998953,-3.2998953,-3.2999005,-3.2999005,-3.2999005,-3.2999005,-3.2999005,16.499525,16.499525,9.52820128452951e-08
7.0,3.9999997758499717e-10,-3.2998698,-3.2998698,-3.2998698,-3.2998698,-3.2998698,-3.2998736,-3.2998736,-3.2998736,-3.2998736,-3.2998736,-3.2998824,-3.2998824,-3.2998824,-3.2998824,-3.2998824,-3.299886,-3.299886,-3.299886,-3.299886,-3.299886,-3.2998965,-3.2998965,-3.2998965,-3.2998965,-3.2998965,16.499525,16.499525,1.7695230446086449e-07
7.0,7.999999551699943e-10,-3.299835,-3.299835,-3.299835,-3.299835,-3.299835,-3.2998433,-3.2998433,-3.2998433,-3.2998433,-3.2998433,-3.2998595,-3.2998595,-3.2998595,-3.2998595,-3.2998595,-3.2998676,-3.2998676,-3.2998676,-3.2998676,-3.2998676,-3.2998884,-3.2998884,-3.2998884,-3.2998884,-3.2998884,16.499525,16.499525,3.4029288769200324e-07
7.0,1.5999999103399887e-09,-3.299765,-3.299765,-3.299765,-3.299765,-3.299765,-3.299786,-3.299786,-3.299786,-3.299786,-3.299786,-3.299814,-3.299814,-3.299814,-3.299814,-3.299814,-3.2998347,-3.2998347,-3.2998347,-3.2998347,-3.2998347,-3.299876,-3.299876,-3.299876,-3.299876,-3.299876,16.499525,16.499527,6.669740899170657e-07
7.0,3.1999998206799773e-09,-3.2996256,-3.2996256,-3.2996256,-3.2996256,-3.2996256,-3.29968,-3.29968,-3.29968,-3.29968,-3.29968,-3.2997227,-3.2997227,-3.2997227,-3.2997227,-3.2997227,-3.299777,-3.299777,-3.299777,-3.299777,-3.299777,-3.2998588,-3.2998588,-3.2998588,-3.2998588,-3.2998588,16.499525,16.499533,1.3203367089438997e-06
7.0,6.399999641359955e-09,-3.2993493,-3.2993493,-3.2993493,-3.2993493,-3.2993493,-3.2994878,-3.2994878,-3.2994878,-3.2994878,-3.2994878,-3.2995412,-3.2995412,-3.2995412,-3.2995412,-3.2995412,-3.2996793,-3.2996793,-3.2996793,-3.2996793,-3.2996793,-3.2998414,-3.2998414,-3.2998414,-3.2998414,-3.2998414,16.499525,16.499554,2.627063663611241e-06
7.0,1.279999928271991e-08,-3.298812,-3.298812,-3.298812,-3.298812,-3.298812,-3.2991338,-3.2991338,-3.2991338,-3.2991338,-3.2991338,-3.299188,-3.299188,-3.299188,-3.299188,-3.299188,-3.2995095,-3.2995095,-3.2995095,-3.2995095,-3.2995095,-3.2998264,-3.2998264,-3.2998264,-3.2998264,-3.2998264,16.499525,16.499632,5.240529875343916e-06
7.0,2.559999856543982e-08,-3.2978024,-3.2978024,-3.2978024,-3.2978024,-3.2978024,-3.298477,-3.298477,-3.298477,-3.298477,-3.298477,-3.2985244,-3.2985244,-3.2985244,-3.2985244,-3.2985244,-3.299198,-3.299198,-3.299198,-3.299198,-3.299198,-3.2998054,-3.2998054,-3.2998054,-3.2998054,-3.2998054,16.499525,16.499924,1.0467554995947626e-05
7.0,5.119999713087964e-08,-3.2960312,-3.2960312,-3.2960312,-3.2960312,-3.2960312,-3.297324,-3.297324,-3.297324,-3.297324,-3.297324,-3.2973635,-3.2973635,-3.2973635,-3.2973635,-3.2973635,-3.2986524,-3.2986524,-3.2986524,-3.2986524,-3.2986524,-3.2997673,-3.2997673,-3.2997673,-3.2997673,-3.2997675,16.499525,16.50694,1.852487837972562e-05
7.0,8.47674338435173e-08,-3.297226,-3.297226,-3.297226,-3.297226,-3.297226,-3.2984078,-3.2984078,-3.2984078,-3.2984078,-3.2984078,-3.2983732,-3.2983732,-3.2983732,-3.2983732,-3.2983732,-3.2993095,-3.2993095,-3.2993095,-3.2993095,-3.2993095,-3.299939,-3.299939,-3.299939,-3.299939,-3.299939,16.499525,16.524157,2.756895415105718e-05
7.0,1.1754427084540761e-07,-3.3083875,-3.3083875,-3.3083875,-3.3083875,-3.3083875,-3.3067672,-3.3067672,-3.3067672,-3.3067672,-3.3067672,-3.3065908,-3.3065908,-3.3065908,-3.3065906,-3.3065908,-3.3037295,-3.3037295,-3.3037295,-3.3037295,-3.3037295,-3.300586,-3.300586,-3.300586,-3.300586,-3.300586,16.499525,16.50719,3.626452506497635e-05
7.0,1.4862075531816959e-07,-3.3220785,-3.3220785,-3.3220785,-3.3220785,-3.3220785,-3.3167284,-3.3167284,-3.3167284,-3.3167284,-3.3167284,-3.3167303,-3.3167303,-3.3167303,-3.3167303,-3.3167303,-3.3087788,-3.3087788,-3.3087788,-3.3087788,-3.3087788,-3.300964,-3.300964,-3.300964,-3.300964,-3.300964,16.499525,16.49307,4.470798959340258e-05
7.0,1.7959940363364163e-07,-3.3330252,-3.3330252,-3.3330252,-3.3330252,-3.3330252,-3.3248587,-3.3248587,-3.3248587,-3.3248587,-3.3248587,-3.3250937,-3.3250937,-3.3250937,-3.3250937,-3.3250937,-3.3129678,-3.3129678,-3.3129678,-3.3129678,-3.3129678,-3.301215,-3.301215,-3.3012152,-3.3012152,-3.3012152,16.499523,16.492025,5.3175597960284096e-05
7.0,2.1085728614894023e-07,-3.3409886,-3.3409886,-3.3409886,-3.3409886,-3.3409886,-3.3309748,-3.3309748,-3.3309748,-3.3309748,-3.3309748,-3.3320687,-3.3320687,-3.3320687,-3.3320687,-3.3320687,-3.3162825,-3.3162825,-3.3162825,-3.3162825,-3.3162825,-3.3009763,-3.3009763,-3.3009763,-3.3009763,-3.3009763,16.499523,16.49937,6.391363667774909e-05
7.0,2.5848835333239e-07,-3.3530111,-3.3530111,-3.3530111,-3.3530111,-3.3530111,-3.340781,-3.340781,-3.340781,-3.340781,-3.340781,-3.3428316,-3.3428316,-3.3428316,-3.3428316,-3.3428316,-3.3216033,-3.321603,-3.321603,-3.321603,-3.321603,-3.3009224,-3.3009224,-3.3009224,-3.3009224,-3.3009224,16.499521,16.503172,8.065876933559858e-05
7.0,3.338501254771626e-07,-3.3739433,-3.3739433,-3.3739433,-3.3739433,-3.3739433,-3.3589194,-3.3589194,-3.3589194,-3.3589194,-3.3589194,-3.3611507,-3.361151,-3.361151,-3.3611507,-3.3611507,-3.331401,-3.331401,-3.331401,-3.331401,-3.331401,-3.3019364,-3.3019364,-3.3019364,-3.3019364,-3.3019364,16.49952,16.498505,9.272874277450912e-05
7.0,3.4716728239989086e-07,-3.3773935,-3.3773935,-3.3773935,-3.3773935,-3.3773935,-3.3620918,-3.3620918,-3.3620918,-3.3620918,-3.3620918,-3.3642976,-3.3642976,-3.3642976,-3.3642976,-3.3642976,-3.3331425,-3.3331425,-3.3331425,-3.3331425,-3.3331425,-3.3021717,-3.3021717,-3.3021717,-3.3021717,-3.3021717,16.49952,16.49879,9.81665800388611e-05
7.0,3.738015962453474e-07,-3.3838453,-3.3838453,-3.3838453,-3.3838453,-3.3838453,-3.3682454,-3.3682454,-3.3682454,-3.3682454,-3.3682454,-3.3703961,-3.3703961,-3.3703961,-3.3703961,-3.3703961,-3.3365953,-3.3365953,-3.3365953,-3.3365953,-3.3365953,-3.3026853,-3.3026853,-3.3026853,-3.3026853,-3.3026853,16.49952,16.496088,0.00010904047216958735
7.0,4.270702239362605e-07,-3.3946292,-3.3946292,-3.3946292,-3.3946292,-3.3946292,-3.3789563,-3.3789563,-3.3789563,-3.3789563,-3.3789563,-3.3808777,-3.3808777,-3.3808777,-3.3808777,-3.3808777,-3.3428712,-3.3428712,-3.3428712,-3.3428712,-3.3428712,-3.3036458,-3.3036458,-3.3036458,-3.3036458,-3.3036458,16.499517,16.486168,0.00013077517598736375
7.0,5.336074793180867e-07,-3.4079568,-3.4079568,-3.4079568,-3.4079568,-3.4079568,-3.391909,-3.391909,-3.391909,-3.391909,-3.391909,-3.3931031,-3.3931031,-3.3931031,-3.3931031,-3.3931031,-3.3517826,-3.3517826,-3.3517826,-3.3517826,-3.3517826,-3.305161,-3.305161,-3.305161,-3.305161,-3.305161,16.499516,16.494871,0.00014761193490071134
7.0,5.507983364525718e-07,-3.4089983,-3.4089983,-3.4089983,-3.4089983,-3.4089983,-3.3928702,-3.3928702,-3.3928702,-3.3928702,-3.3928702,-3.3939145,-3.3939145,-3.3939145,-3.3939145,-3.3939145,-3.3525476,-3.3525476,-3.3525476,-3.3525476,-3.3525476,-3.305304,-3.305304,-3.305304,-3.305304,-3.305304,16.499516,16.498604,0.00015463145109759685
7.0,5.851800507215421e-07,-3.4105186,-3.4105186,-3.4105186,-3.4105186,-3.4105186,-3.3942113,-3.3942113,-3.3942113,-3.3942113,-3.3942113,-3.394956,-3.394956,-3.394956,-3.394956,-3.394956,-3.3535001,-3.3535001,-3.3535001,-3.3535001,-3.3535001,-3.305499,-3.305499,-3.305499,-3.305499,-3.305499,16.499516,16.496698,0.00016866886197493657
7.0,6.539434792594827e-07,-3.4118261,-3.4118261,-3.4118261,-3.4118261,-3.4118261,-3.3952894,-3.3952894,-3.3952894,-3.3952894,-3.3952894,-3.3955512,-3.3955512,-3.3955512,-3.3955512,-3.3955512,-3.354036,-3.354036,-3.354036,-3.354036,-3.354036,-3.305731,-3.305731,-3.305731,-3.305731,-3.305731,16.499514,16.496853,0.0001954927533636392
7.0,7.822768218204258e-07,-3.4127166,-3.4127166,-3.4127166,-3.4127166,-3.4127166,-3.396088,-3.396088,-3.396088,-3.396088,-3.396088,-3.3957608,-3.3957608,-3.3957608,-3.3957608,-3.3957608,-3.3543656,-3.3543656,-3.3543656,-3.3543656,-3.3543656,-3.3059247,-3.3059247,-3.3059247,-3.3059247,-3.3059247,16.499514,16.497742,0.0002478921670662161
7.0,1.0389435069423123e-06,-3.4134686,-3.4134686,-3.4134686,-3.4134686,-3.4134686,-3.3968554,-3.3968554,-3.3968554,-3.3968554,-3.3968554,-3.3957045,-3.3957045,-3.3957045,-3.3957045,-3.3957045,-3.3546305,-3.3546305,-3.3546305,-3.3546305,-3.3546305,-3.3061037,-3.3061037,-3.3061037,-3.3061037,-3.3061037,16.499512,16.498306,0.0003389565342998518
7.0,1.4513413721633009e-06,-3.4141645,-3.4141645,-3.4141645,-3.4141645,-3.4141645,-3.3976092,-3.3976092,-3.3976092,-3.3976092,-3.3976092,-3.3955495,-3.3955495,-3.3955495,-3.3955495,-3.3955495,-3.354854,-3.354854,-3.354854,-3.354854,-3.354854,-3.3062782,-3.3062782,-3.3062782,-3.3062782,-3.3062782,16.49951,16.498665,0.00045906008075429427
7.0,1.9213444488248996e-06,-3.414723,-3.414723,-3.414723,-3.414723,-3.414723,-3.3982,-3.3982,-3.3982,-3.3982,-3.3982,-3.395456,-3.395456,-3.395456,-3.395456,-3.395456,-3.3550193,-3.3550193,-3.3550193,-3.3550193,-3.3550193,-3.3063903,-3.3063903,-3.3063903,-3.3063903,-3.3063903,16.499506,16.498829,0.0006040692611845332
