config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
23.0,0.0,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,2.72234335187552e-08
23.0,9.999999439624929e-11,-3.299898,-3.299898,-3.299898,-3.299898,-3.299898,-3.2999005,-3.2999005,-3.2999005,-3.2999005,-3.2999005,-3.2999012,-3.2999012,-3.2999012,-3.2999012,-3.2999012,-3.299902,-3.299902,-3.299902,-3.299902,-3.299902,-3.2999046,-3.2999046,-3.2999046,-3.2999046,-3.2999046,16.499525,16.499527,5.44468670375104e-08
23.0,1.9999998879249858e-10,-3.2998915,-3.2998915,-3.2998915,-3.2998915,-3.2998915,-3.2998965,-3.2998965,-3.2998965,-3.2998965,-3.2998965,-3.2998974,-3.2998974,-3.2998974,-3.2998974,-3.2998974,-3.2998993,-3.2998993,-3.2998993,-3.2998993,-3.2998993,-3.299904,-3.299904,-3.299904,-3.299904,-3.299904,16.499525,16.499525,9.52820128452951e-08
23.0,3.9999997758499717e-10,-3.2998784,-3.2998784,-3.2998784,-3.2998784,-3.2998784,-3.2998874,-3.2998877,-3.2998874,-3.2998874,-3.2998874,-3.2998898,-3.2998898,-3.2998898,-3.2998898,-3.2998898,-3.2998939,-3.2998939,-3.2998939,-3.2998939,-3.2998939,-3.299903,-3.299903,-3.299903,-3.299903,-3.299903,16.499525,16.499527,1.769523134015607e-07
23.0,7.999999551699943e-10,-3.299853,-3.299853,-3.299853,-3.299853,-3.299853,-3.29987,-3.29987,-3.29987,-3.29987,-3.29987,-3.2998748,-3.2998748,-3.2998748,-3.2998748,-3.2998748,-3.2998836,-3.2998834,-3.2998834,-3.2998834,-3.2998834,-3.2999005,-3.2999005,-3.2999005,-3.2999005,-3.2999005,16.499525,16.499527,3.402929145140919e-07
23.0,1.5999999103399887e-09,-3.2998056,-3.2998056,-3.2998056,-3.2998056,-3.2998056,-3.2998352,-3.2998352,-3.2998352,-3.2998352,-3.2998352,-3.299844,-3.299844,-3.299844,-3.299844,-3.299844,-3.299866,-3.299866,-3.299866,-3.299866,-3.299866,-3.2998955,-3.2998955,-3.2998955,-3.2998955,-3.2998955,16.499525,16.499527,6.669741167391544e-07
23.0,3.1999998206799773e-09,-3.299719,-3.299719,-3.299719,-3.299719,-3.299719,-3.2997649,-3.2997649,-3.2997649,-3.2997649,-3.2997649,-3.2997823,-3.2997823,-3.2997823,-3.2997823,-3.2997823,-3.2998393,-3.2998393,-3.2998393,-3.2998393,-3.2998393,-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.2998846,16.499525,16.49953,1.3203366642404185e-06
23.0,6.399999641359955e-09,-3.2995658,-3.2995658,-3.2995658,-3.2995658,-3.2995658,-3.299625,-3.299625,-3.299625,-3.299625,-3.299625,-3.2996597,-3.2996597,-3.2996597,-3.2996597,-3.2996597,-3.2998033,-3.2998033,-3.2998033,-3.2998033,-3.2998033,-3.299862,-3.299862,-3.299862,-3.299862,-3.299862,16.499525,16.499548,2.6270631897543417e-06
23.0,1.279999928271991e-08,-3.2992873,-3.2992873,-3.2992873,-3.2992873,-3.2992873,-3.2993517,-3.2993517,-3.2993517,-3.2993517,-3.2993517,-3.2994204,-3.2994204,-3.2994204,-3.2994204,-3.2994204,-3.2997522,-3.2997522,-3.2997522,-3.2997522,-3.2997522,-3.2998164,-3.2998164,-3.2998164,-3.2998164,-3.2998164,16.499525,16.499609,5.24052596825967e-06
23.0,2.559999856543982e-08,-3.2987707,-3.2987707,-3.2987707,-3.2987707,-3.2987707,-3.298838,-3.298838,-3.298838,-3.298838,-3.298838,-3.2989705,-3.2989705,-3.2989705,-3.2989705,-3.2989705,-3.2996635,-3.2996635,-3.2996635,-3.2996635,-3.2996635,-3.29973,-3.29973,-3.29973,-3.29973,-3.29973,16.499525,16.49984,1.0467524195249165e-05
