config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
4.0,0.0,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,-3.2999053,16.499525,16.499527,2.72234335187552e-08
4.0,9.999999439624929e-11,-3.2998946,-3.2998946,-3.2998946,-3.2998946,-3.2998946,-3.299897,-3.299897,-3.299897,-3.299897,-3.299897,-3.2998998,-3.2998998,-3.2998998,-3.2998998,-3.2998998,-3.2999022,-3.2999022,-3.2999022,-3.2999022,-3.2999022,-3.2999027,-3.299903,-3.299903,-3.299903,-3.299903,16.499525,16.499527,5.44468670375104e-08
4.0,1.9999998879249858e-10,-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.2998846,-3.2998896,-3.2998896,-3.2998896,-3.2998896,-3.2998896,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.2998948,-3.2998993,-3.2998993,-3.2998993,-3.2998993,-3.2998993,-3.2999008,-3.2999008,-3.2999008,-3.2999008,-3.2999008,16.499525,16.499527,9.52820173156432e-08
4.0,3.9999997758499717e-10,-3.2998645,-3.2998645,-3.2998645,-3.2998645,-3.2998645,-3.2998748,-3.2998748,-3.2998748,-3.2998748,-3.2998748,-3.299885,-3.299885,-3.299885,-3.299885,-3.299885,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998934,-3.2998967,-3.2998967,-3.2998967,-3.2998967,-3.2998967,16.499525,16.499525,1.769523089312126e-07
4.0,7.999999551699943e-10,-3.2998257,-3.2998257,-3.2998257,-3.2998257,-3.2998257,-3.299846,-3.299846,-3.299846,-3.299846,-3.299846,-3.299866,-3.299866,-3.299866,-3.299866,-3.299866,-3.2998817,-3.2998817,-3.2998817,-3.2998817,-3.2998817,-3.299889,-3.299889,-3.299889,-3.299889,-3.299889,16.499525,16.499525,3.402928921623514e-07
4.0,1.5999999103399887e-09,-3.2997508,-3.2997508,-3.2997508,-3.2997508,-3.2997508,-3.299791,-3.299791,-3.299791,-3.299791,-3.299791,-3.299831,-3.299831,-3.299831,-3.299831,-3.299831,-3.2998576,-3.2998576,-3.2998576,-3.2998576,-3.2998576,-3.2998772,-3.2998772,-3.2998772,-3.2998772,-3.2998772,16.499525,16.499529,6.669741301501986e-07
4.0,3.1999998206799773e-09,-3.2996104,-3.2996104,-3.2996104,-3.2996104,-3.2996104,-3.29969,-3.29969,-3.29969,-3.29969,-3.29969,-3.2997692,-3.2997692,-3.2997692,-3.2997692,-3.2997692,-3.2998092,-3.2998092,-3.2998092,-3.2998092,-3.2998092,-3.2998607,-3.2998607,-3.2998607,-3.2998607,-3.2998607,16.499525,16.499533,1.3203367491770327e-06
4.0,6.399999641359955e-09,-3.2993498,-3.2993498,-3.2993498,-3.2993498,-3.2993498,-3.299507,-3.299507,-3.299507,-3.299507,-3.299507,-3.2996635,-3.2996635,-3.2996635,-3.2996635,-3.2996635,-3.2997117,-3.2997117,-3.2997117,-3.2997117,-3.2997117,-3.2998447,-3.2998447,-3.2998447,-3.2998447,-3.2998447,16.499525,16.49956,2.6270641329977922e-06
4.0,1.279999928271991e-08,-3.298863,-3.298863,-3.298863,-3.298863,-3.298863,-3.2991703,-3.2991703,-3.2991703,-3.2991703,-3.2991703,-3.299477,-3.299477,-3.299477,-3.299477,-3.299477,-3.2995205,-3.2995205,-3.2995205,-3.2995205,-3.2995205,-3.2998316,-3.2998316,-3.2998316,-3.2998316,-3.2998316,16.499525,16.499653,5.240533777957814e-06
4.0,2.559999856543982e-08,-3.2979555,-3.2979555,-3.2979555,-3.2979555,-3.2979555,-3.2985451,-3.2985451,-3.2985451,-3.2985451,-3.2985451,-3.2991335,-3.2991335,-3.2991335,-3.2991335,-3.2991335,-3.2991612,-3.2991612,-3.2991612,-3.2991612,-3.2991612,-3.2998145,-3.2998147,-3.2998147,-3.2998147,-3.2998147,16.499525,16.5,1.0467582931152952e-05
