config,I_RL_max_mA,I_RL_mean_mA,V_out_max_V,V_out_mean_V,E_out_total_mJ
ON_filas_1,3.2988927364349365,3.2988929748535156,3.2988924980163574,3.2988929748535156,0.43532523337096474
ON_filas_2,3.299081563949585,3.2990810871124268,3.299081325531006,3.2990810871124268,0.43537504250878717
ON_filas_3,3.298983097076416,3.298983573913574,3.298982858657837,3.298983573913574,0.4353491134438251
ON_filas_4,3.2989161014556885,3.2989158630371094,3.2989161014556885,3.2989158630371094,0.4353314548564348
ON_filas_5,3.2988758087158203,3.298875570297241,3.2988760471343994,3.2988765239715576,0.4353208373513047
ON_filas_1-2,6.5987701416015625,6.598769664764404,6.5987701416015625,6.598769664764404,1.741820855942879
ON_filas_1-3,6.598544597625732,6.598543167114258,6.598544597625732,6.598543167114258,1.7417017908683472
ON_filas_1-4,6.598379135131836,6.598380088806152,6.598379611968994,6.598380088806152,1.7416144665460465
ON_filas_1-5,6.598263740539551,6.598264694213867,6.598264217376709,6.598264694213867,1.7415536673589311
ON_filas_2-3,6.598462104797363,6.5984625816345215,6.598462104797363,6.5984625816345215,1.7416581287071013
ON_filas_2-4,6.598501205444336,6.598502159118652,6.598501205444336,6.598502159118652,1.7416788421557694
ON_filas_2-5,6.598536968231201,6.598536014556885,6.598537445068359,6.598537921905518,1.7416979164103574
ON_filas_3-4,6.598284721374512,6.5982842445373535,6.598284721374512,6.5982842445373535,1.7415646946626677
ON_filas_3-5,6.598351955413818,6.598351001739502,6.598352432250977,6.598351001739502,1.7416003098725679
ON_filas_4-5,6.598221302032471,6.598221302032471,6.598221778869629,6.598221302032471,1.7415311656991865
ON_filas_1-2-3,9.89869499206543,9.898696899414062,9.89869499206543,9.898696899414062,3.919524494663126
ON_filas_1-2-4,9.89868450164795,9.898683547973633,9.898685455322266,9.898683547973633,3.9195167457471163
ON_filas_1-2-5,9.898680686950684,9.898681640625,9.898679733276367,9.898681640625,3.9195125732542957
ON_filas_1-3-4,9.898307800292969,9.898309707641602,9.898307800292969,9.898309707641602,3.919217816411912
ON_filas_1-3-5,9.898356437683105,9.898356437683105,9.898356437683105,9.898356437683105,3.9192562629565164
ON_filas_1-4-5,9.898117065429688,9.898116111755371,9.898117065429688,9.898116111755371,3.919066712550182
ON_filas_2-3-4,9.898210525512695,9.898210525512695,9.898210525512695,9.898210525512695,3.9191409233221495
ON_filas_2-3-5,9.89827823638916,9.898279190063477,9.898277282714844,9.89827823638916,3.9191939735931034
ON_filas_2-4-5,9.89832592010498,9.898326873779297,9.898326873779297,9.89832878112793,3.9192327181729887
ON_filas_3-4-5,9.898051261901855,9.898050308227539,9.898051261901855,9.898050308227539,3.919014854419701
ON_filas_1-2-3-4,13.198946952819824,13.198945045471191,13.198945999145508,13.198945045471191,6.968768235287641
ON_filas_1-2-3-5,13.198942184448242,13.198943138122559,13.198942184448242,13.198943138122559,6.968763466724234
ON_filas_1-2-4-5,13.198929786682129,13.198929786682129,13.198928833007812,13.198928833007812,6.968750353174547
ON_filas_1-3-4-5,13.198498725891113,13.198500633239746,13.198498725891113,13.198500633239746,6.968295551413203
ON_filas_2-3-4-5,13.19843864440918,13.198439598083496,13.19843864440918,13.198439598083496,6.968232367943828
