config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
26.0,0.0,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.03998,-329.03998,1645.2001,16.452,2.7066828164638824e-06
26.0,9.999999439624929e-11,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04,-329.03998,-329.03998,-329.03998,1645.2001,16.452,5.413365632927765e-06
26.0,1.9999998879249858e-10,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04,-329.04,-329.03998,-329.03998,1645.2001,16.452,9.473389857623588e-06
26.0,3.9999997758499717e-10,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04,-329.04,-329.04,-329.04,-329.04,1645.2001,16.452,1.7593438307015237e-05
26.0,7.999999551699943e-10,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.04,-329.04,-329.04,-329.04,-329.04,1645.2001,16.452,3.383353520579853e-05
26.0,1.5999999103399887e-09,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.04007,-329.04007,-329.04007,-329.04007,-329.04007,1645.2001,16.452,6.631372900336512e-05
26.0,3.1999998206799773e-09,-329.0398,-329.0398,-329.0398,-329.0398,-329.0398,-329.03983,-329.03983,-329.03983,-329.03983,-329.03983,-329.03983,-329.03983,-329.03983,-329.03983,-329.03983,-329.03986,-329.03986,-329.03986,-329.03986,-329.03986,-329.04025,-329.04025,-329.04025,-329.04025,-329.04025,1645.2001,16.452,0.0001312741165984983
26.0,6.399999641359955e-09,-329.03958,-329.03958,-329.03958,-329.03958,-329.03958,-329.0396,-329.0396,-329.0396,-329.0396,-329.0396,-329.03967,-329.03967,-329.03967,-329.03967,-329.03967,-329.0397,-329.0397,-329.0397,-329.0397,-329.0397,-329.04068,-329.04068,-329.04068,-329.04068,-329.04068,1645.2001,16.452,0.00026119489178876465
26.0,1.279999928271991e-08,-329.03928,-329.03928,-329.03928,-329.03928,-329.03928,-329.03937,-329.03937,-329.03937,-329.03937,-329.03937,-329.03943,-329.03943,-329.03943,-329.03943,-329.03943,-329.03952,-329.03952,-329.03952,-329.03952,-329.03952,-329.0416,-329.0416,-329.0416,-329.0416,-329.0416,1645.2001,16.452,0.0005210364421692974
26.0,2.559999856543982e-08,-329.039,-329.039,-329.039,-329.039,-329.039,-329.03915,-329.03915,-329.03915,-329.03915,-329.03915,-329.0393,-329.0393,-329.0393,-329.0393,-329.0393,-329.03946,-329.03946,-329.03946,-329.03946,-329.03946,-329.04346,-329.04346,-329.04346,-329.04346,-329.04346,1645.2001,16.452,0.0010407195429303628
26.0,5.119999713087964e-08,-329.03918,-329.03918,-329.03918,-329.03918,-329.03918,-329.03946,-329.03946,-329.03946,-329.03946,-329.03946,-329.03976,-329.03976,-329.03976,-329.03976,-329.03976,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04697,-329.04697,-329.04697,-329.04697,-329.04697,1645.2001,16.452002,0.0020800858909368605
26.0,1.0239999426175928e-07,-329.0391,-329.0391,-329.0391,-329.0391,-329.0391,-329.03955,-329.03955,-329.03955,-329.03955,-329.03955,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04047,-329.04047,-329.04047,-329.04047,-329.04047,-329.05032,-329.05032,-329.05032,-329.05032,-329.05032,1645.2002,16.452003,0.003525162253953268
26.0,1.5797835049074835e-07,-329.04358,-329.04358,-329.04358,-329.04358,-329.04358,-329.04355,-329.04355,-329.04355,-329.04355,-329.04355,-329.0434,-329.0434,-329.0434,-329.0434,-329.0434,-329.04312,-329.04312,-329.04312,-329.04312,-329.04312,-329.02985,-329.02985,-329.02985,-329.02985,-329.02985,1645.2001,16.452005,0.005004888166222327
26.0,2.1173865034520594e-07,-329.04294,-329.04294,-329.04294,-329.04294,-329.04294,-329.0419,-329.0419,-329.0419,-329.0419,-329.0419,-329.0405,-329.0405,-329.0405,-329.0405,-329.0405,-329.0388,-329.0388,-329.0388,-329.0388,-329.0388,-328.97693,-328.97693,-328.97693,-328.97693,-328.97693,1645.1989,16.451992,0.006522043888162985
26.0,2.7008291222111824e-07,-329.03012,-329.03012,-329.03012,-329.03012,-329.03012,-329.02817,-329.02817,-329.02817,-329.02817,-329.02817,-329.02548,-329.02548,-329.02548,-329.02548,-329.02548,-329.02234,-329.02234,-329.02234,-329.02234,-329.02234,-328.90808,-328.90808,-328.90808,-328.90808,-328.90808,1645.1957,16.451962,0.008084656845662045
26.0,3.2720253613741914e-07,-329.01413,-329.01413,-329.01413,-329.01413,-329.01413,-329.01135,-329.01135,-329.01135,-329.01135,-329.01135,-329.00754,-329.00754,-329.00754,-329.00754,-329.00754,-329.00302,-329.00302,-329.00302,-329.00302,-329.00302,-328.83997,-328.84,-328.83997,-328.83997,-328.83997,1645.19,16.45191,0.010403700906123508
