config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
2.0,0.0,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.03998,-329.03998,1645.2001,16.452,2.7066828164638824e-06
2.0,9.999999439624929e-11,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04,-329.04,-329.04,-329.04,-329.04,1645.2001,16.452,5.413365632927765e-06
2.0,1.9999998879249858e-10,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04004,-329.04004,-329.04004,-329.04004,-329.04004,1645.2001,16.452,9.473389857623588e-06
2.0,3.9999997758499717e-10,-329.03986,-329.03986,-329.03986,-329.03986,-329.03986,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04007,-329.04007,-329.04007,-329.04007,-329.04007,1645.2001,16.452,1.7593438307015237e-05
2.0,7.999999551699943e-10,-329.0397,-329.0397,-329.0397,-329.0397,-329.0397,-329.0398,-329.0398,-329.0398,-329.0398,-329.0398,-329.03986,-329.03986,-329.03986,-329.03986,-329.03986,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04016,-329.04016,-329.04016,-329.04016,-329.04016,1645.2001,16.452,3.383353520579853e-05
2.0,1.5999999103399887e-09,-329.03946,-329.03946,-329.03946,-329.03946,-329.03946,-329.03958,-329.03958,-329.03958,-329.03958,-329.03958,-329.03973,-329.03973,-329.03973,-329.03973,-329.03973,-329.04004,-329.04004,-329.04004,-329.04004,-329.04004,-329.04034,-329.04037,-329.04034,-329.04034,-329.04034,1645.2001,16.452,6.631372900336512e-05
2.0,3.1999998206799773e-09,-329.03897,-329.03897,-329.03897,-329.03897,-329.03897,-329.03912,-329.03912,-329.03912,-329.03912,-329.03912,-329.03955,-329.03955,-329.03955,-329.03955,-329.03955,-329.04016,-329.04016,-329.04016,-329.04016,-329.04016,-329.0408,-329.04083,-329.0408,-329.0408,-329.0408,1645.2001,16.452,0.0001312741165984983
2.0,6.399999641359955e-09,-329.0382,-329.0382,-329.0382,-329.0382,-329.0382,-329.03836,-329.03836,-329.03836,-329.03836,-329.03836,-329.03937,-329.03937,-329.03937,-329.03937,-329.03937,-329.04062,-329.04062,-329.04062,-329.04062,-329.04062,-329.04184,-329.04187,-329.04184,-329.04184,-329.04184,1645.2001,16.452,0.00026119489178876465
2.0,1.279999928271991e-08,-329.0372,-329.0372,-329.0372,-329.0372,-329.0372,-329.0374,-329.0374,-329.0374,-329.0374,-329.0374,-329.03955,-329.03955,-329.03955,-329.03955,-329.03955,-329.04193,-329.04193,-329.04193,-329.04193,-329.04193,-329.0443,-329.0443,-329.0443,-329.0443,-329.0443,1645.2001,16.452,0.0005210364421692974
2.0,2.559999856543982e-08,-329.03696,-329.03696,-329.03696,-329.03696,-329.03696,-329.0373,-329.0373,-329.0373,-329.0373,-329.0373,-329.04132,-329.04132,-329.04132,-329.04132,-329.04132,-329.04578,-329.04578,-329.04578,-329.04578,-329.04578,-329.05014,-329.05017,-329.05014,-329.05014,-329.05014,1645.2001,16.452002,0.0010407196161725462
2.0,5.119999713087964e-08,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.04047,-329.04047,-329.04047,-329.04047,-329.04047,-329.04758,-329.04758,-329.04758,-329.04758,-329.04758,-329.05518,-329.05518,-329.05518,-329.05518,-329.05518,-329.0627,-329.0627,-329.0627,-329.0627,-329.0627,1645.2004,16.452003,0.0020800864036321443
2.0,1.0239999426175928e-07,-329.04065,-329.04065,-329.04065,-329.04065,-329.04065,-329.04495,-329.04495,-329.04495,-329.04495,-329.04495,-329.05536,-329.05536,-329.05536,-329.05536,-329.05536,-329.06873,-329.06873,-329.06873,-329.06873,-329.06873,-329.08154,-329.08154,-329.08154,-329.08154,-329.08154,1645.201,16.452013,0.003518180606596304
2.0,1.5746231833800712e-07,-329.06036,-329.06036,-329.06036,-329.06036,-329.06036,-329.0601,-329.0601,-329.0601,-329.0601,-329.0601,-329.0517,-329.0517,-329.0517,-329.0517,-329.0517,-329.0397,-329.0397,-329.0397,-329.0397,-329.0397,-329.02542,-329.02542,-329.02542,-329.02542,-329.02542,1645.2008,16.452015,0.004989890373241268
2.0,2.1114620547973972e-07,-329.0456,-329.0456,-329.0456,-329.0456,-329.0456,-329.0435,-329.0435,-329.0435,-329.0435,-329.0435,-328.99408,-328.99408,-328.99408,-328.99408,-328.99408,-328.93427,-328.93427,-328.93427,-328.93427,-328.93427,-328.86856,-328.86856,-328.86856,-328.86856,-328.86853,1645.1976,16.451988,0.00650243422627739
2.0,2.692262056074635e-07,-328.98407,-328.98407,-328.98407,-328.98407,-328.98407,-328.9801,-328.9801,-328.9801,-328.9801,-328.9801,-328.8869,-328.8869,-328.8869,-328.8869,-328.8869,-328.7758,-328.7758,-328.7758,-328.7758,-328.7758,-328.65466,-328.65466,-328.65466,-328.65466,-328.65466,1645.1891,16.451904,0.008057916818766596
2.0,3.2608408423049356e-07,-328.91782,-328.91782,-328.91782,-328.91782,-328.91782,-328.9123,-328.9123,-328.9123,-328.9123,-328.9123,-328.7794,-328.7794,-328.7794,-328.7794,-328.7794,-328.62085,-328.62085,-328.62085,-328.62085,-328.62085,-328.44797,-328.44797,-328.44797,-328.44797,-328.44797,1645.1736,16.451763,0.010366290319696709
2.0,4.3979984147655377e-07,-328.7817,-328.7817,-328.7817,-328.7817,-328.7817,-328.7744,-328.7744,-328.7744,-328.7744,-328.7744,-328.57,-328.56998,-328.56998,-328.56998,-328.56998,-328.32355,-328.32355,-328.32355,-328.32355,-328.32355,-328.05316,-328.05316,-328.05316,-328.05316,-328.05316,1645.1292,16.45131,0.012289829980561483
2.0,4.682287807880688e-07,-328.7448,-328.7448,-328.7448,-328.7448,-328.7448,-328.73734,-328.73734,-328.73734,-328.73734,-328.73734,-328.51718,-328.51718,-328.51718,-328.51718,-328.51718,-328.25058,-328.25058,-328.25058,-328.25058,-328.25058,-327.95746,-327.95746,-327.95746,-327.95746,-327.95746,1645.1149,16.451153,0.013443932792431617
