config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
1.0,0.0,-63.907825,-63.907825,-63.907825,-63.907825,-63.907825,-0.0002624947,-0.0002624947,-0.0002624947,-0.0002624947,-0.0002624947,-0.00026249915,-0.00026249915,-0.00026249915,-0.00026249915,-0.00026249915,-0.00026250377,-0.00026250377,-0.00026250377,-0.00026250377,-0.00026250377,-0.00026250858,-0.00026250858,-0.00026250858,-0.00026250858,-0.00026250858,319.5243,3.195243,1.0209576511468398e-07
1.0,9.999999439624929e-11,-63.907825,-63.907825,-63.907825,-63.907825,-63.907825,-0.0002624889,-0.0002624889,-0.0002624889,-0.0002624889,-0.0002624889,-0.00026249324,-0.00026249324,-0.00026249324,-0.00026249324,-0.00026249324,-0.00026249775,-0.00026249775,-0.00026249775,-0.00026249775,-0.00026249775,-0.0002625024,-0.0002625024,-0.0002625024,-0.0002625024,-0.0002625024,319.5243,3.195243,2.0419153022936797e-07
1.0,1.9999998879249858e-10,-63.907825,-63.907825,-63.907825,-63.907825,-63.907825,-0.00026249434,-0.00026249434,-0.00026249434,-0.00026249434,-0.00026249434,-0.00026249877,-0.00026249877,-0.00026249877,-0.00026249877,-0.00026249877,-0.00026250328,-0.00026250328,-0.00026250328,-0.00026250328,-0.00026250328,-0.000262508,-0.00026250802,-0.00026250802,-0.000262508,-0.00026250802,319.5243,3.195243,3.5733517790139396e-07
1.0,3.9999997758499717e-10,-63.907825,-63.907825,-63.907825,-63.907825,-63.907825,-0.00026249612,-0.00026249612,-0.00026249612,-0.00026249612,-0.00026249612,-0.00026250054,-0.00026250054,-0.00026250054,-0.00026250054,-0.00026250054,-0.0002625051,-0.0002625051,-0.0002625051,-0.0002625051,-0.0002625051,-0.0002625099,-0.0002625099,-0.0002625099,-0.0002625099,-0.0002625099,319.5243,3.195243,6.636224732454459e-07
1.0,7.999999551699943e-10,-63.907818,-63.907818,-63.907818,-63.907818,-63.907818,-0.00026249513,-0.00026249513,-0.00026249513,-0.00026249513,-0.00026249513,-0.00026249958,-0.00026249958,-0.00026249958,-0.00026249958,-0.00026249958,-0.0002625042,-0.0002625042,-0.0002625042,-0.0002625042,-0.0002625042,-0.000262509,-0.000262509,-0.000262509,-0.000262509,-0.000262509,319.5243,3.195243,1.2761970639335497e-06
1.0,1.5999999103399887e-09,-63.907818,-63.907818,-63.907818,-63.907818,-63.907818,-0.00026249583,-0.00026249583,-0.00026249583,-0.00026249583,-0.00026249583,-0.00026250028,-0.00026250028,-0.00026250028,-0.00026250028,-0.00026250028,-0.00026250494,-0.00026250494,-0.00026250494,-0.00026250494,-0.00026250494,-0.00026250974,-0.00026250974,-0.00026250974,-0.00026250974,-0.00026250974,319.5243,3.195243,2.5013462453097574e-06
1.0,3.1999998206799773e-09,-63.90781,-63.90781,-63.90781,-63.90781,-63.90781,-0.00026249507,-0.00026249507,-0.00026249507,-0.00026249507,-0.00026249507,-0.00026249952,-0.00026249952,-0.00026249952,-0.00026249952,-0.00026249952,-0.00026250415,-0.00026250415,-0.00026250415,-0.00026250415,-0.00026250415,-0.00026250895,-0.00026250895,-0.00026250895,-0.00026250895,-0.00026250895,319.5243,3.195243,4.951644608062173e-06
1.0,6.399999641359955e-09,-63.907787,-63.907787,-63.907787,-63.907787,-63.907787,-0.00026249565,-0.00026249565,-0.00026249565,-0.00026249565,-0.00026249565,-0.00026250014,-0.00026250014,-0.00026250014,-0.00026250014,-0.00026250014,-0.00026250476,-0.00026250476,-0.00026250476,-0.00026250476,-0.00026250476,-0.00026250957,-0.00026250957,-0.00026250957,-0.00026250957,-0.00026250957,319.5243,3.195243,9.852241333567005e-06
1.0,1.279999928271991e-08,-63.90775,-63.90775,-63.90775,-63.90775,-63.90775,-0.0002624949,-0.0002624949,-0.0002624949,-0.0002624949,-0.0002624949,-0.00026249935,-0.00026249935,-0.00026249935,-0.00026249935,-0.00026249935,-0.00026250398,-0.00026250398,-0.00026250398,-0.00026250398,-0.00026250398,-0.00026250878,-0.00026250878,-0.00026250878,-0.00026250878,-0.00026250878,319.5243,3.195243,1.9653434784576665e-05
1.0,2.559999856543982e-08,-63.907692,-63.907692,-63.907692,-63.907692,-63.907692,-0.0002624956,-0.0002624956,-0.0002624956,-0.0002624956,-0.0002624956,-0.00026250005,-0.00026250005,-0.00026250005,-0.00026250005,-0.00026250005,-0.00026250468,-0.00026250468,-0.00026250468,-0.00026250468,-0.00026250468,-0.00026250948,-0.00026250948,-0.00026250948,-0.00026250948,-0.00026250948,319.5243,3.195243,3.925582168659599e-05
