config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
11.0,0.0,-0.10270794,-0.10270794,-0.10270794,-0.10270794,-0.10270794,-129.69873,-129.69873,-129.69873,-129.69873,-129.69873,-0.00026261187,-0.00026261187,-0.00026261187,-0.00026261187,-0.00026261187,-129.69728,-129.69728,-129.69728,-129.69728,-129.69728,-0.00026251367,-0.00026251367,-0.00026251367,-0.00026251367,-0.00026251367,647.9849,6.479849,4.198844197538036e-07
11.0,9.999999439624929e-11,-0.10270627,-0.10270627,-0.10270627,-0.10270627,-0.10270627,-129.69873,-129.69873,-129.69873,-129.69873,-129.69873,-0.00026253867,-0.00026253867,-0.00026253867,-0.00026253867,-0.00026253867,-129.69728,-129.69728,-129.69728,-129.69728,-129.69728,-0.000262754,-0.000262754,-0.000262754,-0.000262754,-0.000262754,647.9849,6.479849,8.397688395076072e-07
11.0,1.9999998879249858e-10,-0.10270545,-0.10270545,-0.10270545,-0.10270545,-0.10270545,-129.69873,-129.69873,-129.69873,-129.69873,-129.69873,-0.00026246026,-0.00026246026,-0.00026246026,-0.00026246026,-0.00026246026,-129.69728,-129.69728,-129.69728,-129.69728,-129.69728,-0.00026279286,-0.00026279286,-0.00026279286,-0.00026279286,-0.00026279286,647.9849,6.479849,1.4695954691383125e-06
11.0,3.9999997758499717e-10,-0.10270347,-0.10270347,-0.10270347,-0.10270347,-0.10270347,-129.69873,-129.69873,-129.69873,-129.69873,-129.69873,-0.0002622567,-0.0002622567,-0.0002622567,-0.0002622567,-0.0002622567,-129.69728,-129.69728,-129.69728,-129.69728,-129.69728,-0.0002627966,-0.0002627966,-0.0002627966,-0.0002627966,-0.0002627966,647.9849,6.479849,2.7292487283997235e-06
11.0,7.999999551699943e-10,-0.10269896,-0.10269896,-0.10269896,-0.10269896,-0.10269896,-129.69873,-129.69873,-129.69873,-129.69873,-129.69873,-0.00026210392,-0.00026210392,-0.00026210392,-0.00026210392,-0.00026210392,-129.69728,-129.69728,-129.69728,-129.69728,-129.69728,-0.0002627485,-0.0002627485,-0.0002627485,-0.0002627485,-0.0002627485,647.9849,6.479849,5.248555246922545e-06
11.0,1.5999999103399887e-09,-0.10268978,-0.10268978,-0.10268978,-0.10268978,-0.10268978,-129.69872,-129.69872,-129.69872,-129.69872,-129.69872,-0.00026210895,-0.00026210895,-0.00026210895,-0.00026210895,-0.00026210895,-129.69727,-129.69727,-129.69727,-129.69727,-129.69727,-0.00026275232,-0.00026275232,-0.00026275232,-0.00026275232,-0.00026275232,647.9849,6.479849,1.0287168283968188e-05
11.0,3.1999998206799773e-09,-0.1026715,-0.1026715,-0.1026715,-0.1026715,-0.1026715,-129.6987,-129.6987,-129.6987,-129.6987,-129.6987,-0.0002621066,-0.0002621066,-0.0002621066,-0.0002621066,-0.0002621066,-129.69727,-129.69727,-129.69727,-129.69727,-129.69727,-0.00026274144,-0.00026274144,-0.00026274144,-0.00026274144,-0.00026274144,647.9849,6.479849,2.0364394358059473e-05
11.0,6.399999641359955e-09,-0.1026357,-0.1026357,-0.1026357,-0.1026357,-0.1026357,-129.69867,-129.69867,-129.69867,-129.69867,-129.69867,-0.00026212324,-0.00026212324,-0.00026212324,-0.00026212324,-0.00026212324,-129.69725,-129.69725,-129.69725,-129.69725,-129.69725,-0.00026274615,-0.00026274615,-0.00026274615,-0.00026274615,-0.00026274615,647.9849,6.479849,4.051884650624204e-05
11.0,1.279999928271991e-08,-0.10256637,-0.10256637,-0.10256637,-0.10256637,-0.10256637,-129.69861,-129.69861,-129.69861,-129.69861,-129.69861,-0.0002621109,-0.0002621109,-0.0002621109,-0.0002621109,-0.0002621109,-129.69724,-129.69724,-129.69724,-129.69724,-129.69724,-0.0002627113,-0.0002627113,-0.0002627113,-0.0002627113,-0.0002627113,647.9849,6.479849,8.082775080260718e-05
11.0,2.559999856543982e-08,-0.10243516,-0.10243516,-0.10243516,-0.10243516,-0.10243516,-129.6985,-129.6985,-129.6985,-129.6985,-129.6985,-0.0002620816,-0.0002620816,-0.0002620816,-0.0002620816,-0.0002620816,-129.69719,-129.69719,-129.69719,-129.69719,-129.69719,-0.00026264318,-0.00026264318,-0.00026264318,-0.00026264318,-0.00026264318,647.9849,6.479849,0.00016144555939533748
