time	I(Vcell12)
0.000000000000000e+00	-3.299905e-03
9.999999439624929e-11	-3.299873e-03
1.999999887924986e-10	-3.299859e-03
3.999999775849972e-10	-3.299822e-03
7.999999551699943e-10	-3.299741e-03
1.599999910339989e-09	-3.299568e-03
3.199999820679977e-09	-3.299193e-03
6.399999641359955e-09	-3.298424e-03
1.279999928271991e-08	-3.296914e-03
2.559999856543982e-08	-3.294083e-03
3.304058311155489e-08	-3.292522e-03
4.030369570258585e-08	-3.290823e-03
4.481223973123549e-08	-3.289278e-03
4.892053006473823e-08	-3.287113e-03
5.363228997554550e-08	-3.283822e-03
5.892334482129520e-08	-3.280485e-03
6.390304848967054e-08	-3.278600e-03
7.003184496632686e-08	-3.277819e-03
7.644395824242521e-08	-3.279367e-03
8.421476994044925e-08	-3.284593e-03
9.267027369557906e-08	-3.290580e-03
1.007092509964763e-07	-3.298433e-03
1.094044883859045e-07	-3.308158e-03
1.266383392444545e-07	-3.328165e-03
1.452563894018809e-07	-3.349791e-03
1.685813935860178e-07	-3.376184e-03
1.934340018897083e-07	-3.402978e-03
2.317026038954060e-07	-3.440667e-03
2.720495544242173e-07	-3.474633e-03
3.232218388208109e-07	-3.506084e-03
3.709997812821326e-07	-3.519770e-03
4.185299651348625e-07	-3.522438e-03
4.738125383574221e-07	-3.522862e-03
5.688942207667109e-07	-3.522626e-03
7.271354218665540e-07	-3.521753e-03
9.797068953225383e-07	-3.520085e-03
1.220520734490840e-06	-3.518258e-03
1.543429086746955e-06	-3.515595e-03
1.878976353583043e-06	-3.512394e-03
2.351967411437270e-06	-3.507115e-03
2.886716210969335e-06	-3.499100e-03
3.686200660570844e-06	-3.480300e-03
4.331733916359849e-06	-3.445579e-03
4.819931120678665e-06	-3.386472e-03
5.176323039905297e-06	-3.285118e-03
5.444192678901489e-06	-3.117253e-03
5.653126613267403e-06	-2.837483e-03
5.813125626865585e-06	-2.400380e-03
5.913267528204193e-06	-1.909498e-03
5.994338188908150e-06	-1.282868e-03
6.102948415679316e-06	-9.443231e-05
6.126492357482874e-06	-9.344645e-05
6.151987305179891e-06	-9.434883e-05
6.175512981966750e-06	-9.338640e-05
6.222564335540468e-06	-9.423644e-05
6.282592957682749e-06	-9.323416e-05
6.380049705074195e-06	-9.400108e-05
6.569138132063425e-06	-9.281479e-05
6.945028503452184e-06	-9.317042e-05
7.696809246229701e-06	-9.116528e-05
9.200370731784735e-06	-8.989895e-05
1.220749370289480e-05	-8.488040e-05
1.571035293022183e-05	-8.182542e-05
1.894545460536710e-05	-7.700879e-05
2.260083543483842e-05	-7.289070e-05
2.601317800463155e-05	-6.645876e-05
2.951199823088499e-05	-5.676234e-05
3.059500028633596e-05	-2.966720e-05
3.083912991855067e-05	-3.253124e-05
3.098668772832811e-05	-2.570241e-05
3.110107235250913e-05	-3.061918e-05
3.120485146069218e-05	-2.483300e-05
3.130566997026090e-05	-2.969215e-05
3.140441481228929e-05	-2.445688e-05
3.149923625863808e-05	-2.906841e-05
3.160321077536824e-05	-2.426257e-05
3.169900754040586e-05	-2.858146e-05
3.181562706303617e-05	-2.412473e-05
3.192081458123575e-05	-2.816162e-05
3.204489340399313e-05	-2.399877e-05
3.216685491827523e-05	-2.777526e-05
3.230501185935833e-05	-2.384529e-05
3.245092851972326e-05	-2.739311e-05
3.261915990806145e-05	-2.363098e-05
3.280720042320439e-05	-2.697807e-05
3.303552671843735e-05	-2.330736e-05
3.331140841819641e-05	-2.646103e-05
3.367448144368281e-05	-2.277073e-05
3.416676557327837e-05	-2.567211e-05
3.490070650648494e-05	-2.174087e-05
3.607903770235784e-05	-2.410391e-05
3.820622860232593e-05	-1.931622e-05
4.225510272683678e-05	-2.019036e-05
4.625418710567452e-05	-1.453098e-05
5.327211510116799e-05	-9.497197e-06
5.893327902482615e-05	1.505059e-05
6.544998194923426e-05	9.816066e-05
7.212666675517881e-05	4.378307e-04
7.702016853190601e-05	1.177524e-03
8.071912278240289e-05	2.429065e-03
8.412038347932012e-05	4.604015e-03
8.671447101250349e-05	7.621197e-03
8.888177476892677e-05	1.398726e-02
9.111880853427469e-05	2.175920e-02
9.332747040390631e-05	2.992561e-02
9.664852081793765e-05	4.145996e-02
1.000000019999994e-04	4.968891e-02
1.000000179999994e-04	4.968903e-02
1.000000499999994e-04	4.968904e-02
1.000001139999994e-04	4.968919e-02
1.000004979999994e-04	4.969016e-02
1.000010099999994e-04	4.969149e-02
1.000026746908899e-04	4.969469e-02
1.000038390265287e-04	4.969666e-02
1.000140352583053e-04	4.971292e-02
1.000242314900818e-04	4.972912e-02
1.000344277218583e-04	4.974527e-02
1.000446239536349e-04	4.976135e-02
1.000548201854114e-04	4.977738e-02
1.000650164171880e-04	4.979334e-02
1.000752126489645e-04	4.980925e-02
1.005772791043747e-04	5.050968e-02
1.011510693391293e-04	5.109974e-02
1.022986498086383e-04	5.149707e-02
1.039073545193062e-04	4.966679e-02
1.048992250940789e-04	4.600381e-02
1.054729325872417e-04	4.140357e-02
1.060241653186786e-04	3.626129e-02
1.064657415097047e-04	3.289550e-02
1.069242121781230e-04	2.994918e-02
1.078411535149596e-04	2.529276e-02
1.092815983399646e-04	2.023218e-02
1.106446841726720e-04	1.703760e-02
1.122850683278554e-04	1.439258e-02
1.140702426868863e-04	1.242571e-02
1.162846133708777e-04	1.077251e-02
1.187937674932822e-04	9.525336e-03
1.218435196171120e-04	8.524087e-03
1.254416810421898e-04	7.749969e-03
1.298544998832292e-04	7.124767e-03
1.343333722094512e-04	6.868029e-03
1.394947272186749e-04	6.597661e-03
1.444939465321676e-04	6.346999e-03
1.508579481666331e-04	6.044310e-03
1.586640262434420e-04	5.692935e-03
1.615338455158126e-04	3.245571e-03
1.627937636595755e-04	8.529234e-04
1.631963739581323e-04	2.871751e-04
1.636506467003436e-04	-2.351158e-04
1.640937543136977e-04	-6.385391e-04
1.645956814786866e-04	-9.862385e-04
1.651918284987711e-04	-1.274514e-03
1.658608655556027e-04	-1.477499e-03
1.666186476402370e-04	-1.604733e-03
1.674772479487560e-04	-1.674361e-03
1.685043785974588e-04	-1.704709e-03
1.697788708181540e-04	-1.711740e-03
1.714679785454989e-04	-1.705130e-03
1.738991157489849e-04	-1.694381e-03
1.762179204533494e-04	-1.686196e-03
1.789467685304544e-04	-1.679825e-03
1.817540463722509e-04	-1.674377e-03
1.852810646016953e-04	-1.670188e-03
1.891475716427395e-04	-1.666338e-03
1.940992369338595e-04	-1.663731e-03
1.999002652394701e-04	-1.661146e-03
2.078651279721741e-04	-1.659726e-03
2.178651279721741e-04	-1.658206e-03
2.278651279721741e-04	-1.658026e-03
2.378651279721741e-04	-1.657298e-03
2.478651279721741e-04	-1.657493e-03
2.578651279721741e-04	-1.656937e-03
2.678651279721741e-04	-1.657221e-03
2.778651279721741e-04	-1.656707e-03
2.878651279721741e-04	-1.657014e-03
2.978651279721741e-04	-1.656512e-03
3.078651279721741e-04	-1.656828e-03
3.178651279721741e-04	-1.656334e-03
3.278651279721741e-04	-1.656658e-03
3.378651279721741e-04	-1.656171e-03
3.478651279721741e-04	-1.656501e-03
3.578651279721741e-04	-1.656022e-03
3.678651279721741e-04	-1.656377e-03
3.778651279721741e-04	-1.656157e-03
3.871057302604581e-04	-1.656425e-03
3.971057302604581e-04	-1.656073e-03
4.071057302604581e-04	-1.656277e-03
4.171057302604581e-04	-1.655889e-03
4.271057302604581e-04	-1.656087e-03
4.371057302604581e-04	-1.655697e-03
4.471057302604581e-04	-1.655906e-03
4.571057302604581e-04	-1.655523e-03
4.671057302604581e-04	-1.655745e-03
4.771057302604581e-04	-1.655371e-03
4.871057302604581e-04	-1.655606e-03
4.971057302604581e-04	-1.655240e-03
5.071057302604581e-04	-1.655486e-03
5.171057302604581e-04	-1.655128e-03
5.271057302604580e-04	-1.655383e-03
5.371057302604581e-04	-1.655031e-03
5.471057302604581e-04	-1.655294e-03
5.571057302604581e-04	-1.654947e-03
5.671057302604580e-04	-1.655217e-03
5.771057302604581e-04	-1.654875e-03
5.871057302604581e-04	-1.655151e-03
5.971057302604581e-04	-1.654812e-03
6.071057302604580e-04	-1.655093e-03
6.171057302604581e-04	-1.654758e-03
6.271057302604581e-04	-1.655043e-03
6.371057302604581e-04	-1.654711e-03
6.471057302604580e-04	-1.654999e-03
6.571057302604581e-04	-1.654670e-03
6.671057302604581e-04	-1.654961e-03
6.771057302604581e-04	-1.654634e-03
6.871057302604580e-04	-1.654927e-03
6.971057302604581e-04	-1.654602e-03
7.071057302604581e-04	-1.654898e-03
7.171057302604581e-04	-1.654575e-03
7.271057302604580e-04	-1.654873e-03
7.371057302604581e-04	-1.654551e-03
7.471057302604581e-04	-1.654850e-03
7.571057302604581e-04	-1.654530e-03
7.671057302604580e-04	-1.654831e-03
7.771057302604581e-04	-1.654512e-03
7.871057302604581e-04	-1.654814e-03
7.971057302604581e-04	-1.654496e-03
8.071057302604580e-04	-1.654799e-03
