config_id,t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
1.0,0.0,-3.5354112e-06,-3.5354112e-06,-2.67223e-07,-2.67223e-07,-2.6563808e-07,-2.6563808e-07,5.061707e-07,1.66893e-06,8.447634479284133e-23
1.0,9.999999439624929e-11,-3.5353855e-06,-3.5353855e-06,-2.6720875e-07,-2.6720875e-07,-2.6563183e-07,-2.6563197e-07,5.061707e-07,1.66893e-06,2.53429034378524e-22
1.0,3.9999997758499717e-10,-3.5351886e-06,-3.5351886e-06,-2.6709566e-07,-2.6709566e-07,-2.6557993e-07,-2.6558044e-07,5.061708e-07,1.66893e-06,5.490962980740795e-22
1.0,7.999999551699943e-10,-3.5346197e-06,-3.5346197e-06,-2.6675562e-07,-2.6675562e-07,-2.654223e-07,-2.6542344e-07,5.061712e-07,1.66893e-06,1.0559548872481412e-21
1.0,1.5999999103399887e-09,-3.5324276e-06,-3.5324276e-06,-2.654108e-07,-2.654108e-07,-2.6478648e-07,-2.6478864e-07,5.0617274e-07,1.4305115e-06,1.9248579650899588e-21
1.0,3.1999998206799773e-09,-3.5240164e-06,-3.5240164e-06,-2.6014573e-07,-2.6014573e-07,-2.6228386e-07,-2.6228818e-07,5.061789e-07,1.66893e-06,3.95232302639001e-21
1.0,6.399999641359955e-09,-3.4919058e-06,-3.4919058e-06,-2.3987553e-07,-2.3987553e-07,-2.5267002e-07,-2.5267826e-07,5.062032e-07,1.66893e-06,8.007448045161716e-21
1.0,1.279999928271991e-08,-3.4508332e-06,-3.4508332e-06,-1.5566019e-07,-1.5566019e-07,-1.9991826e-07,-1.9993614e-07,5.0628273e-07,1.4305115e-06,1.4960182918069813e-20
1.0,2.559999856543982e-08,-3.1854706e-06,-3.1854706e-06,1.95115e-07,1.95115e-07,-2.98191e-08,-2.984664e-08,5.0660356e-07,1.66893e-06,2.96176344137734e-20
1.0,4.747225463320329e-08,-2.0842892e-06,-2.0842892e-06,9.895939e-07,9.895939e-07,3.2992858e-07,3.2988896e-07,5.076613e-07,1.66893e-06,5.326907858694813e-20
1.0,8.143100654203199e-08,2.850908e-07,2.850908e-07,2.4586022e-06,2.4586022e-06,1.0161235e-06,1.016078e-06,5.1022704e-07,1.66893e-06,7.563363954601504e-20
1.0,9.999999999999989e-08,1.6815238e-06,1.6815238e-06,3.313842e-06,3.313842e-06,1.4109137e-06,1.4108717e-06,5.1196304e-07,1.4305115e-06,9.654179615417954e-20
1.0,1.385283327549937e-07,3.6563074e-07,3.6563074e-07,2.5386018e-06,2.5386018e-06,1.1176162e-06,1.1176985e-06,5.125753e-07,1.66893e-06,1.3003728610601069e-19
1.0,1.7831059475573526e-07,-1.8778805e-05,-1.8778805e-05,-9.217223e-06,-9.217223e-06,-4.365211e-06,-4.3646974e-06,4.963664e-07,1.4305115e-06,1.5186150531870568e-19
1.0,1.9999999999999989e-07,-3.1879896e-05,-3.1879896e-05,-1.7229671e-05,-1.7229671e-05,-8.072798e-06,-8.072553e-06,4.825843e-07,1.4305115e-06,1.7409855789424885e-19
1.0,2.427338485938576e-07,-5.0964376e-05,-5.0964376e-05,-2.8847444e-05,-2.8847444e-05,-1.3564689e-05,-1.3564368e-05,4.5523365e-07,1.4305115e-06,2.030082679325394e-19
1.0,2.887867277793441e-07,-6.3269275e-05,-6.3269275e-05,-3.6332407e-05,-3.6332407e-05,-1.7267537e-05,-1.7267515e-05,4.2650132e-07,1.1920929e-06,2.340377138466204e-19
1.0,3.6479389948191615e-07,-6.5965396e-05,-6.5965396e-05,-3.778983e-05,-3.778983e-05,-1.8407987e-05,-1.840796e-05,3.8838283e-07,1.1920929e-06,2.5575558751655275e-19
1.0,3.826027821740257e-07,-6.5934015e-05,-6.5934015e-05,-3.7743037e-05,-3.7743037e-05,-1.8501369e-05,-1.8501369e-05,3.798494e-07,1.1920929e-06,2.67851802457939e-19
1.0,4.182205475582448e-07,-6.577023e-05,-6.577023e-05,-3.7557005e-05,-3.7557005e-05,-1.8633735e-05,-1.8633738e-05,3.6288546e-07,1.1920929e-06,2.9096380552616215e-19
1.0,4.894560783266831e-07,-6.541818e-05,-6.541818e-05,-3.706398e-05,-3.706398e-05,-1.881349e-05,-1.8813493e-05,3.2928634e-07,1.1920929e-06,3.3290798728383634e-19
1.0,6.319271398635594e-07,-6.477381e-05,-6.477381e-05,-3.5949983e-05,-3.5949983e-05,-1.9094621e-05,-1.9094627e-05,2.633642e-07,9.536743e-07,3.865833199927506e-19
1.0,9.168692629373123e-07,-6.382222e-05,-6.382222e-05,-3.372758e-05,-3.372758e-05,-1.9613954e-05,-1.9613957e-05,1.365846e-07,4.7683716e-07,4.144201483272118e-19
1.0,1.4867535090848182e-06,-6.308693e-05,-6.308693e-05,-2.99681e-05,-2.99681e-05,-2.083218e-05,-2.0832182e-05,-9.57597e-08,-2.3841858e-07,4.2908304548597417e-19
1.0,2.2013479459268224e-06,-6.477476e-05,-6.477476e-05,-2.5116817e-05,-2.5116817e-05,-2.06827e-05,-2.0682688e-05,-3.4207326e-07,-1.1920929e-06,7.846105973826178e-19
1.0,3.230462608881183e-06,-8.504682e-05,-8.504682e-05,-1.816181e-05,-1.816181e-05,-3.0306296e-06,-3.0305491e-06,-5.383475e-07,-1.66893e-06,1.991385874349519e-18
1.0,4.887654518316048e-06,-0.00013294561,-0.00013294561,-1.3669628e-06,-1.3669628e-06,2.9459392e-05,2.9459428e-05,-3.5540174e-07,-9.536743e-07,2.6833708910572777e-18
1.0,7.313722777665535e-06,-0.000122051,-0.000122051,3.0598515e-06,3.0598515e-06,1.9616858e-05,1.9616798e-05,2.3032291e-07,7.1525574e-07,3.0805848190979854e-18
1.0,9.709974129742714e-06,-9.2557595e-05,-9.2557595e-05,1.9485665e-06,1.9485665e-06,-1.8427528e-06,-1.8427479e-06,4.904753e-07,1.66893e-06,5.217350186620616e-18
1.0,1.2534456390226054e-05,-8.5094835e-05,-8.5094835e-05,-6.7746083e-07,-6.7746083e-07,-2.1060605e-06,-2.1060764e-06,5.1602956e-07,1.66893e-06,8.866089407656485e-18
1.0,1.8183420911192733e-05,-0.00012761934,-0.00012761934,-2.1050451e-05,-2.1050451e-05,-1.672382e-06,-1.6723731e-06,4.5271636e-07,1.4305115e-06,1.2886797551344622e-17
1.0,2.49514082536894e-05,-0.00015634419,-0.00015634419,-5.2889125e-05,-5.2889125e-05,-1.5073817e-06,-1.5073975e-06,2.5165997e-07,7.1525574e-07,1.439592678231043e-17
1.0,3.4951408253689404e-05,-0.00016530289,-0.00016530289,-5.8587193e-05,-5.8587193e-05,-7.6465295e-07,-7.6463965e-07,-1.351574e-07,-4.7683716e-07,1.5040407521160366e-17
1.0,4.49514082536894e-05,-0.00016060408,-0.00016060408,-5.4612723e-05,-5.4612723e-05,-8.4458327e-07,-8.44597e-07,-5.7498994e-07,-1.9073486e-06,2.600747028256816e-17
