t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
0,-4.19E-06,-4.19E-06,-2.65E-07,-2.65E-07,-2.64E-07,-2.64E-07,5.08E-07,1.43E-06,7.27E-23
1.00E-10,-4.16E-06,-4.16E-06,-2.54E-07,-2.54E-07,-2.70E-07,-2.70E-07,5.08E-07,1.43E-06,1.45E-22
2.00E-10,-4.12E-06,-4.12E-06,-2.44E-07,-2.44E-07,-2.75E-07,-2.75E-07,5.08E-07,1.67E-06,2.72E-22
4.00E-10,-4.05E-06,-4.05E-06,-2.22E-07,-2.22E-07,-2.85E-07,-2.85E-07,5.08E-07,1.67E-06,5.27E-22
8.00E-10,-3.91E-06,-3.91E-06,-1.79E-07,-1.79E-07,-3.04E-07,-3.04E-07,5.08E-07,1.43E-06,9.63E-22
1.60E-09,-3.64E-06,-3.64E-06,-9.41E-08,-9.41E-08,-3.38E-07,-3.38E-07,5.08E-07,1.67E-06,1.98E-21
3.20E-09,-3.11E-06,-3.11E-06,6.90E-08,6.90E-08,-3.95E-07,-3.95E-07,5.08E-07,1.67E-06,4.02E-21
6.40E-09,-2.11E-06,-2.11E-06,3.75E-07,3.75E-07,-4.98E-07,-4.98E-07,5.08E-07,1.67E-06,7.91E-21
1.24E-08,-4.25E-07,-4.25E-07,8.84E-07,8.84E-07,-6.88E-07,-6.88E-07,5.09E-07,1.67E-06,1.41E-20
2.09E-08,1.62E-06,1.62E-06,1.50E-06,1.50E-06,-9.46E-07,-9.46E-07,5.09E-07,1.67E-06,2.30E-20
3.35E-08,3.93E-06,3.93E-06,2.19E-06,2.19E-06,-1.26E-06,-1.26E-06,5.10E-07,1.67E-06,3.56E-20
5.03E-08,6.08E-06,6.08E-06,2.82E-06,2.82E-06,-1.56E-06,-1.56E-06,5.11E-07,1.67E-06,5.25E-20
7.33E-08,7.29E-06,7.29E-06,3.19E-06,3.19E-06,-1.73E-06,-1.73E-06,5.12E-07,1.67E-06,6.84E-20
