config_id,t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
6.0,0.0,-4.1928715e-06,-4.1928715e-06,-2.651362e-07,-2.651362e-07,-2.6434466e-07,-2.6434466e-07,5.0796444e-07,1.66893e-06,8.477570925892153e-23
6.0,9.999999439624929e-11,-4.1189755e-06,-4.1189755e-06,-2.4699955e-07,-2.4699955e-07,-2.6434617e-07,-2.6438514e-07,5.079911e-07,1.9073486e-06,1.8166731748530427e-22
6.0,1.9999998879249858e-10,-4.0502714e-06,-4.0502714e-06,-2.2949042e-07,-2.2949042e-07,-2.6441037e-07,-2.644484e-07,5.080163e-07,1.66893e-06,3.0884385927296397e-22
6.0,3.9999997758499717e-10,-3.9146644e-06,-3.9146644e-06,-1.9393615e-07,-1.9393615e-07,-2.645394e-07,-2.6457784e-07,5.0806676e-07,1.66893e-06,5.632222155995078e-22
6.0,7.999999551699943e-10,-3.6500483e-06,-3.6500483e-06,-1.222116e-07,-1.222116e-07,-2.648514e-07,-2.6488857e-07,5.0816755e-07,1.66893e-06,1.0720798566271763e-21
6.0,1.5999999103399887e-09,-3.1351674e-06,-3.1351674e-06,1.800461e-08,1.800461e-08,-2.6576097e-07,-2.6579616e-07,5.0836803e-07,1.66893e-06,2.090196640408529e-21
6.0,3.1999998206799773e-09,-2.1456713e-06,-2.1456713e-06,2.8670334e-07,2.8670334e-07,-2.687369e-07,-2.6876884e-07,5.0876423e-07,1.66893e-06,4.1280170895500466e-21
6.0,6.399999641359955e-09,-2.9153873e-07,-2.9153873e-07,7.864696e-07,7.864696e-07,-2.7825078e-07,-2.7827753e-07,5.0953724e-07,1.66893e-06,8.031454756770846e-21
6.0,1.23804327272293e-08,2.7916665e-06,2.7916665e-06,1.6110298e-06,1.6110298e-06,-3.0256132e-07,-3.0258175e-07,5.1091035e-07,1.66893e-06,1.4234705918736833e-20
6.0,2.09501183147203e-08,6.464057e-06,6.464057e-06,2.5880051e-06,2.5880051e-06,-3.398553e-07,-3.3987016e-07,5.1271763e-07,1.66893e-06,2.3270629715422216e-20
6.0,3.3500055935207916e-08,1.0569845e-05,1.0569845e-05,3.676911e-06,3.676911e-06,-3.8431688e-07,-3.8432685e-07,5.1505884e-07,1.66893e-06,3.5799339030108564e-20
6.0,5.0100305758570944e-08,1.4267654e-05,1.4267654e-05,4.65736e-06,4.65736e-06,-4.1938515e-07,-4.1939091e-07,5.1771315e-07,1.9073486e-06,5.560185063282727e-20
6.0,7.360805498041381e-08,1.6334525e-05,1.6334525e-05,5.2116857e-06,5.2116857e-06,-4.2826957e-07,-4.2826838e-07,5.204702e-07,1.66893e-06,7.187558112035031e-20
6.0,8.75702532624677e-08,1.1686943e-05,1.1686943e-05,3.990269e-06,3.990269e-06,-3.9255468e-07,-3.9252342e-07,5.197402e-07,1.66893e-06,8.289141678254982e-20
6.0,9.900742979251952e-08,-1.0630895e-06,-1.0630895e-06,6.0187836e-07,6.0187836e-07,-2.9251646e-07,-2.9244623e-07,5.152028e-07,1.66893e-06,9.37713539907045e-20
6.0,1.1287721514554055e-07,-2.53709e-05,-2.53709e-05,-5.8955043e-06,-5.8955043e-06,-6.792171e-08,-6.784245e-08,5.0499256e-07,1.66893e-06,1.0603675629256805e-19
6.0,1.2811384285053023e-07,-5.346302e-05,-5.346302e-05,-1.3408732e-05,-1.3408732e-05,2.3821534e-07,2.3828238e-07,4.914236e-07,1.66893e-06,1.2082643155432504e-19
6.0,1.489429276641493e-07,-8.914089e-05,-8.914089e-05,-2.2958542e-05,-2.2958542e-05,6.3585577e-07,6.359227e-07,4.712319e-07,1.66893e-06,1.390382695405707e-19
6.0,1.7442769949034605e-07,-0.0001282354,-0.0001282354,-3.346513e-05,-3.346513e-05,1.0421361e-06,1.042188e-06,4.4450243e-07,1.4305115e-06,1.5846801272597616e-19
6.0,2.1005564249087424e-07,-0.00017167805,-0.00017167805,-4.5202614e-05,-4.5202614e-05,1.4664247e-06,1.4664616e-06,4.0577015e-07,1.1920929e-06,1.768356719731833e-19
6.0,2.503717247747991e-07,-0.00019916575,-0.00019916575,-5.272163e-05,-5.272163e-05,1.6644856e-06,1.6644917e-06,3.6503252e-07,1.4305115e-06,2.038911156657408e-19
6.0,3.1367997690538574e-07,-0.00020497921,-0.00020497921,-5.452424e-05,-5.452424e-05,1.3562102e-06,1.3562076e-06,3.1222902e-07,9.536743e-07,2.2318202113628084e-19
6.0,3.799431561892387e-07,-0.00020366411,-0.00020366411,-5.4317843e-05,-5.4317843e-05,6.966659e-07,6.966762e-07,2.598522e-07,7.1525574e-07,2.387264158484919e-19
6.0,4.809492179943446e-07,-0.00020116873,-0.00020116873,-5.362654e-05,-5.362654e-05,-3.1930134e-07,-3.1930378e-07,1.8196394e-07,4.7683716e-07,2.4795452874614143e-19
6.0,5.92652941809582e-07,-0.00019923599,-0.00019923599,-5.2694828e-05,-5.2694828e-05,-1.5370224e-06,-1.537008e-06,9.861095e-08,2.3841858e-07,2.5129233459802866e-19
6.0,7.648887372235685e-07,-0.00019812395,-0.00019812395,-5.0859348e-05,-5.0859348e-05,-3.5321052e-06,-3.5321025e-06,-2.4083782e-08,0.0,2.5129233459802866e-19
6.0,9.832548227587744e-07,-0.00019891461,-0.00019891461,-4.7429992e-05,-4.7429992e-05,-6.369317e-06,-6.3692933e-06,-1.687961e-07,-7.1525574e-07,2.775054135794889e-19
6.0,1.1991231457094463e-06,-0.00019991746,-0.00019991746,-4.215641e-05,-4.215641e-05,-9.604346e-06,-9.604332e-06,-2.988409e-07,-1.1920929e-06,3.401884356499264e-19
6.0,1.3351633677123205e-06,-0.00020081036,-0.00020081036,-3.7853006e-05,-3.7853006e-05,-1.1940698e-05,-1.1940665e-05,-3.7342306e-07,-1.1920929e-06,3.9595170563805596e-19
6.0,1.449657330072704e-06,-0.00020144894,-0.00020144894,-3.3774162e-05,-3.3774162e-05,-1.4022618e-05,-1.40226e-05,-4.3150655e-07,-1.4305115e-06,4.665397653863231e-19
6.0,1.5638719764438122e-06,-0.0002022631,-0.0002022631,-2.9539387e-05,-2.9539387e-05,-1.6132864e-05,-1.6132828e-05,-4.851563e-07,-1.4305115e-06,5.469214049026414e-19
