config_id,t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
2.0,0.0,-7.074924e-05,-7.074924e-05,-2.619869e-07,-2.619869e-07,-2.6198688e-07,-2.6198688e-07,5.239793e-07,1.66893e-06,8.744847346273602e-23
2.0,9.999999439624929e-11,-7.0750066e-05,-7.075045e-05,-2.619843e-07,-2.619843e-07,-2.6204313e-07,-2.620449e-07,5.239792e-07,1.66893e-06,4.372423239455956e-22
2.0,7.999999551699943e-10,-7.075096e-05,-7.0756796e-05,-2.6198884e-07,-2.6198884e-07,-2.6199245e-07,-2.6199123e-07,5.2397945e-07,1.66893e-06,1.0931060782040117e-21
2.0,1.5999999103399887e-09,-7.0746006e-05,-7.0761635e-05,-2.619889e-07,-2.619889e-07,-2.6198688e-07,-2.619864e-07,5.239798e-07,1.66893e-06,2.1424887355387445e-21
2.0,3.1999998206799773e-09,-7.073057e-05,-7.076795e-05,-2.619896e-07,-2.619896e-07,-2.619934e-07,-2.6199203e-07,5.2398065e-07,1.66893e-06,4.241257563023052e-21
2.0,6.399999641359955e-09,-7.069968e-05,-7.077498e-05,-2.6198995e-07,-2.6198995e-07,-2.6198776e-07,-2.619875e-07,5.2398207e-07,1.66893e-06,8.43880640695746e-21
2.0,1.279999928271991e-08,-7.065092e-05,-7.077759e-05,-2.6199308e-07,-2.6199308e-07,-2.6199626e-07,-2.619955e-07,5.2398406e-07,1.66893e-06,1.6833936360681122e-20
2.0,2.559999856543982e-08,-7.0582406e-05,-7.076081e-05,-2.6199734e-07,-2.6199734e-07,-2.6199473e-07,-2.6199493e-07,5.239868e-07,1.66893e-06,3.362428369818674e-20
2.0,5.119999713087964e-08,-7.049433e-05,-7.070404e-05,-2.619887e-07,-2.619887e-07,-2.6199166e-07,-2.619911e-07,5.239913e-07,1.66893e-06,5.563894667026768e-20
2.0,7.594772288960212e-08,-7.046418e-05,-7.0680086e-05,-2.6196201e-07,-2.6196201e-07,-2.6195926e-07,-2.619596e-07,5.23995e-07,1.66893e-06,7.2762828451875e-20
2.0,9.036218103152653e-08,-7.05383e-05,-7.076034e-05,-2.619546e-07,-2.619546e-07,-2.6195718e-07,-2.61957e-07,5.239959e-07,1.66893e-06,8.43268485301215e-20
2.0,1.0239450387132505e-07,-7.067467e-05,-7.09076e-05,-2.6197364e-07,-2.6197364e-07,-2.619704e-07,-2.6197128e-07,5.239947e-07,1.66893e-06,9.729367533703769e-20
2.0,1.2001723289194613e-07,-7.088172e-05,-7.114221e-05,-2.620647e-07,-2.620647e-07,-2.6206695e-07,-2.6206715e-07,5.2399054e-07,1.66893e-06,1.1278995441121354e-19
2.0,1.378346784607792e-07,-7.1061506e-05,-7.1360584e-05,-2.622263e-07,-2.622263e-07,-2.6222315e-07,-2.6222403e-07,5.2398576e-07,1.66893e-06,1.3349375366361364e-19
2.0,1.6736749955650727e-07,-7.130699e-05,-7.168276e-05,-2.6262302e-07,-2.6262302e-07,-2.6262558e-07,-2.6262555e-07,5.2397826e-07,1.66893e-06,1.5986885447322104e-19
2.0,1.9815626123484913e-07,-7.149586e-05,-7.195921e-05,-2.6317673e-07,-2.6317673e-07,-2.631739e-07,-2.631745e-07,5.2397127e-07,1.9073486e-06,2.0239860236196734e-19
2.0,2.52478412661922e-07,-7.1634524e-05,-7.224752e-05,-2.6435222e-07,-2.6435222e-07,-2.6435518e-07,-2.643548e-07,5.239634e-07,1.66893e-06,2.498846174071927e-19
2.0,3.067629641705541e-07,-7.157898e-05,-7.232367e-05,-2.6559775e-07,-2.6559775e-07,-2.6559533e-07,-2.6559556e-07,5.239628e-07,1.9073486e-06,3.162200013191317e-19
