t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
0,-4.19E-06,-4.19E-06,-2.65E-07,-2.65E-07,-2.64E-07,-2.64E-07,5.08E-07,1.67E-06,8.48E-23
1.00E-10,-4.20E-06,-4.20E-06,-2.66E-07,-2.66E-07,-2.64E-07,-2.64E-07,5.08E-07,1.67E-06,4.24E-22
8.00E-10,-4.23E-06,-4.23E-06,-2.67E-07,-2.67E-07,-2.58E-07,-2.58E-07,5.08E-07,1.67E-06,1.06E-21
1.60E-09,-4.26E-06,-4.26E-06,-2.63E-07,-2.63E-07,-2.47E-07,-2.47E-07,5.08E-07,1.67E-06,2.08E-21
3.20E-09,-4.29E-06,-4.29E-06,-2.46E-07,-2.46E-07,-2.17E-07,-2.17E-07,5.08E-07,1.67E-06,4.11E-21
6.40E-09,-4.34E-06,-4.34E-06,-2.04E-07,-2.04E-07,-1.57E-07,-1.57E-07,5.08E-07,1.67E-06,8.18E-21
1.28E-08,-4.36E-06,-4.36E-06,-1.35E-07,-1.35E-07,-6.89E-08,-6.89E-08,5.08E-07,1.67E-06,1.63E-20
2.56E-08,-4.29E-06,-4.29E-06,-5.01E-08,-5.01E-08,2.05E-08,2.05E-08,5.08E-07,1.67E-06,3.26E-20
5.12E-08,-4.01E-06,-4.01E-06,4.09E-08,4.09E-08,7.49E-08,7.49E-08,5.08E-07,1.67E-06,5.39E-20
7.60E-08,-3.89E-06,-3.89E-06,6.89E-08,6.89E-08,8.52E-08,8.52E-08,5.08E-07,1.67E-06,7.06E-20
9.04E-08,-4.30E-06,-4.30E-06,8.35E-09,8.35E-09,9.54E-08,9.54E-08,5.08E-07,1.67E-06,8.18E-20
1.02E-07,-5.04E-06,-5.04E-06,-1.02E-07,-1.02E-07,1.14E-07,1.14E-07,5.08E-07,1.67E-06,9.43E-20
1.20E-07,-6.21E-06,-6.21E-06,-2.63E-07,-2.63E-07,1.63E-07,1.63E-07,5.07E-07,1.67E-06,1.09E-19
1.38E-07,-7.31E-06,-7.31E-06,-3.96E-07,-3.96E-07,2.30E-07,2.30E-07,5.07E-07,1.67E-06,1.29E-19
1.67E-07,-8.93E-06,-8.93E-06,-5.65E-07,-5.65E-07,3.60E-07,3.60E-07,5.06E-07,1.67E-06,1.55E-19
