"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Bornera1,Bornera2","2","Conn_01x02_Socket","","","","Huellas:TerminalBlock_bornier-2_P5.08mm",""
"C1,C2,C3","3","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C5,C6,C7,C8","4","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"J1,J2","2","Conn_02x19_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x19_P2.54mm_Vertical",""
"J3,J4","2","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J5","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Jsalida_1,Jsalida_2,Jsalida_3,Jsalida_4","4","Conn_02x07_Odd_Even","","","","Connector_IDC:IDC-Header_2x07_P2.54mm_Horizontal",""
"Q1,Q2","2","FDMS6681Z","","","","Huellas:FDMS6681Z","https://www.onsemi.com/pub/Collateral/FDMS6681Z-D.PDF"
"Q3","1","MMBT2222A","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf"
"R1,R5,R6","3","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R2","1","1m","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",""
"R3","1","22k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R4","1","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R11,R12,R21,R22,R31,R32,R41,R42","8","39k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R33,R34,R35,R36,R37,R38,R39,R40,R43,R44,R45,R46,R47,R48","14","0","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"Rf1,Rf2,Rf3,Rf4,Rx1,Rx2,Rx3,Rx4","8","33k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"SW1","1","SW_SPDT","","","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q",""
"SW2,SW3","2","SW_DIP_x04","","","","Button_Switch_THT:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile",""
"SW4,SW5,SW6","3","SW_DIP_x01","","","","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",""
"TP1,TP2","2","TestPoint","","","","TestPoint:TestPoint_Keystone_5005-5009_Compact",""
"U1","1","Opamp_Quad","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"U2","1","ICL7660","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf"
"U3","1","INA180A1","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/ina180.pdf"
