Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
Celda1,1,Portapilas 18650,,,,,
DLED1,1,LED,,,,,
F1,1,~,,,,,
Jumper1,1,Conn_01x03_Pin,,,,,
"Jumper_cell_neg_1,Jumper_Vcell_1,J_In_cell_neg_1",3,Conn_02x07_Odd_Even,,,,,
J_In_Out_1,1,Conn_02x06_Odd_Even,,,,,
J_In_Vcell_1,1,Conn_01x07_Socket,,,,,
"Q1,Q3,QLED1",3,MMBT2222A,,,,,
Q2,1,,,,,MMBT2907A,10
Qinv1,1,AO3401,,,,20k,5
Qinv2,1,AO3400,,,,4.7k,5
"R1,R6,RLED1",3,,,,,33k,5
"R2,R3",2,TBD,,,,1k,5
R4,1,,,,,10k,5
R5,1,,,,,1Meg,5
RLED2,1,,,,,10Meg,5
"S1,S2",2,IRLB8721,,,,,
TP1,1,TP_base,,,,,
TP2,1,TP_gate,,,,,
TP3,1,TP_inv,,,,,
"TPgnd1,TPgnd2",2,TP_gnd,,,,,
