"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"VCELL11,VCELL22,VCELL21,VCELL32,VCELL31,VCELL12";"BatteryHolder_MPD_BK-18650-PC2";6;"3.3";;;
2;"Q22_2,Q31_2,Q32_2,Q11_2,Q12_2,Q21_2";"SOT-23-3";6;"MMBT2907A";;;
3;"R22_3,R21_3,R31_3,R11_3,R12_3,R32_3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1Meg";;;
4;"Q31_3,Q31_1,Q32_1,Q32_3,Q22_3,QLED11,Q11_3,Q12_3,QLED3,Q12_1,Q21_1,Q22_1,Q1_1,Q11_1,Q3_1,Q21_3,QLED1,QLED22,Q2_1,QLED32,QLED31,QLED2,QLED21,QLED_12";"SOT-23-3";24;"MMBT2222A";;;
5;"TPB21,TPG11,TPgnd31,TPB32,TPC21,TPG2,TPG1,TPG3,TPgnd21,TPC12,TPgnd22,TPgnd11,TPC31,TPB12,TPgnd32,TPC22,TPG32,TPB22,TPB11,TPC32,TPG21,TPbanco2,TPG22,TPbanco1,TPC11,TPG12,TPB31,TPG31,TPgnd12";"TestPoint_Bridge_Pitch2.54mm_Drill1.0mm";29;"TestPoint";;;
6;"R21_6,RLED12_1,RLED21_1,RLED1_1,R32_1,R1_9,RLED32_1,R11_1,RLED3_1,R31_6,R22_1,RLED22_1,R32_6,R21_1,RLED11_1,R2_9,R12_1,R22_6,RLED31_1,RLED2_1,R11_6,R12_6,R3_9,R31_1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";24;"20k";;;
7;"D2,D1,D22,D11,D12,D32,D3,D21,D31";"D_DO-41_SOD81_P7.62mm_Horizontal";9;"1N4736A";;;
8;"R1_8,R3_8,R2_8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"300K";;;
9;"R21_5,R11_5,R22_5,R31_5,R12_5,R32_5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"33k";;;
10;"DLED22,DLED2,DLED21,DLED31,DLED3,DLED12,DLED32,DLED11,DLED1";"LED_D5.0mm";9;"LED";;;
11;"RLED12_2,RLED31_2,RLED22_2,RLED21_2,RLED11_2,RLED32_2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1k";;;
12;"S31,S21,S22,S12,S32,S11,Sgnd21,Sgnd11";"TO-220-3_Vertical";8;"IRLB8721";;;
13;"R21_4,R31_4,R11_4,R32_4,R22_4,R12_4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"4.7k";;;
14;"J1";"PinHeader_2x12_P2.54mm_Vertical";1;"Conn_02x12_Odd_Even";;;
15;"S1,S2,S3";"FDMS6681Z";3;"FDMS6681Z";;;
16;"RLED2_2,RLED1_2,RLED3_2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"1K";;;
17;"F11,F22,F2,F3,F32,F1,F31,F21,F12";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";9;"Fuse";;;
18;"J_B4,J_B1,J_B2,Celdas_bus1,J_B3";"PinHeader_1x02_P2.54mm_Vertical";5;"Conn_01x02_Pin";;;
19;"Rout32,Rout21,Rout31,Rout12,Rout11,Rout22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1m";;;
20;"R12_2,R31_2,R32_2,R21_2,R22_2,R11_2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"10Meg";;;
21;"Q3_2,Q1_2,Q2_2";"SOT-23-3";3;"MMBFJ201";;;
22;"R2_7,R1_7,R3_7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"570K";;;
23;"OUT1";"TerminalBlock_bornier-2_P5.08mm";1;"Conn_01x02_Socket";;;
24;"Celdas_sup1,Celdas_inf1";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Pin";;;
25;"A1";"DIP-14_W7.62mm_LongPads";1;"~";;;
